number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_shape,params_shuffle,params_weight_decay,state
0,0.016878118738532066,2025-07-10 20:38:59.687686,2025-07-10 20:39:45.078515,0 days 00:00:45.390829,relu,prod,16,0.003453583959565716,9,bell,True,0.000660643597071589,COMPLETE
1,9.855109237832949e-05,2025-07-10 20:39:45.079471,2025-07-10 20:40:21.005363,0 days 00:00:35.925892,relu,min,16,0.00019156953959653252,8,gaussian,False,0.00027848736092245024,COMPLETE
2,0.09600765258073807,2025-07-10 20:40:21.005989,2025-07-10 20:40:33.162788,0 days 00:00:12.156799,relu,min,64,0.0007583501266420228,8,bell,True,2.685938055717296e-05,COMPLETE
3,0.0008471272303722799,2025-07-10 20:40:33.163165,2025-07-10 20:40:51.717552,0 days 00:00:18.554387,relu,min,32,0.0025529808911068804,7,sigmoid,False,3.438375467527073e-05,COMPLETE
4,5.590642103925347e-06,2025-07-10 20:40:51.718050,2025-07-10 20:41:08.195250,0 days 00:00:16.477200,relu,prod,32,0.004053262961678462,3,gaussian,False,1.5430096361674827e-05,COMPLETE
5,0.14386290311813354,2025-07-10 20:41:08.195644,2025-07-10 20:41:14.853463,0 days 00:00:06.657819,identity,min,128,0.005708374968125013,8,sigmoid,True,5.487810693242355e-05,COMPLETE
6,0.006316497456282377,2025-07-10 20:41:14.853853,2025-07-10 20:41:49.033621,0 days 00:00:34.179768,identity,prod,16,0.0005679343678152588,4,bell,True,1.3612166833599825e-05,COMPLETE
7,0.007604853715747595,2025-07-10 20:41:49.034210,2025-07-10 20:41:54.983696,0 days 00:00:05.949486,identity,prod,128,0.005752635476252826,4,sigmoid,True,3.579174624537365e-05,COMPLETE
8,0.014074341394007206,2025-07-10 20:41:54.984046,2025-07-10 20:42:15.422605,0 days 00:00:20.438559,identity,prod,32,0.003579644705077006,8,sigmoid,True,0.000860211956716276,COMPLETE
9,2.9829128834535368e-05,2025-07-10 20:42:15.423415,2025-07-10 20:42:22.256280,0 days 00:00:06.832865,relu,prod,128,0.007728517803624154,5,bell,False,2.2676686901583307e-05,COMPLETE
10,0.007131671532988548,2025-07-10 20:42:22.256823,2025-07-10 20:42:37.856239,0 days 00:00:15.599416,relu,prod,32,0.0015529824093273006,2,gaussian,False,0.00015105400904722054,COMPLETE
11,8.271236765722279e-06,2025-07-10 20:42:37.856632,2025-07-10 20:42:44.236359,0 days 00:00:06.379727,relu,prod,128,0.00896112540169995,5,gaussian,False,1.090301972471526e-05,COMPLETE
12,3.855687737086555e-06,2025-07-10 20:42:44.236920,2025-07-10 20:42:53.652361,0 days 00:00:09.415441,relu,prod,64,0.009535411914132862,3,gaussian,False,1.0956367692855799e-05,COMPLETE
13,0.008389335125684738,2025-07-10 20:42:53.652757,2025-07-10 20:43:02.593320,0 days 00:00:08.940563,relu,prod,64,0.0018514559979227446,2,gaussian,False,7.683085293949806e-05,COMPLETE
14,0.025466246530413628,2025-07-10 20:43:02.593884,2025-07-10 20:43:12.027959,0 days 00:00:09.434075,relu,prod,64,0.00037625999849813356,3,gaussian,False,1.0932887484746923e-05,COMPLETE
15,3.819352059508674e-06,2025-07-10 20:43:12.028333,2025-07-10 20:43:21.466993,0 days 00:00:09.438660,relu,prod,64,0.009780819534779656,3,gaussian,False,1.702785003823121e-05,COMPLETE
16,0.00035005941754207015,2025-07-10 20:43:21.467550,2025-07-10 20:43:32.325669,0 days 00:00:10.858119,relu,prod,64,0.009768155916936175,6,gaussian,False,0.00012830247137475382,COMPLETE
17,0.004548448137938976,2025-07-10 20:43:32.326049,2025-07-10 20:43:41.746687,0 days 00:00:09.420638,relu,prod,64,0.0012852792206557637,3,gaussian,False,1.9597846494120732e-05,COMPLETE
18,0.07144282013177872,2025-07-10 20:43:41.747261,2025-07-10 20:43:51.257351,0 days 00:00:09.510090,identity,min,64,0.00010023440646906783,4,gaussian,False,5.6079764812581643e-05,COMPLETE
19,0.0001373509003315121,2025-07-10 20:43:51.257750,2025-07-10 20:44:00.197033,0 days 00:00:08.939283,relu,prod,64,0.005702299709316686,2,gaussian,False,0.0002245731141826509,COMPLETE
20,1.0042791366577148,2025-07-10 20:44:00.197414,2025-07-10 20:44:11.081264,0 days 00:00:10.883850,relu,prod,64,0.002529875340127453,6,gaussian,False,4.599220244894029e-05,COMPLETE
21,5.11105918121757e-06,2025-07-10 20:44:11.081744,2025-07-10 20:44:27.614143,0 days 00:00:16.532399,relu,prod,32,0.004514002118401917,3,gaussian,False,1.8179442537402336e-05,COMPLETE
22,5.537645847653039e-06,2025-07-10 20:44:27.614600,2025-07-10 20:44:44.143792,0 days 00:00:16.529192,relu,prod,32,0.0068490799581199845,3,gaussian,False,1.798563067446385e-05,COMPLETE
23,6.712719914503396e-05,2025-07-10 20:44:44.144357,2025-07-10 20:45:01.590011,0 days 00:00:17.445654,relu,prod,32,0.004424960051689695,4,gaussian,False,1.011619110308698e-05,COMPLETE
24,0.0004417371819727123,2025-07-10 20:45:01.590586,2025-07-10 20:45:10.535358,0 days 00:00:08.944772,relu,prod,64,0.009744431433823829,2,gaussian,False,2.8141726928317664e-05,COMPLETE
25,5.854580376762897e-05,2025-07-10 20:45:10.535748,2025-07-10 20:45:19.968576,0 days 00:00:09.432828,relu,prod,64,0.0024268948714597743,3,gaussian,False,1.74221361069508e-05,COMPLETE
26,2.283916728629265e-05,2025-07-10 20:45:19.968952,2025-07-10 20:45:37.443483,0 days 00:00:17.474531,identity,min,32,0.004931838415882365,5,gaussian,False,8.462618015459156e-05,COMPLETE
27,4.081540282641072e-06,2025-07-10 20:45:37.444000,2025-07-10 20:46:08.697146,0 days 00:00:31.253146,relu,prod,16,0.007182130430254135,4,gaussian,False,1.4829830752962753e-05,COMPLETE
