number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,state
0,1.3112996816635132,2025-07-15 13:32:43.969906,2025-07-15 13:33:22.817304,0 days 00:00:38.847398,relu,128,70,0.0012348853531818811,9,COMPLETE
1,9.642467375670094e-06,2025-07-15 13:33:22.818443,2025-07-15 13:36:09.824517,0 days 00:02:47.006074,identity,16,51,0.0037613174791333516,14,COMPLETE
2,0.00033023383002728224,2025-07-15 13:36:09.825421,2025-07-15 13:37:19.643731,0 days 00:01:09.818310,identity,64,104,0.00016622810074498192,11,COMPLETE
3,0.007287580519914627,2025-07-15 13:37:19.644613,2025-07-15 13:38:34.855735,0 days 00:01:15.211122,identity,64,35,0.00012318155106518357,20,COMPLETE
4,0.0012065691407769918,2025-07-15 13:38:34.856586,2025-07-15 13:39:49.478968,0 days 00:01:14.622382,relu,32,21,0.00026454367981392293,13,COMPLETE
5,0.00031897154985927045,2025-07-15 13:39:49.479826,2025-07-15 13:41:11.480955,0 days 00:01:22.001129,identity,128,106,0.0024577867063648277,15,COMPLETE
6,3.0734627216588706e-05,2025-07-15 13:41:11.481849,2025-07-15 13:44:51.010950,0 days 00:03:39.529101,identity,16,86,0.00011321031104945076,11,COMPLETE
7,0.0008411278249695897,2025-07-15 13:44:51.011744,2025-07-15 13:45:36.084157,0 days 00:00:45.072413,identity,128,66,0.00010002452723519078,13,COMPLETE
8,1.3167331218719482,2025-07-15 13:45:36.084758,2025-07-15 13:50:04.306530,0 days 00:04:28.221772,relu,16,86,0.007260564962968234,16,COMPLETE
9,0.0008166268235072494,2025-07-15 13:50:04.307418,2025-07-15 13:51:34.905833,0 days 00:01:30.598415,identity,128,109,0.00019497565840074257,17,COMPLETE
10,1.316251516342163,2025-07-15 13:51:34.906706,2025-07-15 13:55:03.694418,0 days 00:03:28.787712,relu,16,44,0.009952129233497347,19,COMPLETE
11,1.4127563190413639e-05,2025-07-15 13:55:03.695322,2025-07-15 13:57:17.069885,0 days 00:02:13.374563,identity,16,59,0.0005388176507327036,10,COMPLETE
12,1.755824632709846e-05,2025-07-15 13:57:17.070693,2025-07-15 13:59:05.233523,0 days 00:01:48.162830,identity,16,52,0.0005750551882212744,8,COMPLETE
13,4.8992940719472244e-05,2025-07-15 13:59:05.234381,2025-07-15 14:01:08.790993,0 days 00:02:03.556612,identity,16,13,0.002798319793632126,11,COMPLETE
14,0.00016402195615228266,2025-07-15 14:01:08.791839,2025-07-15 14:03:12.218634,0 days 00:02:03.426795,identity,32,59,0.0005260991282028553,14,COMPLETE
15,5.4134528909344226e-05,2025-07-15 14:03:12.219507,2025-07-15 14:05:04.941124,0 days 00:01:52.721617,identity,16,30,0.003931137652351956,9,COMPLETE
16,5.906715614401037e-06,2025-07-15 14:05:04.941992,2025-07-15 14:09:01.694473,0 days 00:03:56.752481,identity,16,74,0.0012070962292225777,18,COMPLETE
17,8.8307660917053e-06,2025-07-15 14:09:01.695333,2025-07-15 14:14:24.176088,0 days 00:05:22.480755,identity,16,126,0.0014364923139997853,18,COMPLETE
18,1.316388487815857,2025-07-15 14:14:24.176930,2025-07-15 14:17:20.637985,0 days 00:02:56.461055,relu,32,124,0.0009612603171591786,18,COMPLETE
19,5.0550384912639856e-05,2025-07-15 14:17:20.638888,2025-07-15 14:19:35.025254,0 days 00:02:14.386366,identity,64,128,0.001203633419980125,20,COMPLETE
20,8.120082384266425e-06,2025-07-15 14:19:35.026088,2025-07-15 14:24:33.177069,0 days 00:04:58.150981,identity,16,87,0.0017172882750950836,18,COMPLETE
21,7.936532711028121e-06,2025-07-15 14:24:33.177925,2025-07-15 14:29:19.307658,0 days 00:04:46.129733,identity,16,82,0.001643915353290153,18,COMPLETE
