number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
0,0.01238646823912859,2025-07-14 20:21:03.710753,2025-07-14 20:22:57.992702,0 days 00:01:54.281949,relu,prod,0.000868198673616447,6,5,bell,COMPLETE
1,0.003107425756752491,2025-07-14 20:22:57.993837,2025-07-14 20:24:35.844202,0 days 00:01:37.850365,relu,prod,0.0009301262776970101,7,5,sigmoid,COMPLETE
2,0.03446272015571594,2025-07-14 20:24:35.845528,2025-07-14 20:27:30.504978,0 days 00:02:54.659450,identity,min,0.0002995494450947979,9,14,sigmoid,COMPLETE
3,0.0003313568013254553,2025-07-14 20:27:30.505875,2025-07-14 20:30:13.770176,0 days 00:02:43.264301,identity,min,0.0027069084423801196,5,15,sigmoid,COMPLETE
4,0.2447303682565689,2025-07-14 20:30:13.771002,2025-07-14 20:33:06.252260,0 days 00:02:52.481258,identity,prod,0.0007840735193242554,7,14,gaussian,COMPLETE
5,0.0005066326120868325,2025-07-14 20:33:06.253190,2025-07-14 20:35:33.537607,0 days 00:02:27.284417,identity,prod,0.002260334025753572,7,10,bell,COMPLETE
6,1.2044919729232788,2025-07-14 20:35:33.538433,2025-07-14 20:38:18.562114,0 days 00:02:45.023681,relu,min,0.0015434080612524693,5,15,gaussian,COMPLETE
7,0.01228592824190855,2025-07-14 20:38:18.563004,2025-07-14 20:40:49.477908,0 days 00:02:30.914904,identity,prod,0.00028723113751538893,7,11,sigmoid,COMPLETE
8,0.045278243720531464,2025-07-14 20:40:49.478783,2025-07-14 20:42:34.483482,0 days 00:01:45.004699,identity,min,0.00017845993184080342,5,7,sigmoid,COMPLETE
9,0.14120537042617798,2025-07-14 20:42:34.484368,2025-07-14 20:45:40.869077,0 days 00:03:06.384709,identity,prod,0.00014251948506334935,6,16,gaussian,COMPLETE
10,0.017581697553396225,2025-07-14 20:45:40.869973,2025-07-14 20:49:55.499159,0 days 00:04:14.629186,relu,min,0.007886312471601334,9,23,sigmoid,COMPLETE
11,1.8801885744323954e-05,2025-07-14 20:49:55.500068,2025-07-14 20:53:43.478497,0 days 00:03:47.978429,identity,min,0.003433287200786051,8,20,bell,COMPLETE
12,0.0004890955751761794,2025-07-14 20:53:43.479409,2025-07-14 20:57:41.438431,0 days 00:03:57.959022,identity,min,0.005268396503603235,8,21,bell,COMPLETE
13,0.0002530840574763715,2025-07-14 20:57:41.439378,2025-07-14 21:01:21.414902,0 days 00:03:39.975524,identity,min,0.0033567038358327203,8,19,bell,COMPLETE
14,5.003873866371578e-06,2025-07-14 21:01:21.415821,2025-07-14 21:05:28.635483,0 days 00:04:07.219662,identity,min,0.003444832669353738,8,20,bell,COMPLETE
15,3.7884226458118064e-06,2025-07-14 21:05:28.636407,2025-07-14 21:09:59.480946,0 days 00:04:30.844539,identity,min,0.007367592188575081,8,25,bell,COMPLETE
16,3.597609065764118e-06,2025-07-14 21:09:59.481874,2025-07-14 21:14:36.774855,0 days 00:04:37.292981,identity,min,0.009461092507054769,9,25,bell,COMPLETE
17,3.680472900668974e-06,2025-07-14 21:14:36.775819,2025-07-14 21:19:13.289218,0 days 00:04:36.513399,identity,min,0.009233621033433354,9,25,bell,COMPLETE
18,1.4501064470096026e-05,2025-07-14 21:19:13.290210,2025-07-14 21:23:52.072118,0 days 00:04:38.781908,relu,min,0.00927604017218956,9,25,bell,COMPLETE
19,3.8820367080916185e-06,2025-07-14 21:23:52.073028,2025-07-14 21:27:27.203197,0 days 00:03:35.130169,identity,min,0.005633625510760031,9,18,bell,COMPLETE
20,0.004496338777244091,2025-07-14 21:27:27.204067,2025-07-14 21:31:39.221676,0 days 00:04:12.017609,identity,min,0.001511485333298612,9,22,bell,COMPLETE
21,3.6349435958982212e-06,2025-07-14 21:31:39.222660,2025-07-14 21:36:13.576028,0 days 00:04:34.353368,identity,min,0.009778844826237797,8,25,bell,COMPLETE
22,3.823885890597012e-06,2025-07-14 21:36:13.576971,2025-07-14 21:40:35.691409,0 days 00:04:22.114438,identity,min,0.004916914124820515,9,23,bell,COMPLETE
23,3.54955068360141e-06,2025-07-14 21:40:35.692360,2025-07-14 21:45:06.177849,0 days 00:04:30.485489,identity,min,0.00902322420418524,8,25,bell,COMPLETE
24,3.81182712771988e-06,2025-07-14 21:45:06.178826,2025-07-14 21:49:18.965608,0 days 00:04:12.786782,identity,min,0.005651974797959543,8,23,bell,COMPLETE
25,3.240551086491905e-05,2025-07-14 21:49:18.966571,2025-07-14 21:53:38.092255,0 days 00:04:19.125684,identity,min,0.009855845258041307,8,24,gaussian,COMPLETE
26,3.840279077849118e-06,2025-07-14 21:53:38.093183,2025-07-14 21:57:09.000831,0 days 00:03:30.907648,relu,min,0.004816576366905551,8,18,bell,COMPLETE
