number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,state
0,0.003318539820611477,2025-07-15 12:05:25.971649,2025-07-15 12:06:48.484524,0 days 00:01:22.512875,identity,128,36,0.002283654818715641,21,COMPLETE
1,2.7461679565021768e-05,2025-07-15 12:06:48.485716,2025-07-15 12:08:09.010683,0 days 00:01:20.524967,identity,32,96,0.004003556169476144,14,COMPLETE
2,1.3165440559387207,2025-07-15 12:08:09.011615,2025-07-15 12:09:04.174146,0 days 00:00:55.162531,relu,128,95,0.00018789118955634863,17,COMPLETE
3,0.00479925936087966,2025-07-15 12:09:04.175116,2025-07-15 12:09:28.844148,0 days 00:00:24.669032,relu,128,39,0.00019755436754663634,17,COMPLETE
4,2.087638495140709e-05,2025-07-15 12:09:28.844718,2025-07-15 12:10:37.843647,0 days 00:01:08.998929,identity,16,53,0.0038021113931472174,10,COMPLETE
5,1.3167331218719482,2025-07-15 12:10:37.844513,2025-07-15 12:11:57.674606,0 days 00:01:19.830093,relu,64,119,0.008455803375804654,16,COMPLETE
6,1.3189793825149536,2025-07-15 12:11:57.675492,2025-07-15 12:12:53.627053,0 days 00:00:55.951561,relu,64,35,0.00020559648627358515,9,COMPLETE
7,8.265049109468237e-05,2025-07-15 12:12:53.627689,2025-07-15 12:14:41.438582,0 days 00:01:47.810893,identity,32,73,0.0014965673468044,14,COMPLETE
8,1.3182570934295654,2025-07-15 12:14:41.439465,2025-07-15 12:17:16.908639,0 days 00:02:35.469174,relu,16,128,0.007562125056650559,11,COMPLETE
9,1.315966010093689,2025-07-15 12:17:16.909535,2025-07-15 12:17:47.241288,0 days 00:00:30.331753,relu,128,33,0.0003571777361326836,22,COMPLETE
10,0.00027496155234985054,2025-07-15 12:17:47.241937,2025-07-15 12:18:32.192141,0 days 00:00:44.950204,identity,16,13,0.0006508380077173625,5,COMPLETE
11,1.9886409063474275e-05,2025-07-15 12:18:32.192762,2025-07-15 12:19:48.545465,0 days 00:01:16.352703,identity,32,79,0.0034919141583664493,9,COMPLETE
12,0.00010491384455235675,2025-07-15 12:19:48.546354,2025-07-15 12:20:58.248482,0 days 00:01:09.702128,identity,32,66,0.0031599151474260294,7,COMPLETE
13,1.6076144675025716e-05,2025-07-15 12:20:58.249454,2025-07-15 12:23:12.768013,0 days 00:02:14.518559,identity,16,63,0.004592505356978941,11,COMPLETE
14,9.884512110147625e-06,2025-07-15 12:23:12.768899,2025-07-15 12:25:36.035228,0 days 00:02:23.266329,identity,16,84,0.0009721586935756999,12,COMPLETE
15,1.54517238115659e-05,2025-07-15 12:25:36.036050,2025-07-15 12:27:41.211637,0 days 00:02:05.175587,identity,16,98,0.000937300657946019,12,COMPLETE
16,5.5993291425693315e-06,2025-07-15 12:27:41.212563,2025-07-15 12:29:52.781252,0 days 00:02:11.568689,identity,16,99,0.0007566724501555305,19,COMPLETE
17,5.0239527809026185e-06,2025-07-15 12:29:52.782108,2025-07-15 12:37:21.811083,0 days 00:07:29.028975,identity,16,109,0.0005066386794747998,20,COMPLETE
18,9.425753887626342e-06,2025-07-15 12:37:21.811966,2025-07-15 12:40:28.606455,0 days 00:03:06.794489,identity,16,110,0.0004668988646621183,24,COMPLETE
19,0.0002599776489660144,2025-07-15 12:40:28.607342,2025-07-15 12:43:07.367413,0 days 00:02:38.760071,identity,16,108,0.00011341320766120825,20,COMPLETE
20,0.001156855490989983,2025-07-15 12:43:07.368338,2025-07-15 12:44:53.115090,0 days 00:01:45.746752,identity,64,87,0.0014973330581508559,19,COMPLETE
21,5.9813000916619785e-06,2025-07-15 12:44:53.122063,2025-07-15 12:49:12.314438,0 days 00:04:19.192375,identity,16,109,0.0005142895018199675,25,COMPLETE
22,4.603692104865331e-06,2025-07-15 12:49:12.315348,2025-07-15 12:51:42.849959,0 days 00:02:30.534611,identity,16,112,0.0004526381280709827,25,COMPLETE
23,6.533944542752579e-06,2025-07-15 12:51:42.850838,2025-07-15 12:54:50.297278,0 days 00:03:07.446440,identity,16,126,0.0003536186790317845,23,COMPLETE
24,7.439655291818781e-06,2025-07-15 12:54:50.298243,2025-07-15 12:57:22.502340,0 days 00:02:32.204097,identity,16,118,0.0007251131307171874,19,COMPLETE
25,7.436979103658814e-06,2025-07-15 12:57:22.503227,2025-07-15 12:59:57.881268,0 days 00:02:35.378041,identity,16,102,0.00029843509946074975,25,COMPLETE
26,1.0394186574558262e-05,2025-07-15 12:59:57.882201,2025-07-15 13:02:18.880276,0 days 00:02:20.998075,identity,16,116,0.0016997521089964424,22,COMPLETE
27,6.472294899140252e-06,2025-07-15 13:02:18.881262,2025-07-15 13:03:57.962920,0 days 00:01:39.081658,identity,16,90,0.000654474384373039,18,COMPLETE
28,0.0010025533847510815,2025-07-15 13:03:57.963938,2025-07-15 13:04:57.087874,0 days 00:00:59.123936,identity,64,104,0.00010016270159223528,21,COMPLETE
29,0.0009562711347825825,2025-07-15 13:04:57.088490,2025-07-15 13:05:42.626912,0 days 00:00:45.538422,identity,128,75,0.0002693266600044834,21,COMPLETE
30,1.010247342492221e-05,2025-07-15 13:05:42.627520,2025-07-15 13:07:51.230955,0 days 00:02:08.603435,identity,16,115,0.0004714924169877694,23,COMPLETE
31,8.20666718936991e-06,2025-07-15 13:07:51.232013,2025-07-15 13:10:03.509300,0 days 00:02:12.277287,identity,16,109,0.0005382441185215077,25,COMPLETE
32,1.3601130376628134e-05,2025-07-15 13:10:03.510204,2025-07-15 13:12:08.302308,0 days 00:02:04.792104,identity,16,95,0.0008444879003172303,24,COMPLETE
33,1.0963314707623795e-05,2025-07-15 13:12:08.303217,2025-07-15 13:14:13.678330,0 days 00:02:05.375113,identity,16,123,0.0013749022298766736,20,COMPLETE
34,1.5090644410520326e-05,2025-07-15 13:14:13.679179,2025-07-15 13:15:54.944398,0 days 00:01:41.265219,identity,16,102,0.0011387065938246014,16,COMPLETE
35,0.0019821973983198404,2025-07-15 13:15:54.945318,2025-07-15 13:18:48.719433,0 days 00:02:53.774115,relu,128,92,0.00041809164981147903,23,COMPLETE
36,0.0015033547533676028,2025-07-15 13:18:48.720356,2025-07-15 13:20:52.828832,0 days 00:02:04.108476,identity,32,111,0.0002471318134591149,25,COMPLETE
37,0.00022385561896953732,2025-07-15 13:20:52.829702,2025-07-15 13:22:26.133549,0 days 00:01:33.303847,relu,16,83,0.00016284359720772246,17,COMPLETE
38,6.588934047613293e-05,2025-07-15 13:22:26.134373,2025-07-15 13:23:25.587148,0 days 00:00:59.452775,identity,64,122,0.0022894479352824296,15,COMPLETE
39,8.714850082469638e-06,2025-07-15 13:23:25.587983,2025-07-15 13:24:54.861418,0 days 00:01:29.273435,identity,16,55,0.0005797496244585258,22,COMPLETE
40,7.829828973626718e-06,2025-07-15 13:24:54.862298,2025-07-15 13:26:57.844721,0 days 00:02:02.982423,relu,16,100,0.000381945351602769,19,COMPLETE
41,1.795112075342331e-05,2025-07-15 13:26:57.845722,2025-07-15 13:29:13.465348,0 days 00:02:15.619626,identity,16,92,0.0006857614607200291,18,COMPLETE
42,2.0415243852767162e-05,2025-07-15 13:29:13.466278,2025-07-15 13:31:04.277605,0 days 00:01:50.811327,identity,16,106,0.0007775994073139897,18,COMPLETE
43,0.0018482524901628494,2025-07-15 13:31:04.278589,2025-07-15 13:32:00.608531,0 days 00:00:56.329942,identity,128,90,0.0005346416417340254,20,COMPLETE
44,2.475988912920002e-05,2025-07-15 13:32:00.609052,2025-07-15 13:33:44.660285,0 days 00:01:44.051233,identity,16,113,0.0011343276959686899,16,COMPLETE
45,0.000303915876429528,2025-07-15 13:33:44.661459,2025-07-15 13:34:42.751965,0 days 00:00:58.090506,identity,32,96,0.000627548314794255,14,COMPLETE
46,7.4024910645675845e-06,2025-07-15 13:34:42.752724,2025-07-15 13:36:53.693170,0 days 00:02:10.940446,relu,16,120,0.0002978443392788606,24,COMPLETE
47,0.00011705004726536572,2025-07-15 13:36:53.694096,2025-07-15 13:38:27.835117,0 days 00:01:34.141021,identity,16,79,0.00021364253488948145,18,COMPLETE
48,0.003911774139851332,2025-07-15 13:38:27.836010,2025-07-15 13:38:52.112720,0 days 00:00:24.276710,identity,64,14,0.0004742810043966995,22,COMPLETE
49,6.598205345653696e-06,2025-07-15 13:38:52.113167,2025-07-15 13:40:42.032931,0 days 00:01:49.919764,identity,16,99,0.0003459940536769323,21,COMPLETE
50,0.00014740219921804965,2025-07-15 13:40:42.033811,2025-07-15 13:42:30.715777,0 days 00:01:48.681966,identity,16,128,0.00016932189522397096,17,COMPLETE
51,1.030398107104702e-05,2025-07-15 13:42:30.716675,2025-07-15 13:44:39.023127,0 days 00:02:08.306452,identity,16,121,0.0003840859605537141,23,COMPLETE
52,4.895900019619148e-06,2025-07-15 13:44:39.023974,2025-07-15 13:46:57.222845,0 days 00:02:18.198871,identity,16,127,0.0008632151848523388,24,COMPLETE
53,9.260396836907603e-06,2025-07-15 13:46:57.223699,2025-07-15 13:48:56.902318,0 days 00:01:59.678619,identity,16,106,0.0009288379545550391,24,COMPLETE
54,1.1726649063348304e-05,2025-07-15 13:48:56.903282,2025-07-15 13:50:32.139169,0 days 00:01:35.235887,identity,32,114,0.001215209548300077,25,COMPLETE
55,8.257272384071257e-06,2025-07-15 13:50:32.140083,2025-07-15 13:52:52.520518,0 days 00:02:20.380435,identity,16,125,0.0008288838885393307,24,COMPLETE
56,1.4114825717115309e-05,2025-07-15 13:52:52.521415,2025-07-15 13:54:51.957728,0 days 00:01:59.436313,identity,16,116,0.0019174939883562525,21,COMPLETE
57,0.0007798246224410832,2025-07-15 13:54:51.958606,2025-07-15 13:55:54.703007,0 days 00:01:02.744401,relu,128,110,0.0006108815059410747,19,COMPLETE
58,8.093485121207777e-06,2025-07-15 13:55:54.703859,2025-07-15 13:57:26.403601,0 days 00:01:31.699742,identity,16,70,0.0006852588185525058,20,COMPLETE
59,1.1451462341938168e-05,2025-07-15 13:57:26.404524,2025-07-15 13:59:15.722020,0 days 00:01:49.317496,identity,16,86,0.00046198880906695995,23,COMPLETE
60,1.7152678992715664e-05,2025-07-15 13:59:15.722938,2025-07-15 14:01:22.950579,0 days 00:02:07.227641,identity,16,104,0.0009339998725140442,25,COMPLETE
61,5.706075171474367e-06,2025-07-15 14:01:22.951520,2025-07-15 14:03:36.772678,0 days 00:02:13.821158,identity,16,127,0.00033031685685568714,23,COMPLETE
62,1.1308684406685643e-05,2025-07-15 14:03:36.773541,2025-07-15 14:05:41.056488,0 days 00:02:04.282947,identity,16,118,0.0005668939870153947,22,COMPLETE
63,1.135123511630809e-05,2025-07-15 14:05:41.057379,2025-07-15 14:07:46.420731,0 days 00:02:05.363352,identity,16,128,0.00031281477443651716,23,COMPLETE
64,6.414058134396328e-06,2025-07-15 14:07:46.421678,2025-07-15 14:10:09.029397,0 days 00:02:22.607719,identity,16,123,0.00044564269225452996,24,COMPLETE
65,6.839197794761276e-06,2025-07-15 14:10:09.030306,2025-07-15 14:12:19.016273,0 days 00:02:09.985967,identity,16,122,0.00043629888835715564,24,COMPLETE
66,0.0028555369935929775,2025-07-15 14:12:19.017193,2025-07-15 14:13:41.501947,0 days 00:01:22.484754,identity,64,124,0.00024114034913226776,25,COMPLETE
67,7.67972869653022e-06,2025-07-15 14:13:41.502797,2025-07-15 14:15:44.829330,0 days 00:02:03.326533,identity,16,113,0.0005045345976406066,24,COMPLETE
68,0.0001415790757164359,2025-07-15 14:15:44.830290,2025-07-15 14:17:14.032255,0 days 00:01:29.201965,identity,32,118,0.0004007904001949459,22,COMPLETE
69,3.198580088792369e-05,2025-07-15 14:17:14.033211,2025-07-15 14:19:13.509307,0 days 00:01:59.476096,identity,16,108,0.006227411441797879,23,COMPLETE
70,5.770832103735302e-06,2025-07-15 14:19:13.510233,2025-07-15 14:21:33.057736,0 days 00:02:19.547503,relu,16,126,0.0003348811496102439,25,COMPLETE
71,1.3161295652389526,2025-07-15 14:21:33.058644,2025-07-15 14:23:56.773459,0 days 00:02:23.714815,relu,16,125,0.0003102196864524784,25,COMPLETE
72,8.22017409518594e-06,2025-07-15 14:23:56.774334,2025-07-15 14:26:11.561447,0 days 00:02:14.787113,relu,16,121,0.0003456947062556323,24,COMPLETE
73,1.3161295652389526,2025-07-15 14:26:11.562330,2025-07-15 14:28:37.230818,0 days 00:02:25.668488,relu,16,128,0.0007622941170157511,25,COMPLETE
74,1.0028426004282665e-05,2025-07-15 14:28:37.231639,2025-07-15 14:29:50.631761,0 days 00:01:13.400122,relu,16,116,0.0002594243453853638,5,COMPLETE
75,0.0020662564784288406,2025-07-15 14:29:50.632484,2025-07-15 14:31:11.835789,0 days 00:01:21.203305,relu,128,112,0.0005206632292447455,24,COMPLETE
