number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
0,0.020274585112929344,2025-07-14 20:21:09.788969,2025-07-14 20:22:26.564828,0 days 00:01:16.775859,relu,prod,0.0005761869759702646,8,8,bell,COMPLETE
1,0.0464465357363224,2025-07-14 20:22:26.565708,2025-07-14 20:23:31.621522,0 days 00:01:05.055814,identity,prod,0.00013887641731519132,5,8,sigmoid,COMPLETE
2,0.004144396632909775,2025-07-14 20:23:31.622370,2025-07-14 20:24:47.810733,0 days 00:01:16.188363,identity,prod,0.0011584314606021683,7,10,bell,COMPLETE
3,0.005181955173611641,2025-07-14 20:24:47.811543,2025-07-14 20:25:54.686333,0 days 00:01:06.874790,relu,min,0.0002414320302939175,6,9,sigmoid,COMPLETE
4,0.13549406826496124,2025-07-14 20:25:54.687149,2025-07-14 20:27:07.391375,0 days 00:01:12.704226,relu,min,0.0003225252006488889,7,14,gaussian,COMPLETE
5,0.005105485208332539,2025-07-14 20:27:07.392214,2025-07-14 20:28:29.370129,0 days 00:01:21.977915,identity,prod,0.002266047330712862,9,24,sigmoid,COMPLETE
6,0.18230310082435608,2025-07-14 20:28:29.370939,2025-07-14 20:29:44.914775,0 days 00:01:15.543836,identity,prod,0.0005802607729538076,8,18,gaussian,COMPLETE
7,5.978257831884548e-06,2025-07-14 20:29:44.915644,2025-07-14 20:30:56.224206,0 days 00:01:11.308562,identity,min,0.008309335170531743,5,18,gaussian,COMPLETE
8,0.02098063938319683,2025-07-14 20:30:56.225010,2025-07-14 20:32:18.791744,0 days 00:01:22.566734,identity,prod,0.006375864417349605,8,22,bell,COMPLETE
9,0.10702545195817947,2025-07-14 20:32:18.792578,2025-07-14 20:33:35.221929,0 days 00:01:16.429351,identity,min,0.000350024251776085,5,20,bell,COMPLETE
10,4.579148935590638e-06,2025-07-14 20:33:35.222777,2025-07-14 20:34:46.334602,0 days 00:01:11.111825,relu,min,0.009783357795527798,6,15,gaussian,COMPLETE
11,8.021019311854616e-06,2025-07-14 20:34:46.335442,2025-07-14 20:35:57.289673,0 days 00:01:10.954231,relu,min,0.009052605169888,6,15,gaussian,COMPLETE
12,0.001855554524809122,2025-07-14 20:35:57.290493,2025-07-14 20:37:06.480017,0 days 00:01:09.189524,relu,min,0.00408711298333228,6,13,gaussian,COMPLETE
13,0.0019948186818510294,2025-07-14 20:37:06.480852,2025-07-14 20:38:18.143401,0 days 00:01:11.662549,relu,min,0.003001491306919661,5,18,gaussian,COMPLETE
14,1.1069258107454516e-05,2025-07-14 20:38:18.144261,2025-07-14 20:39:31.640488,0 days 00:01:13.496227,identity,min,0.00831859517229135,6,18,gaussian,COMPLETE
15,0.0002319922496099025,2025-07-14 20:39:31.641327,2025-07-14 20:40:38.243661,0 days 00:01:06.602334,relu,min,0.0016419627503307757,5,12,gaussian,COMPLETE
16,0.004134192597121,2025-07-14 20:40:38.244517,2025-07-14 20:41:50.040977,0 days 00:01:11.796460,relu,min,0.004699953185316756,6,16,gaussian,COMPLETE
17,4.901749434793601e-06,2025-07-14 20:41:50.041854,2025-07-14 20:42:54.056611,0 days 00:01:04.014757,identity,min,0.005011808667775108,5,6,gaussian,COMPLETE
