number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
0,2.5698602257762104e-05,2025-07-14 20:20:58.992058,2025-07-14 20:22:26.305291,0 days 00:01:27.313233,identity,prod,0.004897431671179702,7,13,gaussian,COMPLETE
1,0.00101050257217139,2025-07-14 20:22:26.306253,2025-07-14 20:24:13.057071,0 days 00:01:46.750818,relu,min,0.00433744997835954,8,21,gaussian,COMPLETE
2,0.4407442510128021,2025-07-14 20:24:13.057955,2025-07-14 20:25:21.428164,0 days 00:01:08.370209,relu,min,0.00025925678397420573,5,6,bell,COMPLETE
3,0.004872498102486134,2025-07-14 20:25:21.429010,2025-07-14 20:26:24.025562,0 days 00:01:02.596552,relu,min,0.000386711222488122,6,5,sigmoid,COMPLETE
4,1.2454240277293138e-05,2025-07-14 20:26:24.026411,2025-07-14 20:27:43.657700,0 days 00:01:19.631289,identity,prod,0.0049163730100283435,6,9,bell,COMPLETE
5,0.2041688710451126,2025-07-14 20:27:43.658591,2025-07-14 20:29:07.530773,0 days 00:01:23.872182,relu,min,0.00013162500002252684,7,13,sigmoid,COMPLETE
6,1.3161295652389526,2025-07-14 20:29:07.531605,2025-07-14 20:30:47.746133,0 days 00:01:40.214528,relu,min,0.002305168825570662,6,20,sigmoid,COMPLETE
7,3.6451845169067383,2025-07-14 20:30:47.746993,2025-07-14 20:32:22.624885,0 days 00:01:34.877892,identity,prod,0.0001428627023194892,9,15,gaussian,COMPLETE
8,0.002684464678168297,2025-07-14 20:32:22.625741,2025-07-14 20:33:42.787831,0 days 00:01:20.162090,identity,prod,0.002118142182867266,8,8,bell,COMPLETE
9,6.947864221729105e-06,2025-07-14 20:33:42.788674,2025-07-14 20:35:28.341722,0 days 00:01:45.553048,relu,min,0.009950521589246057,7,19,bell,COMPLETE
10,4.424145572556881e-06,2025-07-14 20:35:28.342549,2025-07-14 20:37:24.880433,0 days 00:01:56.537884,relu,min,0.009813096209467244,8,23,bell,COMPLETE
11,0.002530061174184084,2025-07-14 20:37:24.881273,2025-07-14 20:39:26.953361,0 days 00:02:02.072088,relu,min,0.009846794763460282,8,25,bell,COMPLETE
12,0.034619782119989395,2025-07-14 20:39:26.954214,2025-07-14 20:41:18.710412,0 days 00:01:51.756198,relu,min,0.00992454428260835,9,20,bell,COMPLETE
13,2.5071092750295065e-05,2025-07-14 20:41:18.711227,2025-07-14 20:43:20.555240,0 days 00:02:01.844013,relu,min,0.0007094553151687208,8,25,bell,COMPLETE
14,5.488832539413124e-05,2025-07-14 20:43:20.556110,2025-07-14 20:45:00.584428,0 days 00:01:40.028318,relu,min,0.0016343239299331748,7,17,bell,COMPLETE
15,0.03571975976228714,2025-07-14 20:45:00.585286,2025-07-14 20:46:57.951713,0 days 00:01:57.366427,relu,min,0.005934719626312531,9,22,bell,COMPLETE
16,0.06589361280202866,2025-07-14 20:46:57.952586,2025-07-14 20:48:33.053538,0 days 00:01:35.100952,relu,min,0.0010878350176627238,5,17,bell,COMPLETE
17,2.0405166651471518e-05,2025-07-14 20:48:33.054374,2025-07-14 20:50:29.557575,0 days 00:01:56.503201,relu,min,0.0029597787336925942,8,23,bell,COMPLETE
18,1.348359728581272e-05,2025-07-14 20:50:29.558431,2025-07-14 20:52:07.819971,0 days 00:01:38.261540,identity,prod,0.006818967433246384,7,18,sigmoid,COMPLETE
19,0.015174239873886108,2025-07-14 20:52:07.820853,2025-07-14 20:54:00.383613,0 days 00:01:52.562760,relu,min,0.0033186730144737797,7,23,gaussian,COMPLETE
20,0.02227962017059326,2025-07-14 20:54:00.384477,2025-07-14 20:55:43.140914,0 days 00:01:42.756437,relu,min,0.001259005323907581,6,19,bell,COMPLETE
21,0.00035940075758844614,2025-07-14 20:55:43.141735,2025-07-14 20:57:05.940671,0 days 00:01:22.798936,identity,prod,0.007121614445952177,6,10,bell,COMPLETE
22,0.0004044908273499459,2025-07-14 20:57:05.941517,2025-07-14 20:58:31.559793,0 days 00:01:25.618276,identity,prod,0.0040990352317466896,6,11,bell,COMPLETE
23,5.031873570260359e-06,2025-07-14 20:58:31.560660,2025-07-14 21:00:07.389462,0 days 00:01:35.828802,identity,prod,0.008070574434408298,7,15,bell,COMPLETE
24,3.7956501728331205e-06,2025-07-14 21:00:07.390319,2025-07-14 21:01:43.364095,0 days 00:01:35.973776,identity,prod,0.00958307103247303,7,15,bell,COMPLETE
25,3.525845841068076e-06,2025-07-14 21:01:43.364933,2025-07-14 21:03:19.519425,0 days 00:01:36.154492,identity,prod,0.006932156004055789,8,15,bell,COMPLETE
26,0.0012062080204486847,2025-07-14 21:03:19.520355,2025-07-14 21:04:54.637075,0 days 00:01:35.116720,identity,prod,0.0030740362750627634,8,15,bell,COMPLETE
27,0.04138502851128578,2025-07-14 21:04:54.637944,2025-07-14 21:06:27.416218,0 days 00:01:32.778274,identity,prod,0.0007312603503558049,9,13,bell,COMPLETE
28,0.0008019162924028933,2025-07-14 21:06:27.417153,2025-07-14 21:08:01.276358,0 days 00:01:33.859205,identity,prod,0.006278436548562175,8,16,gaussian,COMPLETE
29,0.013069013133645058,2025-07-14 21:08:01.277295,2025-07-14 21:09:23.438957,0 days 00:01:22.161662,identity,prod,0.005419906448432191,8,12,sigmoid,COMPLETE
30,3.4824010072043166e-05,2025-07-14 21:09:23.439839,2025-07-14 21:10:55.029627,0 days 00:01:31.589788,identity,prod,0.0038607238547621386,9,14,gaussian,COMPLETE
31,0.13868241012096405,2025-07-14 21:10:55.030480,2025-07-14 21:12:32.697840,0 days 00:01:37.667360,identity,prod,0.0073790238499802305,7,16,bell,COMPLETE
32,3.7184497614362044e-06,2025-07-14 21:12:32.698713,2025-07-14 21:14:04.722972,0 days 00:01:32.024259,identity,prod,0.007724798591059792,7,14,bell,COMPLETE
33,0.0001123670517699793,2025-07-14 21:14:04.723899,2025-07-14 21:15:31.822342,0 days 00:01:27.098443,identity,prod,0.004986217517621701,8,12,bell,COMPLETE
