number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,state
0,1.3167331218719482,2025-07-15 13:32:41.366011,2025-07-15 13:33:30.983202,0 days 00:00:49.617191,relu,64,100,0.004746173106373075,16,COMPLETE
1,0.0008729598484933376,2025-07-15 13:33:30.984235,2025-07-15 13:33:59.250618,0 days 00:00:28.266383,relu,64,88,0.00019853410800593863,9,COMPLETE
2,0.0004591261094901711,2025-07-15 13:33:59.251507,2025-07-15 13:34:45.517112,0 days 00:00:46.265605,relu,32,61,0.00013514645606691099,8,COMPLETE
3,3.309886233182624e-05,2025-07-15 13:34:45.518022,2025-07-15 13:35:20.661935,0 days 00:00:35.143913,identity,32,59,0.00311072818595961,5,COMPLETE
4,2.671129914233461e-05,2025-07-15 13:35:20.662566,2025-07-15 13:36:12.872801,0 days 00:00:52.210235,identity,128,104,0.001936324945912333,24,COMPLETE
5,1.3918595868744887e-05,2025-07-15 13:36:12.873697,2025-07-15 13:36:47.239381,0 days 00:00:34.365684,identity,128,94,0.0023079428162903694,16,COMPLETE
6,5.884217898710631e-06,2025-07-15 13:36:47.240004,2025-07-15 13:37:57.343406,0 days 00:01:10.103402,identity,64,127,0.0006231039167119202,21,COMPLETE
7,9.823768050409853e-05,2025-07-15 13:37:57.344284,2025-07-15 13:39:44.041884,0 days 00:01:46.697600,identity,16,29,0.0002806655256046338,22,COMPLETE
8,1.0493493391550146e-05,2025-07-15 13:39:44.042763,2025-07-15 13:40:55.717136,0 days 00:01:11.674373,identity,16,124,0.0002143168897990553,6,COMPLETE
9,1.3761913578491658e-05,2025-07-15 13:40:55.718062,2025-07-15 13:43:07.507347,0 days 00:02:11.789285,identity,16,70,0.0005197493852809716,19,COMPLETE
10,0.005025129299610853,2025-07-15 13:43:07.508259,2025-07-15 13:43:27.964192,0 days 00:00:20.455933,relu,64,8,0.0008927039127969245,12,COMPLETE
11,1.569699088577181e-05,2025-07-15 13:43:27.964762,2025-07-15 13:46:26.548862,0 days 00:02:58.584100,identity,16,126,0.0004618849680977912,21,COMPLETE
12,1.2137569683545735e-05,2025-07-15 13:46:26.549785,2025-07-15 13:47:09.904039,0 days 00:00:43.354254,identity,64,123,0.0009224500419291562,12,COMPLETE
13,0.023725783452391624,2025-07-15 13:47:09.904701,2025-07-15 13:51:17.412814,0 days 00:04:07.508113,identity,16,115,0.00966742420610558,25,COMPLETE
14,0.0028394947294145823,2025-07-15 13:51:17.413724,2025-07-15 13:52:08.689233,0 days 00:00:51.275509,identity,64,79,0.0001156374654461267,19,COMPLETE
15,6.2354338297154754e-06,2025-07-15 13:52:08.689833,2025-07-15 13:53:22.314565,0 days 00:01:13.624732,identity,16,113,0.00040904394464153144,5,COMPLETE
16,0.0026647087652236223,2025-07-15 13:53:22.315416,2025-07-15 13:53:44.283927,0 days 00:00:21.968511,identity,128,41,0.0004042290448322036,13,COMPLETE
17,0.00012262481322977692,2025-07-15 13:53:44.284567,2025-07-15 13:55:03.748224,0 days 00:01:19.463657,identity,32,114,0.001311501866618266,19,COMPLETE
18,1.3189793825149536,2025-07-15 13:55:03.749189,2025-07-15 13:55:35.875812,0 days 00:00:32.126623,relu,64,109,0.0006478159876359567,9,COMPLETE
19,2.1512130842893384e-05,2025-07-15 13:55:35.876469,2025-07-15 13:58:18.550490,0 days 00:02:42.674021,identity,16,83,0.0003209154446978242,14,COMPLETE
20,5.2900428272550926e-05,2025-07-15 13:58:18.551414,2025-07-15 14:02:59.969700,0 days 00:04:41.418286,identity,16,99,0.0013926809861187738,22,COMPLETE
21,1.7047757864929736e-05,2025-07-15 14:02:59.970635,2025-07-15 14:04:04.838085,0 days 00:01:04.867450,identity,16,128,0.00020846599157869534,5,COMPLETE
22,3.0430141123360954e-05,2025-07-15 14:04:04.838974,2025-07-15 14:05:31.155370,0 days 00:01:26.316396,identity,16,117,0.00018676309390323,8,COMPLETE
23,1.183570293505909e-05,2025-07-15 14:05:31.156278,2025-07-15 14:06:52.360494,0 days 00:01:21.204216,identity,16,110,0.0006672620991191629,6,COMPLETE
24,9.993556886911392e-06,2025-07-15 14:06:52.361356,2025-07-15 14:08:09.985506,0 days 00:01:17.624150,identity,16,120,0.00028548611408919805,7,COMPLETE
25,0.0013627026928588748,2025-07-15 14:08:09.986402,2025-07-15 14:08:40.661999,0 days 00:00:30.675597,identity,64,90,0.00032510207675247955,10,COMPLETE
26,1.3165440559387207,2025-07-15 14:08:40.662620,2025-07-15 14:09:54.179528,0 days 00:01:13.516908,relu,32,106,0.0006391697789142884,17,COMPLETE
27,0.0003901281743310392,2025-07-15 14:09:54.180377,2025-07-15 14:10:14.039321,0 days 00:00:19.858944,identity,128,118,0.00037866931774870966,7,COMPLETE
28,3.726995055330917e-05,2025-07-15 14:10:14.039866,2025-07-15 14:11:34.598883,0 days 00:01:20.559017,identity,16,73,0.00015401278620863457,11,COMPLETE
29,1.3169734477996826,2025-07-15 14:11:34.599752,2025-07-15 14:12:17.107628,0 days 00:00:42.507876,relu,64,98,0.00026221320463156215,15,COMPLETE
30,1.3140615010343026e-05,2025-07-15 14:12:17.108290,2025-07-15 14:13:06.374325,0 days 00:00:49.266035,identity,64,102,0.001150322537236371,17,COMPLETE
31,2.1108286091475748e-05,2025-07-15 14:13:06.375037,2025-07-15 14:14:19.535582,0 days 00:01:13.160545,identity,16,123,0.0002281367268725716,6,COMPLETE
32,1.2161575796199031e-05,2025-07-15 14:14:19.536498,2025-07-15 14:15:40.664677,0 days 00:01:21.128179,identity,16,127,0.0006033244122094528,7,COMPLETE
33,3.525986903696321e-05,2025-07-15 14:15:40.665533,2025-07-15 14:16:46.282834,0 days 00:01:05.617301,identity,16,119,0.0001664992211518102,5,COMPLETE
34,1.3189793825149536,2025-07-15 14:16:46.283789,2025-07-15 14:18:50.852294,0 days 00:02:04.568505,relu,16,113,0.00011901753380480228,9,COMPLETE
35,0.00011294886644463986,2025-07-15 14:18:50.853283,2025-07-15 14:19:29.062828,0 days 00:00:38.209545,identity,32,58,0.0004336122078658993,7,COMPLETE
36,1.2746764696203172e-05,2025-07-15 14:19:29.063525,2025-07-15 14:21:43.373349,0 days 00:02:14.309824,identity,16,107,0.0007979023069276973,10,COMPLETE
37,0.0021043249871581793,2025-07-15 14:21:43.374217,2025-07-15 14:22:03.450744,0 days 00:00:20.076527,identity,128,93,0.0002503138003137905,8,COMPLETE
38,1.320917010307312,2025-07-15 14:22:03.451299,2025-07-15 14:22:26.583032,0 days 00:00:23.131733,relu,64,121,0.00033964901541800745,5,COMPLETE
39,0.00010178435331908986,2025-07-15 14:22:26.583637,2025-07-15 14:23:38.410095,0 days 00:01:11.826458,identity,16,128,0.00010342994753719549,6,COMPLETE
40,0.0001151215546997264,2025-07-15 14:23:38.410938,2025-07-15 14:25:07.631699,0 days 00:01:29.220761,identity,32,102,0.0017617518195171744,23,COMPLETE
41,1.1360729331499897e-05,2025-07-15 14:25:07.632582,2025-07-15 14:26:30.757017,0 days 00:01:23.124435,identity,16,110,0.0005584114374668837,6,COMPLETE
42,8.008505574252922e-06,2025-07-15 14:26:30.757921,2025-07-15 14:28:08.854420,0 days 00:01:38.096499,identity,16,112,0.0005164374901062911,8,COMPLETE
43,8.13410497357836e-06,2025-07-15 14:28:08.855359,2025-07-15 14:29:35.722394,0 days 00:01:26.867035,identity,16,122,0.00047567397266346173,8,COMPLETE
44,1.3070058230368886e-05,2025-07-15 14:29:35.723282,2025-07-15 14:31:17.970252,0 days 00:01:42.246970,identity,16,118,0.0004923677081418249,10,COMPLETE
45,1.8370390534983017e-05,2025-07-15 14:31:17.971129,2025-07-15 14:32:23.272114,0 days 00:01:05.300985,identity,16,51,0.0007579670839768752,8,COMPLETE
46,0.0002625602064654231,2025-07-15 14:32:23.273074,2025-07-15 14:33:18.139987,0 days 00:00:54.866913,identity,16,14,0.003497824518232129,9,COMPLETE
47,0.001840926124714315,2025-07-15 14:33:18.140678,2025-07-15 14:33:41.372082,0 days 00:00:23.231404,identity,128,85,0.0010212750059713162,11,COMPLETE
48,0.000473268999485299,2025-07-15 14:33:41.372628,2025-07-15 14:34:05.365837,0 days 00:00:23.993209,identity,64,96,0.0004721956863122762,7,COMPLETE
49,1.3175803422927856,2025-07-15 14:34:05.366518,2025-07-15 14:38:22.478663,0 days 00:04:17.112145,relu,16,112,0.00038125522472602625,13,COMPLETE
50,2.16740900214063e-05,2025-07-15 14:38:22.479706,2025-07-15 14:41:10.899232,0 days 00:02:48.419526,identity,16,123,0.0007618317525797875,20,COMPLETE
51,1.4703363376611378e-05,2025-07-15 14:41:10.900242,2025-07-15 14:42:14.780585,0 days 00:01:03.880343,identity,16,120,0.0002930028512447456,5,COMPLETE
52,7.61478986532893e-06,2025-07-15 14:42:14.781434,2025-07-15 14:43:40.955456,0 days 00:01:26.174022,identity,16,124,0.00020139949288474574,8,COMPLETE
53,2.40583649429027e-05,2025-07-15 14:43:40.956317,2025-07-15 14:45:35.711253,0 days 00:01:54.754936,identity,16,114,0.0001410080440917306,9,COMPLETE
54,1.3976237823953852e-05,2025-07-15 14:45:35.712129,2025-07-15 14:50:03.875117,0 days 00:04:28.162988,identity,16,106,0.0005449502803732724,25,COMPLETE
55,0.0005601801676675677,2025-07-15 14:50:03.875994,2025-07-15 14:50:34.346364,0 days 00:00:30.470370,identity,64,124,0.0001861481214115059,8,COMPLETE
56,0.0069164312444627285,2025-07-15 14:50:34.346934,2025-07-15 14:52:22.807439,0 days 00:01:48.460505,identity,16,117,0.006508859685146014,11,COMPLETE
57,8.446414540230762e-06,2025-07-15 14:52:22.808348,2025-07-15 14:53:44.911325,0 days 00:01:22.102977,identity,16,125,0.0003810876323661787,7,COMPLETE
58,1.896033609227743e-05,2025-07-15 14:53:44.912185,2025-07-15 14:54:26.029239,0 days 00:00:41.117054,identity,32,126,0.00040254454429380606,6,COMPLETE
59,5.67663073525182e-06,2025-07-15 14:54:26.029862,2025-07-15 14:56:15.149370,0 days 00:01:49.119508,identity,16,113,0.00035085392540297233,8,COMPLETE
60,0.0015064412727952003,2025-07-15 14:56:15.150199,2025-07-15 14:56:41.724731,0 days 00:00:26.574532,identity,128,104,0.00023360618593520067,12,COMPLETE
61,5.050278559792787e-06,2025-07-15 14:56:41.725353,2025-07-15 14:58:47.721578,0 days 00:02:05.996225,identity,16,112,0.00034309455793167076,8,COMPLETE
62,5.16136287842528e-06,2025-07-15 14:58:47.722437,2025-07-15 15:00:47.109129,0 days 00:01:59.386692,identity,16,113,0.0003085779597258958,10,COMPLETE
63,5.78508706894354e-06,2025-07-15 15:00:47.110011,2025-07-15 15:02:35.706563,0 days 00:01:48.596552,identity,16,110,0.00033405741082120693,9,COMPLETE
64,6.0191905504325405e-06,2025-07-15 15:02:35.707394,2025-07-15 15:04:34.986978,0 days 00:01:59.279584,identity,16,100,0.000333071612815974,10,COMPLETE
65,0.0013504766393452883,2025-07-15 15:04:34.988072,2025-07-15 15:05:06.498633,0 days 00:00:31.510561,identity,64,92,0.0003239147682837836,10,COMPLETE
66,1.3182570934295654,2025-07-15 15:05:06.499293,2025-07-15 15:07:29.648784,0 days 00:02:23.149491,relu,16,98,0.0002983679828481008,11,COMPLETE
67,6.776085683668498e-06,2025-07-15 15:07:29.649685,2025-07-15 15:09:55.980866,0 days 00:02:26.331181,identity,16,108,0.00026248985233661744,13,COMPLETE
68,8.876223546394613e-06,2025-07-15 15:09:55.981734,2025-07-15 15:12:04.375934,0 days 00:02:08.394200,identity,16,101,0.0003352341124042603,9,COMPLETE
69,0.00019328604685142636,2025-07-15 15:12:04.376840,2025-07-15 15:12:42.664781,0 days 00:00:38.287941,identity,64,78,0.0006930960458774394,15,COMPLETE
70,1.383497510687448e-05,2025-07-15 15:12:42.665428,2025-07-15 15:15:32.036121,0 days 00:02:49.370693,identity,16,115,0.0004403969809514858,14,COMPLETE
71,1.0061818102258258e-05,2025-07-15 15:15:32.036986,2025-07-15 15:17:51.207037,0 days 00:02:19.170051,identity,16,108,0.0002571378218041136,13,COMPLETE
72,6.391813712980365e-06,2025-07-15 15:17:51.207897,2025-07-15 15:20:12.850558,0 days 00:02:21.642661,identity,16,105,0.0003672831840845067,12,COMPLETE
73,4.997419637220446e-06,2025-07-15 15:20:12.851433,2025-07-15 15:22:15.110497,0 days 00:02:02.259064,identity,16,105,0.00035684195521291245,10,COMPLETE
74,1.4358278349391185e-05,2025-07-15 15:22:15.111339,2025-07-15 15:24:08.760040,0 days 00:01:53.648701,identity,16,89,0.0005786175198031233,10,COMPLETE
75,1.1449583325884305e-05,2025-07-15 15:24:08.760897,2025-07-15 15:26:46.109278,0 days 00:02:37.348381,identity,16,111,0.0004238117634149987,9,COMPLETE
76,5.640548260998912e-05,2025-07-15 15:26:46.110155,2025-07-15 15:27:54.557030,0 days 00:01:08.446875,identity,32,95,0.00022714848495629324,16,COMPLETE
77,1.3186047077178955,2025-07-15 15:27:54.557891,2025-07-15 15:29:36.682693,0 days 00:01:42.124802,relu,16,116,0.00017425041025911418,10,COMPLETE
