number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,state
0,1.319413423538208,2025-07-07 11:04:33.872924,2025-07-07 11:04:53.900014,0 days 00:00:20.027090,relu,128,94,0.003245207762348632,8,COMPLETE
1,1.528308894194197e-05,2025-07-07 11:04:53.900784,2025-07-07 11:05:40.691911,0 days 00:00:46.791127,identity,32,105,0.0030079565226959286,9,COMPLETE
2,1.5222647562040947e-05,2025-07-07 11:05:40.692602,2025-07-07 11:06:29.190260,0 days 00:00:48.497658,identity,64,102,0.0032233177416848874,17,COMPLETE
3,0.015917697921395302,2025-07-07 11:06:29.190955,2025-07-07 11:06:43.206081,0 days 00:00:14.015126,relu,128,22,0.00020305392933704923,11,COMPLETE
4,8.123153747874312e-06,2025-07-07 11:06:43.206676,2025-07-07 11:07:31.636843,0 days 00:00:48.430167,identity,32,20,0.0022477604926119375,17,COMPLETE
5,1.3169734477996826,2025-07-07 11:07:31.637303,2025-07-07 11:08:17.618899,0 days 00:00:45.981596,relu,64,110,0.00021374128214733228,15,COMPLETE
6,5.62593186259619e-06,2025-07-07 11:08:17.619626,2025-07-07 11:09:25.836910,0 days 00:01:08.217284,relu,32,60,0.0006899519216412972,14,COMPLETE
7,1.900467941595707e-05,2025-07-07 11:09:25.837589,2025-07-07 11:09:48.912126,0 days 00:00:23.074537,relu,64,70,0.002858509051686674,8,COMPLETE
8,3.407560143386945e-05,2025-07-07 11:09:48.912669,2025-07-07 11:10:23.134958,0 days 00:00:34.222289,relu,128,87,0.0007146369068532419,17,COMPLETE
9,0.012584331445395947,2025-07-07 11:10:23.135574,2025-07-07 11:10:49.239342,0 days 00:00:26.103768,relu,128,84,0.00013559132894388457,14,COMPLETE
10,4.837930646317545e-06,2025-07-07 11:10:49.239974,2025-07-07 11:12:36.713004,0 days 00:01:47.473030,identity,16,48,0.0006689422473902746,20,COMPLETE
11,4.360061211627908e-06,2025-07-07 11:12:36.713687,2025-07-07 11:14:28.852408,0 days 00:01:52.138721,identity,16,43,0.0006566835712653884,20,COMPLETE
12,2.0916580979246646e-05,2025-07-07 11:14:28.853100,2025-07-07 11:16:17.201773,0 days 00:01:48.348673,identity,16,40,0.009851760690514813,20,COMPLETE
13,4.462048309505917e-06,2025-07-07 11:16:17.202442,2025-07-07 11:18:17.029142,0 days 00:01:59.826700,identity,16,52,0.0004606356293180933,20,COMPLETE
14,4.845052899327129e-06,2025-07-07 11:18:17.029823,2025-07-07 11:20:01.549190,0 days 00:01:44.519367,identity,16,37,0.00036562094131480885,19,COMPLETE
15,2.74067551799817e-05,2025-07-07 11:20:01.549886,2025-07-07 11:21:35.053713,0 days 00:01:33.503827,identity,16,10,0.0013873713421522988,18,COMPLETE
16,5.118636636325391e-06,2025-07-07 11:21:35.054364,2025-07-07 11:22:53.655691,0 days 00:01:18.601327,identity,16,65,0.00039937940871840065,12,COMPLETE
17,5.278036042000167e-06,2025-07-07 11:22:53.656400,2025-07-07 11:24:48.019064,0 days 00:01:54.362664,identity,16,51,0.00041357031117859026,19,COMPLETE
18,7.868951797718182e-06,2025-07-07 11:24:48.019773,2025-07-07 11:26:16.879300,0 days 00:01:28.859527,identity,16,33,0.001556930438195087,16,COMPLETE
19,2.696795309020672e-05,2025-07-07 11:26:16.880002,2025-07-07 11:28:23.506550,0 days 00:02:06.626548,identity,16,75,0.006157689744844236,20,COMPLETE
20,5.116498869028874e-06,2025-07-07 11:28:23.507237,2025-07-07 11:29:45.124719,0 days 00:01:21.617482,identity,16,53,0.0010244714300287523,12,COMPLETE
21,4.5540209612227045e-06,2025-07-07 11:29:45.125439,2025-07-07 11:32:35.175410,0 days 00:02:50.049971,identity,16,123,0.0006051770643221388,20,COMPLETE
22,5.358178896130994e-06,2025-07-07 11:32:35.176116,2025-07-07 11:35:17.639986,0 days 00:02:42.463870,identity,16,124,0.0002777535137501982,19,COMPLETE
