number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
0,1.3161295652389526,2025-07-10 19:19:50.236022,2025-07-10 19:22:21.255687,0 days 00:02:31.019665,relu,prod,0.0026619017194300446,7,25,sigmoid,COMPLETE
1,1.4644971997768153e-05,2025-07-10 19:22:21.273632,2025-07-10 19:24:39.411981,0 days 00:02:18.138349,relu,prod,0.009141659772065951,7,22,gaussian,COMPLETE
2,0.037473347038030624,2025-07-10 19:24:39.412879,2025-07-10 19:26:45.097006,0 days 00:02:05.684127,relu,min,0.00034666473322517876,6,19,bell,COMPLETE
3,0.1048496812582016,2025-07-10 19:26:45.097881,2025-07-10 19:28:36.828346,0 days 00:01:51.730465,relu,min,0.0008745206595064828,8,16,gaussian,COMPLETE
4,0.007975040934979916,2025-07-10 19:28:36.829215,2025-07-10 19:30:16.057882,0 days 00:01:39.228667,relu,prod,0.007419994798134991,9,12,sigmoid,COMPLETE
5,1.3376441529544536e-05,2025-07-10 19:30:16.058892,2025-07-10 19:31:26.418259,0 days 00:01:10.359367,identity,prod,0.0018548200578954123,6,5,bell,COMPLETE
6,0.04097194969654083,2025-07-10 19:31:26.418834,2025-07-10 19:33:23.829619,0 days 00:01:57.410785,identity,prod,0.0005173376822406343,9,15,bell,COMPLETE
7,0.002289101481437683,2025-07-10 19:33:23.830509,2025-07-10 19:34:51.758849,0 days 00:01:27.928340,relu,min,0.0001690016453993517,5,12,gaussian,COMPLETE
8,3.858038326143287e-06,2025-07-10 19:34:51.759420,2025-07-10 19:36:27.568632,0 days 00:01:35.809212,identity,prod,0.005470758727435346,7,12,gaussian,COMPLETE
9,4.062537118443288e-05,2025-07-10 19:36:27.569488,2025-07-10 19:37:37.175374,0 days 00:01:09.605886,identity,min,0.0032933203373294315,9,5,gaussian,COMPLETE
10,4.2768770072143525e-06,2025-07-10 19:37:37.175929,2025-07-10 19:38:58.041258,0 days 00:01:20.865329,identity,prod,0.004824928430605788,5,9,gaussian,COMPLETE
11,0.00024146356736309826,2025-07-10 19:38:58.041835,2025-07-10 19:40:18.965976,0 days 00:01:20.924141,identity,prod,0.00527882226059233,5,9,gaussian,COMPLETE
12,0.18929331004619598,2025-07-10 19:40:18.966559,2025-07-10 19:41:43.593871,0 days 00:01:24.627312,identity,prod,0.0013826182345691657,6,9,gaussian,COMPLETE
13,0.2863142490386963,2025-07-10 19:41:43.594455,2025-07-10 19:43:15.940219,0 days 00:01:32.345764,identity,prod,0.0043261556710421445,8,10,gaussian,COMPLETE
14,0.0003054888511542231,2025-07-10 19:43:15.941106,2025-07-10 19:44:57.767168,0 days 00:01:41.826062,identity,prod,0.0023652459150521436,5,15,gaussian,COMPLETE
15,0.026281675323843956,2025-07-10 19:44:57.768285,2025-07-10 19:46:15.063851,0 days 00:01:17.295566,identity,prod,0.00088743159123303,8,7,sigmoid,COMPLETE
16,3.6747384001500905e-05,2025-07-10 19:46:15.064439,2025-07-10 19:47:48.472560,0 days 00:01:33.408121,identity,prod,0.006022627656596987,6,12,gaussian,COMPLETE
17,3.815208856394747e-06,2025-07-10 19:47:48.473437,2025-07-10 19:49:53.666489,0 days 00:02:05.193052,identity,prod,0.009406228742825417,7,19,gaussian,COMPLETE
18,0.03257453441619873,2025-07-10 19:49:53.667557,2025-07-10 19:51:55.644786,0 days 00:02:01.977229,identity,min,0.00010453104581387981,7,19,sigmoid,COMPLETE
19,4.096201791981002e-06,2025-07-10 19:51:55.645703,2025-07-10 19:54:01.142486,0 days 00:02:05.496783,identity,prod,0.009976859150751876,7,18,bell,COMPLETE
20,0.00038006744580343366,2025-07-10 19:54:01.143485,2025-07-10 19:56:19.894081,0 days 00:02:18.750596,identity,prod,0.003475510995763608,8,22,gaussian,COMPLETE
21,0.0009060103329829872,2025-07-10 19:56:19.894956,2025-07-10 19:58:25.191571,0 days 00:02:05.296615,identity,prod,0.008705812767565439,7,18,bell,COMPLETE
22,3.4350709938735235e-06,2025-07-10 19:58:25.192469,2025-07-10 20:00:26.372180,0 days 00:02:01.179711,identity,prod,0.009029487721353237,7,17,bell,COMPLETE
23,2.6094983695656992e-05,2025-07-10 20:00:26.373041,2025-07-10 20:02:44.564155,0 days 00:02:18.191114,identity,prod,0.006542900866148831,7,21,bell,COMPLETE
24,3.5786174521490466e-06,2025-07-10 20:02:44.565073,2025-07-10 20:04:42.810420,0 days 00:01:58.245347,identity,prod,0.0040711420917512895,8,16,bell,COMPLETE
25,0.004303123336285353,2025-07-10 20:04:42.811332,2025-07-10 20:06:41.053492,0 days 00:01:58.242160,identity,prod,0.001751667276216133,8,16,bell,COMPLETE
26,1.1002178325725254e-05,2025-07-10 20:06:41.054350,2025-07-10 20:09:10.800120,0 days 00:02:29.745770,identity,min,0.0032737870436734275,8,24,bell,COMPLETE
27,4.150226232013665e-06,2025-07-10 20:09:10.801153,2025-07-10 20:10:56.504405,0 days 00:01:45.703252,identity,prod,0.009894921679442531,6,14,bell,COMPLETE
28,4.156038357905345e-06,2025-07-10 20:10:56.505223,2025-07-10 20:13:11.494885,0 days 00:02:14.989662,identity,prod,0.004234291466212779,8,20,bell,COMPLETE
29,0.010794413276016712,2025-07-10 20:13:11.495795,2025-07-10 20:15:40.814083,0 days 00:02:29.318288,relu,prod,0.002834021403532853,7,25,sigmoid,COMPLETE
30,0.003252066671848297,2025-07-10 20:15:40.815003,2025-07-10 20:17:41.970700,0 days 00:02:01.155697,identity,prod,0.007100541314182721,7,17,bell,COMPLETE
31,0.06365043669939041,2025-07-10 20:17:41.971738,2025-07-10 20:19:22.069467,0 days 00:01:40.097729,identity,prod,0.005708168836912137,7,13,gaussian,COMPLETE
32,3.7048662306915503e-06,2025-07-10 20:19:22.070446,2025-07-10 20:21:23.264812,0 days 00:02:01.194366,identity,prod,0.0070366846963038875,7,17,bell,COMPLETE
33,2.130887696694117e-05,2025-07-10 20:21:23.265790,2025-07-10 20:23:21.701369,0 days 00:01:58.435579,identity,prod,0.0077510078493230015,6,17,bell,COMPLETE
34,5.990592853777343e-06,2025-07-10 20:23:21.702364,2025-07-10 20:25:36.071763,0 days 00:02:14.369399,relu,prod,0.003888319830211321,7,20,bell,COMPLETE
35,0.0022548544220626354,2025-07-10 20:25:36.072656,2025-07-10 20:27:36.577112,0 days 00:02:00.504456,relu,min,0.0024225065164819935,8,17,bell,COMPLETE
36,0.015426778234541416,2025-07-10 20:27:36.577968,2025-07-10 20:29:43.323390,0 days 00:02:06.745422,identity,prod,0.0005222075255990159,6,19,bell,COMPLETE
37,0.00017085354193113744,2025-07-10 20:29:43.324316,2025-07-10 20:31:36.008528,0 days 00:01:52.684212,identity,prod,0.007175545295122454,9,14,bell,COMPLETE
38,0.04092841222882271,2025-07-10 20:31:36.009473,2025-07-10 20:33:25.952392,0 days 00:01:49.942919,relu,min,0.0013381124511359142,7,16,sigmoid,COMPLETE
39,4.22736684413394e-06,2025-07-10 20:33:25.953269,2025-07-10 20:35:53.529766,0 days 00:02:27.576497,identity,prod,0.00844994033317123,8,23,bell,COMPLETE
40,0.0025780622381716967,2025-07-10 20:35:53.551629,2025-07-10 20:38:08.688184,0 days 00:02:15.136555,identity,prod,0.0006522864057517312,6,21,bell,COMPLETE
41,0.41948288679122925,2025-07-10 20:38:08.689168,2025-07-10 20:39:57.177476,0 days 00:01:48.488308,identity,prod,0.005143187734035085,7,15,gaussian,COMPLETE
42,0.26515355706214905,2025-07-10 20:39:57.273831,2025-07-10 20:41:37.291550,0 days 00:01:40.017719,identity,prod,0.00027342690113847065,7,13,gaussian,COMPLETE
43,0.2736002206802368,2025-07-10 20:41:37.292406,2025-07-10 20:43:12.246464,0 days 00:01:34.954058,identity,prod,0.006019520556957708,7,11,gaussian,COMPLETE
44,0.0053626918233931065,2025-07-10 20:43:12.247468,2025-07-10 20:45:13.620522,0 days 00:02:01.373054,identity,prod,0.005132371195955431,7,18,gaussian,COMPLETE
45,3.637207328210934e-06,2025-07-10 20:45:13.621445,2025-07-10 20:47:10.467408,0 days 00:01:56.845963,identity,prod,0.007932720830754495,7,16,bell,COMPLETE
46,1.3167331218719482,2025-07-10 20:47:10.524981,2025-07-10 20:49:12.393875,0 days 00:02:01.868894,relu,prod,0.007478153451435151,9,16,bell,COMPLETE
