number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,params_shuffle,params_weight_decay,state
0,0.05241188034415245,2025-07-04 11:49:01.021540,2025-07-04 11:49:06.063644,0 days 00:00:05.042104,sigmoid,128,21,0.00019811566445124986,13,True,5.650397473118013e-05,COMPLETE
1,6.728432344971225e-05,2025-07-04 11:49:06.064165,2025-07-04 11:49:15.083938,0 days 00:00:09.019773,identity,32,20,0.0008689129338527843,10,True,1.786629775397877e-05,COMPLETE
2,0.036500174552202225,2025-07-04 11:49:15.084195,2025-07-04 11:49:20.854580,0 days 00:00:05.770385,sigmoid,64,13,0.005980192807893069,18,False,0.00016373653552871273,COMPLETE
3,0.003127833129838109,2025-07-04 11:49:20.854814,2025-07-04 11:49:26.335426,0 days 00:00:05.480612,identity,64,8,0.000424183809333622,19,False,3.873632260678554e-05,COMPLETE
4,0.04974798113107681,2025-07-04 11:49:26.335639,2025-07-04 11:49:35.001216,0 days 00:00:08.665577,sigmoid,32,16,0.00019020476897845052,8,True,0.0005758117162477172,COMPLETE
5,0.03716867044568062,2025-07-04 11:49:35.001421,2025-07-04 11:49:52.884852,0 days 00:00:17.883431,sigmoid,32,120,0.005423916710590088,13,True,0.00020127764155437034,COMPLETE
6,7.356490095844492e-05,2025-07-04 11:49:52.885408,2025-07-04 11:49:56.762180,0 days 00:00:03.876772,identity,128,41,0.009350424564860658,9,True,5.367923625983792e-05,COMPLETE
7,1.1836494195449632e-05,2025-07-04 11:49:56.762434,2025-07-04 11:50:06.855476,0 days 00:00:10.093042,identity,32,55,0.00015438756032421367,10,False,4.9954469499881616e-05,COMPLETE
8,0.033100612461566925,2025-07-04 11:50:06.855699,2025-07-04 11:50:13.202996,0 days 00:00:06.347297,sigmoid,64,32,0.00022236716178562695,19,True,4.7380460704448844e-05,COMPLETE
9,0.03355414420366287,2025-07-04 11:50:13.203213,2025-07-04 11:50:24.058730,0 days 00:00:10.855517,sigmoid,32,47,0.00012898243804660561,20,False,1.255171342459322e-05,COMPLETE
10,0.00461675226688385,2025-07-04 11:50:24.058946,2025-07-04 11:50:44.013474,0 days 00:00:19.954528,relu,16,82,0.0019250117570830906,16,False,0.0009924828483169794,COMPLETE
11,9.584757208358496e-06,2025-07-04 11:50:44.013709,2025-07-04 11:50:54.881780,0 days 00:00:10.868071,identity,32,67,0.0009080337516298892,11,False,1.1588101513033781e-05,COMPLETE
12,8.256800356321037e-06,2025-07-04 11:50:54.882030,2025-07-04 11:51:06.061724,0 days 00:00:11.179694,identity,32,73,0.0014191547291292482,11,False,2.279937583806457e-05,COMPLETE
13,9.930624401022214e-06,2025-07-04 11:51:06.061984,2025-07-04 11:51:24.843342,0 days 00:00:18.781358,identity,16,87,0.0015587284341171581,12,False,2.0804683303278057e-05,COMPLETE
14,9.284548468713183e-06,2025-07-04 11:51:24.843600,2025-07-04 11:51:36.128071,0 days 00:00:11.284471,relu,32,69,0.000703674110073451,15,False,1.8875006014496472e-05,COMPLETE
15,8.477028131892439e-06,2025-07-04 11:51:36.128356,2025-07-04 11:51:50.341762,0 days 00:00:14.213406,relu,32,95,0.0005307971178720917,15,False,2.2601459960293336e-05,COMPLETE
16,5.2473907999228686e-05,2025-07-04 11:51:50.342068,2025-07-04 11:52:05.614388,0 days 00:00:15.272320,relu,32,110,0.002343096238505746,16,False,0.00010486778864040943,COMPLETE
17,1.5722047464805655e-05,2025-07-04 11:52:05.614685,2025-07-04 11:52:25.794866,0 days 00:00:20.180181,relu,16,95,0.0004371327855639833,14,False,2.5571768929866363e-05,COMPLETE
18,0.004163887817412615,2025-07-04 11:52:25.795127,2025-07-04 11:52:34.345853,0 days 00:00:08.550726,relu,128,99,0.0004170767250904521,17,False,0.00010188277516574554,COMPLETE
19,2.3574504666612484e-05,2025-07-04 11:52:34.346158,2025-07-04 11:52:47.820523,0 days 00:00:13.474365,relu,32,125,0.003162705761661751,12,False,2.9369778869249826e-05,COMPLETE
20,7.862091479182709e-06,2025-07-04 11:52:47.820811,2025-07-04 11:52:59.046665,0 days 00:00:11.225854,identity,32,74,0.0013375159588086875,14,False,1.0966626702425492e-05,COMPLETE
21,2.6712508770287968e-05,2025-07-04 11:52:59.046916,2025-07-04 11:53:10.485802,0 days 00:00:11.438886,identity,32,74,0.0014229870998755164,15,False,1.1123069589076523e-05,COMPLETE
22,9.454205610381905e-06,2025-07-04 11:53:10.486066,2025-07-04 11:53:20.778939,0 days 00:00:10.292873,identity,32,58,0.0006445951220762032,14,False,1.5227231622383935e-05,COMPLETE
23,1.3057612704869825e-05,2025-07-04 11:53:20.779201,2025-07-04 11:53:33.123694,0 days 00:00:12.344493,identity,32,104,0.0013234673688330095,12,False,3.096240919515235e-05,COMPLETE
24,1.2936140592501033e-05,2025-07-04 11:53:33.123958,2025-07-04 11:53:44.722638,0 days 00:00:11.598680,identity,32,81,0.0040533812155024804,14,False,1.061248150891248e-05,COMPLETE
25,4.333264587330632e-05,2025-07-04 11:53:44.722905,2025-07-04 11:53:57.139645,0 days 00:00:12.416740,relu,32,88,0.002540868996981949,16,False,8.020429596143822e-05,COMPLETE
26,0.0004890170530416071,2025-07-04 11:53:57.139909,2025-07-04 11:54:03.723143,0 days 00:00:06.583234,identity,128,112,0.0002718342098400153,11,False,2.396285013866535e-05,COMPLETE
27,1.4640196241089143e-05,2025-07-04 11:54:03.723451,2025-07-04 11:54:10.694550,0 days 00:00:06.971099,relu,64,62,0.0005894280243205986,13,False,1.6208991639783872e-05,COMPLETE
28,6.373067299136892e-05,2025-07-04 11:54:10.694832,2025-07-04 11:54:30.348975,0 days 00:00:19.654143,identity,16,76,0.0011860931782350624,17,False,3.601679975261004e-05,COMPLETE
29,0.00014087776071392,2025-07-04 11:54:30.349239,2025-07-04 11:54:36.887452,0 days 00:00:06.538213,relu,128,95,0.00034699577760088446,13,True,7.269100213939637e-05,COMPLETE
30,6.05336063017603e-05,2025-07-04 11:54:36.887749,2025-07-04 11:54:46.583026,0 days 00:00:09.695277,identity,32,52,0.0019162474278747177,8,False,0.0002153635927657345,COMPLETE
31,5.4888982958800625e-06,2025-07-04 11:54:46.583285,2025-07-04 11:54:57.933825,0 days 00:00:11.350540,relu,32,69,0.0006610612345791158,15,False,1.9387752644838552e-05,COMPLETE
32,5.288001830194844e-06,2025-07-04 11:54:57.934076,2025-07-04 11:55:09.126179,0 days 00:00:11.192103,relu,32,66,0.0009890139131391695,15,False,1.6319087457822177e-05,COMPLETE
33,9.010119356389623e-06,2025-07-04 11:55:09.126448,2025-07-04 11:55:20.647602,0 days 00:00:11.521154,relu,32,65,0.0009434384442247878,17,False,1.3673930066751602e-05,COMPLETE
34,7.640129297215026e-06,2025-07-04 11:55:20.647872,2025-07-04 11:55:32.074879,0 days 00:00:11.427007,relu,32,72,0.0008162430596788355,15,False,1.7259333624023077e-05,COMPLETE
