number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
0,0.1345725953578949,2025-07-10 19:21:41.534124,2025-07-10 19:22:31.567958,0 days 00:00:50.033834,identity,prod,0.0025890943815425455,5,6,gaussian,COMPLETE
1,1.3189793825149536,2025-07-10 19:22:31.568988,2025-07-10 19:23:22.935249,0 days 00:00:51.366261,relu,min,0.0019481181572359987,8,9,sigmoid,COMPLETE
2,0.20102138817310333,2025-07-10 19:23:22.935849,2025-07-10 19:24:23.343827,0 days 00:01:00.407978,relu,prod,0.00029415344288543114,8,25,bell,COMPLETE
3,0.0803738608956337,2025-07-10 19:24:23.345024,2025-07-10 19:25:16.256368,0 days 00:00:52.911344,relu,min,0.0003794567297038501,5,19,bell,COMPLETE
4,0.0001641160633880645,2025-07-10 19:25:16.256949,2025-07-10 19:26:10.182842,0 days 00:00:53.925893,identity,prod,0.008920905497319965,8,19,gaussian,COMPLETE
5,0.006597158033400774,2025-07-10 19:26:10.183422,2025-07-10 19:26:58.236178,0 days 00:00:48.052756,relu,prod,0.0006763454174573316,5,15,sigmoid,COMPLETE
6,0.01328141987323761,2025-07-10 19:26:58.236751,2025-07-10 19:27:46.998144,0 days 00:00:48.761393,relu,min,0.00019504020435902623,5,10,gaussian,COMPLETE
7,4.7766570787644014e-05,2025-07-10 19:27:46.998709,2025-07-10 19:28:36.171397,0 days 00:00:49.172688,identity,prod,0.0006035087070054423,5,16,gaussian,COMPLETE
8,6.6825687099481e-06,2025-07-10 19:28:36.171953,2025-07-10 19:29:24.667409,0 days 00:00:48.495456,identity,min,0.00952299991550127,6,9,sigmoid,COMPLETE
9,0.00044893575250171125,2025-07-10 19:29:24.667971,2025-07-10 19:30:15.070444,0 days 00:00:50.402473,identity,prod,0.0011637074712665676,6,6,gaussian,COMPLETE
10,1.81284049176611e-05,2025-07-10 19:30:15.071017,2025-07-10 19:31:05.948103,0 days 00:00:50.877086,identity,min,0.009393811336822357,7,11,sigmoid,COMPLETE
11,0.00011713484127540141,2025-07-10 19:31:05.948695,2025-07-10 19:31:56.701251,0 days 00:00:50.752556,identity,min,0.009685968440891958,7,11,sigmoid,COMPLETE
12,0.01745280623435974,2025-07-10 19:31:56.701812,2025-07-10 19:32:45.838190,0 days 00:00:49.136378,identity,min,0.004437120082898683,7,12,sigmoid,COMPLETE
13,0.0176452174782753,2025-07-10 19:32:45.838780,2025-07-10 19:33:33.910870,0 days 00:00:48.072090,identity,min,0.005052411829059269,6,8,sigmoid,COMPLETE
14,0.08544448018074036,2025-07-10 19:33:33.911445,2025-07-10 19:34:26.065256,0 days 00:00:52.153811,identity,min,0.00010132455296556671,9,15,sigmoid,COMPLETE
15,0.000925278989598155,2025-07-10 19:34:26.065856,2025-07-10 19:35:15.533847,0 days 00:00:49.467991,identity,min,0.0046774811739785345,7,13,sigmoid,COMPLETE
16,0.0038709058426320553,2025-07-10 19:35:15.534423,2025-07-10 19:36:02.927672,0 days 00:00:47.393249,identity,min,0.0024345849123109673,6,5,sigmoid,COMPLETE
17,3.909699898940744e-06,2025-07-10 19:36:02.928205,2025-07-10 19:36:56.035033,0 days 00:00:53.106828,identity,min,0.006349892930604402,6,8,bell,COMPLETE
