number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_lr,params_num_layers,params_shuffle,params_size_layers,params_weight_decay,state
0,7.3675009844009764e-06,2025-07-01 21:09:31.010589,2025-07-01 21:09:35.716320,0 days 00:00:04.705731,relu,32,0.0066775132862813774,1,True,63,3.149027863624704e-05,COMPLETE
1,8.875619641912635e-06,2025-07-01 21:09:35.716908,2025-07-01 21:09:41.449141,0 days 00:00:05.732233,identity,32,0.0018867938346372852,2,True,105,8.185541353069843e-05,COMPLETE
2,0.0003700019733514637,2025-07-01 21:09:41.449462,2025-07-01 21:09:43.845356,0 days 00:00:02.395894,relu,64,0.0007411913328443019,1,False,65,0.0008939087573982467,COMPLETE
3,0.0008902845438569784,2025-07-01 21:09:43.845641,2025-07-01 21:09:47.256667,0 days 00:00:03.411026,relu,64,0.00026442185580222936,2,True,15,0.00018246354875453566,COMPLETE
4,0.5672297477722168,2025-07-01 21:09:47.256997,2025-07-01 21:09:51.771899,0 days 00:00:04.514902,relu,64,0.0002885062277282522,4,False,43,0.0003657661288995327,COMPLETE
5,0.04685771465301514,2025-07-01 21:09:51.772212,2025-07-01 21:09:54.060725,0 days 00:00:02.288513,sigmoid,128,0.00409248741652383,2,False,49,9.197885308804737e-05,COMPLETE
6,0.003694000653922558,2025-07-01 21:09:54.061040,2025-07-01 21:09:57.608431,0 days 00:00:03.547391,relu,64,0.0007634856443082573,2,True,70,1.6592438052169763e-05,COMPLETE
7,1.5125641766644549e-05,2025-07-01 21:09:57.608753,2025-07-01 21:10:00.388953,0 days 00:00:02.780200,identity,128,0.0017396681944583858,4,True,52,1.4572857245628197e-05,COMPLETE
8,0.0008416346972808242,2025-07-01 21:10:00.389263,2025-07-01 21:10:10.248814,0 days 00:00:09.859551,relu,16,0.008433484236349546,2,False,42,0.0002893505692151346,COMPLETE
9,5.1936945055786055e-06,2025-07-01 21:10:10.249133,2025-07-01 21:10:12.558581,0 days 00:00:02.309448,identity,64,0.0021852681283949403,1,False,123,4.6999222740457916e-05,COMPLETE
10,8.991482172859833e-05,2025-07-01 21:10:12.558857,2025-07-01 21:10:24.518060,0 days 00:00:11.959203,identity,16,0.0001068229696426708,3,False,128,3.9678232799074236e-05,COMPLETE
11,0.04708673804998398,2025-07-01 21:10:24.518599,2025-07-01 21:10:28.497753,0 days 00:00:03.979154,sigmoid,32,0.008637560056343346,1,True,92,3.679753942516152e-05,COMPLETE
12,6.8774738792853896e-06,2025-07-01 21:10:28.498040,2025-07-01 21:10:32.301229,0 days 00:00:03.803189,identity,32,0.0035286169609790217,1,True,92,3.222933948727297e-05,COMPLETE
13,4.188443563180044e-05,2025-07-01 21:10:32.301521,2025-07-01 21:10:36.104838,0 days 00:00:03.803317,identity,32,0.002628828481217253,1,False,125,5.5771711480243066e-05,COMPLETE
14,4.8625548515701666e-05,2025-07-01 21:10:36.105120,2025-07-01 21:10:40.144864,0 days 00:00:04.039744,identity,64,0.003780040592357012,3,True,99,1.1252761239743596e-05,COMPLETE
15,1.4498775271931663e-05,2025-07-01 21:10:40.145169,2025-07-01 21:10:43.945649,0 days 00:00:03.800480,identity,32,0.0011715651095761084,1,False,112,2.505055176865192e-05,COMPLETE
16,6.0863953876832966e-06,2025-07-01 21:10:43.945923,2025-07-01 21:10:45.519486,0 days 00:00:01.573563,identity,128,0.004351321901175588,1,False,83,0.0001597680543465294,COMPLETE
17,5.973802672087913e-06,2025-07-01 21:10:45.519768,2025-07-01 21:10:48.077700,0 days 00:00:02.557932,identity,128,0.001406923472731127,3,False,80,0.00018470847464687262,COMPLETE
18,0.5772202014923096,2025-07-01 21:10:48.078013,2025-07-01 21:10:50.628421,0 days 00:00:02.550408,sigmoid,128,0.00045093473750881184,3,False,22,0.0006620073234443887,COMPLETE
19,5.633791715808911e-06,2025-07-01 21:10:50.628734,2025-07-01 21:10:53.322815,0 days 00:00:02.694081,identity,128,0.001206498092044079,3,False,113,0.0001568277541699668,COMPLETE
20,8.421895472565666e-06,2025-07-01 21:10:53.323125,2025-07-01 21:11:07.437848,0 days 00:00:14.114723,identity,16,0.0005360071777795526,4,False,119,7.021485909104174e-05,COMPLETE
21,5.529418558580801e-06,2025-07-01 21:11:07.438167,2025-07-01 21:11:10.132230,0 days 00:00:02.694063,identity,128,0.0013313000820627501,3,False,110,0.0001493037901457108,COMPLETE
22,5.703125225409167e-06,2025-07-01 21:11:10.132772,2025-07-01 21:11:12.810257,0 days 00:00:02.677485,identity,128,0.0023231480044501747,3,False,110,0.0001303689918835477,COMPLETE
23,6.53517099635792e-06,2025-07-01 21:11:12.810576,2025-07-01 21:11:15.520092,0 days 00:00:02.709516,identity,128,0.0009791202321954597,3,False,117,0.00031963903881873147,COMPLETE
24,5.196214260649867e-06,2025-07-01 21:11:15.520402,2025-07-01 21:11:18.529640,0 days 00:00:03.009238,identity,128,0.001135141505216187,4,False,104,5.5061992016090394e-05,COMPLETE
25,0.5625057220458984,2025-07-01 21:11:18.529951,2025-07-01 21:11:23.370395,0 days 00:00:04.840444,sigmoid,64,0.002733254021873274,4,False,100,5.223749941361527e-05,COMPLETE
26,5.387030341807986e-06,2025-07-01 21:11:23.370715,2025-07-01 21:11:26.447321,0 days 00:00:03.076606,identity,128,0.0008365487582612344,4,False,128,0.00010471815509299824,COMPLETE
27,5.1614756557682995e-06,2025-07-01 21:11:26.447639,2025-07-01 21:11:29.594721,0 days 00:00:03.147082,identity,128,0.000558311000202548,4,False,123,5.9492110460739045e-05,COMPLETE
28,4.781143616128247e-06,2025-07-01 21:11:29.595036,2025-07-01 21:11:34.316657,0 days 00:00:04.721621,identity,64,0.00045848347522255026,4,False,121,2.4329413760912377e-05,COMPLETE
29,0.06472413241863251,2025-07-01 21:11:34.316992,2025-07-01 21:11:39.285836,0 days 00:00:04.968844,sigmoid,64,0.0002594554234724782,4,False,120,2.0981808493680043e-05,COMPLETE
30,5.252445589576382e-06,2025-07-01 21:11:39.286153,2025-07-01 21:11:43.798179,0 days 00:00:04.512026,identity,64,0.0001454322930580337,4,False,92,2.6664723727291913e-05,COMPLETE
31,5.499385224538855e-06,2025-07-01 21:11:43.798489,2025-07-01 21:11:48.519400,0 days 00:00:04.720911,identity,64,0.0005042873355427797,4,False,121,5.156118605058247e-05,COMPLETE
32,5.560394583881134e-06,2025-07-01 21:11:48.519709,2025-07-01 21:11:53.229332,0 days 00:00:04.709623,identity,64,0.0004075192147170507,4,False,103,4.336500816765545e-05,COMPLETE
33,5.591855369857512e-06,2025-07-01 21:11:53.229646,2025-07-01 21:11:57.977263,0 days 00:00:04.747617,identity,64,0.000664580857430991,4,False,105,6.788921461920317e-05,COMPLETE
34,7.896342140156776e-06,2025-07-01 21:11:57.977580,2025-07-01 21:12:11.878542,0 days 00:00:13.900962,identity,16,0.00037411880960947955,4,False,117,1.9996769000629782e-05,COMPLETE
35,0.008047627285122871,2025-07-01 21:12:11.878860,2025-07-01 21:12:16.586886,0 days 00:00:04.708026,relu,64,0.0001759484300291222,4,False,83,6.177173435156808e-05,COMPLETE
36,5.219909144216217e-05,2025-07-01 21:12:16.587204,2025-07-01 21:12:18.916165,0 days 00:00:02.328961,identity,128,0.0018352207782990914,2,False,108,2.9194436198709638e-05,COMPLETE
37,5.777576461696299e-06,2025-07-01 21:12:18.916484,2025-07-01 21:12:23.714790,0 days 00:00:04.798306,identity,64,0.0005752178664824192,4,False,123,8.594187527839136e-05,COMPLETE
