number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
0,0.07411317527294159,2025-07-10 19:17:00.667620,2025-07-10 19:18:17.404667,0 days 00:01:16.737047,relu,min,0.00016352160358979606,9,23,gaussian,COMPLETE
1,0.0005771898431703448,2025-07-10 19:18:17.405621,2025-07-10 19:19:11.289907,0 days 00:00:53.884286,identity,min,0.0021738435614939923,6,12,sigmoid,COMPLETE
2,3.86701185561833e-06,2025-07-10 19:19:11.290463,2025-07-10 19:20:22.579673,0 days 00:01:11.289210,relu,prod,0.008117230240238863,7,22,sigmoid,COMPLETE
3,0.005191087257117033,2025-07-10 19:20:22.580261,2025-07-10 19:21:30.868107,0 days 00:01:08.287846,identity,min,0.0005078293384652212,6,23,sigmoid,COMPLETE
4,0.0011234628036618233,2025-07-10 19:21:30.868659,2025-07-10 19:22:44.748654,0 days 00:01:13.879995,identity,min,0.0024387937379582274,8,21,bell,COMPLETE
5,0.19798758625984192,2025-07-10 19:22:44.749238,2025-07-10 19:23:34.448428,0 days 00:00:49.699190,relu,min,0.00012460850671239205,7,6,sigmoid,COMPLETE
6,0.000182072413736023,2025-07-10 19:23:34.448948,2025-07-10 19:24:38.730508,0 days 00:01:04.281560,identity,prod,0.005914143711325938,7,16,gaussian,COMPLETE
7,0.005572259891778231,2025-07-10 19:24:38.731076,2025-07-10 19:25:37.363143,0 days 00:00:58.632067,identity,min,0.00097319878055893,5,16,gaussian,COMPLETE
8,0.21241189539432526,2025-07-10 19:25:37.363669,2025-07-10 19:26:38.565403,0 days 00:01:01.201734,relu,min,0.0035747466356333044,5,15,bell,COMPLETE
9,0.007696016691625118,2025-07-10 19:26:38.565933,2025-07-10 19:27:44.994874,0 days 00:01:06.428941,relu,prod,0.00012640051099082423,9,15,gaussian,COMPLETE
10,1.1431030543462839e-05,2025-07-10 19:27:44.995397,2025-07-10 19:29:00.904254,0 days 00:01:15.908857,relu,prod,0.00983299359680754,8,25,sigmoid,COMPLETE
11,1.1904799938201904,2025-07-10 19:29:00.904836,2025-07-10 19:30:16.792709,0 days 00:01:15.887873,relu,prod,0.00983033632742205,8,25,sigmoid,COMPLETE
12,1.3161295652389526,2025-07-10 19:30:16.793281,2025-07-10 19:31:26.247101,0 days 00:01:09.453820,relu,prod,0.009967236182361495,8,20,sigmoid,COMPLETE
13,1.3161295652389526,2025-07-10 19:31:26.247683,2025-07-10 19:32:41.334153,0 days 00:01:15.086470,relu,prod,0.004572317822833242,7,25,sigmoid,COMPLETE
14,1.316251516342163,2025-07-10 19:32:41.334734,2025-07-10 19:33:49.636364,0 days 00:01:08.301630,relu,prod,0.001391004292142634,8,19,sigmoid,COMPLETE
15,0.0007829584064893425,2025-07-10 19:33:49.637145,2025-07-10 19:34:42.268138,0 days 00:00:52.630993,relu,prod,0.0003670813832383698,6,8,sigmoid,COMPLETE
16,3.92346646549413e-06,2025-07-10 19:34:42.268712,2025-07-10 19:36:02.910199,0 days 00:01:20.641487,relu,prod,0.0068935282871639605,9,22,bell,COMPLETE
17,0.005908810533583164,2025-07-10 19:36:02.911138,2025-07-10 19:37:17.910136,0 days 00:01:14.998998,relu,prod,0.005445962440642218,9,18,bell,COMPLETE
18,8.126366992655676e-06,2025-07-10 19:37:17.910731,2025-07-10 19:38:18.491158,0 days 00:01:00.580427,relu,prod,0.00269719723804171,6,12,bell,COMPLETE
19,0.001101997564546764,2025-07-10 19:38:18.491727,2025-07-10 19:39:35.520224,0 days 00:01:17.028497,relu,prod,0.001195162053228671,7,22,bell,COMPLETE
20,0.03288021311163902,2025-07-10 19:39:35.521272,2025-07-10 19:40:50.325721,0 days 00:01:14.804449,relu,prod,0.0006655505928384128,9,18,bell,COMPLETE
21,0.04814767464995384,2025-07-10 19:40:50.326306,2025-07-10 19:41:50.878014,0 days 00:01:00.551708,relu,prod,0.0029414515004105774,6,12,bell,COMPLETE
22,5.921149295318173e-06,2025-07-10 19:41:50.878595,2025-07-10 19:42:53.296124,0 days 00:01:02.417529,relu,prod,0.006351102492267938,7,10,bell,COMPLETE
23,1.1086777703894768e-05,2025-07-10 19:42:53.296701,2025-07-10 19:43:55.565969,0 days 00:01:02.269268,relu,prod,0.006367340511033116,7,10,bell,COMPLETE
24,0.4660096764564514,2025-07-10 19:43:55.566553,2025-07-10 19:44:50.294585,0 days 00:00:54.728032,relu,prod,0.003960426947053246,7,5,bell,COMPLETE
25,0.023455195128917694,2025-07-10 19:44:50.295163,2025-07-10 19:45:52.390306,0 days 00:01:02.095143,relu,prod,0.00159085891663539,8,9,bell,COMPLETE
26,3.669020316010574e-06,2025-07-10 19:45:52.390892,2025-07-10 19:46:57.805387,0 days 00:01:05.414495,identity,prod,0.007415149861207169,7,14,bell,COMPLETE
27,4.092446943104733e-06,2025-07-10 19:46:57.806261,2025-07-10 19:48:07.237607,0 days 00:01:09.431346,identity,prod,0.00739572469959416,7,17,bell,COMPLETE
28,0.0062317331321537495,2025-07-10 19:48:07.238186,2025-07-10 19:49:17.265574,0 days 00:01:10.027388,identity,prod,0.004155014150027768,8,20,gaussian,COMPLETE
29,0.32061004638671875,2025-07-10 19:49:17.266136,2025-07-10 19:50:24.529730,0 days 00:01:07.263594,identity,prod,0.0002879485285950895,9,13,bell,COMPLETE
30,4.7628423089918215e-06,2025-07-10 19:50:24.530316,2025-07-10 19:51:34.421337,0 days 00:01:09.891021,identity,prod,0.007599138533073144,6,22,gaussian,COMPLETE
31,0.005889974534511566,2025-07-10 19:51:34.421921,2025-07-10 19:52:43.842397,0 days 00:01:09.420476,identity,prod,0.007261668332949526,7,17,bell,COMPLETE
32,3.787270179600455e-05,2025-07-10 19:52:43.842980,2025-07-10 19:53:49.188063,0 days 00:01:05.345083,identity,prod,0.001963903144648994,7,14,bell,COMPLETE
33,3.877332801494049e-06,2025-07-10 19:53:49.188655,2025-07-10 19:55:06.888075,0 days 00:01:17.699420,identity,prod,0.004972529684006765,7,23,bell,COMPLETE
34,3.6137346342002274e-06,2025-07-10 19:55:06.888662,2025-07-10 19:56:20.727989,0 days 00:01:13.839327,identity,min,0.004877144204230111,6,23,bell,COMPLETE
35,2.623443833726924e-05,2025-07-10 19:56:20.728576,2025-07-10 19:57:28.580046,0 days 00:01:07.851470,identity,min,0.0033427796449924637,5,24,sigmoid,COMPLETE
36,0.018442422151565552,2025-07-10 19:57:28.580637,2025-07-10 19:58:42.300543,0 days 00:01:13.719906,identity,min,0.00489186605923538,6,23,bell,COMPLETE
37,0.00046244621626101434,2025-07-10 19:58:42.301131,2025-07-10 19:59:47.885545,0 days 00:01:05.584414,identity,min,0.0017544998595739518,6,21,sigmoid,COMPLETE
38,0.0002557711850386113,2025-07-10 19:59:47.886125,2025-07-10 20:01:01.547346,0 days 00:01:13.661221,identity,min,0.0027011444873634343,6,23,bell,COMPLETE
39,0.0006547055672854185,2025-07-10 20:01:01.547927,2025-07-10 20:02:10.457257,0 days 00:01:08.909330,identity,min,0.00089933127338018,5,24,gaussian,COMPLETE
40,0.00496105570346117,2025-07-10 20:02:10.457846,2025-07-10 20:03:22.509808,0 days 00:01:12.051962,identity,min,0.002285979984116359,7,20,bell,COMPLETE
41,3.6978901789552765e-06,2025-07-10 20:03:22.510407,2025-07-10 20:04:38.007510,0 days 00:01:15.497103,identity,min,0.007878331672982786,8,22,bell,COMPLETE
42,4.7528928917017765e-06,2025-07-10 20:04:38.008119,2025-07-10 20:05:51.918109,0 days 00:01:13.909990,identity,min,0.008270045262610038,8,21,bell,COMPLETE
43,4.715574959845981e-06,2025-07-10 20:05:51.918708,2025-07-10 20:07:09.987937,0 days 00:01:18.069229,identity,min,0.005310298761725092,8,24,bell,COMPLETE
44,0.00011353408626746386,2025-07-10 20:07:09.988534,2025-07-10 20:08:19.093130,0 days 00:01:09.104596,identity,min,0.00867241792277018,7,22,sigmoid,COMPLETE
45,0.010267977602779865,2025-07-10 20:08:19.093718,2025-07-10 20:09:27.412058,0 days 00:01:08.318340,identity,min,0.0033962924228918548,6,19,bell,COMPLETE
46,0.12914711236953735,2025-07-10 20:09:27.412648,2025-07-10 20:10:25.975611,0 days 00:00:58.562963,identity,min,0.004746891069526814,7,14,sigmoid,COMPLETE
47,0.010835755616426468,2025-07-10 20:10:25.976195,2025-07-10 20:11:44.091504,0 days 00:01:18.115309,identity,min,0.006044197276061493,8,24,bell,COMPLETE
48,5.689736553904368e-06,2025-07-10 20:11:44.092443,2025-07-10 20:12:58.727221,0 days 00:01:14.634778,identity,min,0.009586915604252188,7,25,gaussian,COMPLETE
49,0.06324393302202225,2025-07-10 20:12:58.727809,2025-07-10 20:14:02.535221,0 days 00:01:03.807412,identity,min,0.0002060247056888281,5,21,sigmoid,COMPLETE
50,0.005826420616358519,2025-07-10 20:14:02.535802,2025-07-10 20:15:21.282422,0 days 00:01:18.746620,identity,prod,0.0039988976684066126,8,23,bell,COMPLETE
51,0.002895361976698041,2025-07-10 20:15:21.283009,2025-07-10 20:16:41.958556,0 days 00:01:20.675547,relu,prod,0.006383833487869659,9,22,bell,COMPLETE
52,0.0010389316594228148,2025-07-10 20:16:41.959166,2025-07-10 20:18:00.741614,0 days 00:01:18.782448,identity,prod,0.007800778136648314,9,21,bell,COMPLETE
53,5.684671123162843e-05,2025-07-10 20:18:00.742210,2025-07-10 20:19:23.231350,0 days 00:01:22.489140,relu,prod,0.005101304799896423,9,23,bell,COMPLETE
54,3.6514789826469496e-05,2025-07-10 20:19:23.231941,2025-07-10 20:20:36.772460,0 days 00:01:13.540519,relu,prod,0.006253926727990708,8,19,bell,COMPLETE
