number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,params_shuffle,params_weight_decay,state
0,7.578292297694134e-06,2025-07-04 11:46:05.864157,2025-07-04 11:46:31.730688,0 days 00:00:25.866531,relu,16,108,0.0026516803238576287,16,True,0.0001589893399993116,COMPLETE
1,1.6336814951500855e-05,2025-07-04 11:46:31.731344,2025-07-04 11:46:36.759553,0 days 00:00:05.028209,relu,128,25,0.007453974337822324,17,True,8.183226893125632e-05,COMPLETE
2,0.03248274326324463,2025-07-04 11:46:36.759724,2025-07-04 11:46:43.111827,0 days 00:00:06.352103,sigmoid,128,75,0.0008087721970830907,17,False,0.0005770847108902794,COMPLETE
3,6.44897372694686e-05,2025-07-04 11:46:43.112087,2025-07-04 11:47:01.841451,0 days 00:00:18.729364,identity,16,40,0.00023629723818366464,11,True,0.000329764687298469,COMPLETE
4,0.00011647914652712643,2025-07-04 11:47:01.842042,2025-07-04 11:47:08.083257,0 days 00:00:06.241215,identity,64,21,0.0026580966032920786,11,True,7.783247120546391e-05,COMPLETE
5,0.028530532494187355,2025-07-04 11:47:08.083477,2025-07-04 11:47:14.238019,0 days 00:00:06.154542,sigmoid,128,75,0.005523365558304727,16,False,0.00011854583574289973,COMPLETE
6,0.000412513327319175,2025-07-04 11:47:14.238249,2025-07-04 11:47:21.320191,0 days 00:00:07.081942,identity,64,38,0.00010475321366777123,13,True,0.0008825242716698914,COMPLETE
7,0.02993723750114441,2025-07-04 11:47:21.320376,2025-07-04 11:47:39.645397,0 days 00:00:18.325021,sigmoid,16,34,0.006796028130121766,10,False,7.226856458784187e-05,COMPLETE
8,0.00013366145140025765,2025-07-04 11:47:39.645729,2025-07-04 11:47:47.389170,0 days 00:00:07.743441,relu,64,66,0.0005333593450164973,13,True,0.0005800660782833043,COMPLETE
9,1.1277748853899539e-05,2025-07-04 11:47:47.389345,2025-07-04 11:48:06.442173,0 days 00:00:19.052828,relu,16,26,0.0006455940787634063,11,True,4.115391559349977e-05,COMPLETE
10,0.00019687155145220459,2025-07-04 11:48:06.442350,2025-07-04 11:48:25.049832,0 days 00:00:18.607482,relu,32,126,0.002347974097613449,20,False,1.18986057263193e-05,COMPLETE
11,5.167496965441387e-06,2025-07-04 11:48:25.050032,2025-07-04 11:48:44.850135,0 days 00:00:19.800103,relu,16,126,0.0017516183771754089,8,True,1.4472885644911086e-05,COMPLETE
12,6.005873729009181e-06,2025-07-04 11:48:44.850324,2025-07-04 11:49:04.288259,0 days 00:00:19.437935,relu,16,128,0.0020119556111392644,8,True,1.1421606865965467e-05,COMPLETE
13,6.4370133259217255e-06,2025-07-04 11:49:04.288438,2025-07-04 11:49:23.706645,0 days 00:00:19.418207,relu,16,128,0.001202772997574031,8,True,1.0285833478316633e-05,COMPLETE
14,7.80619120632764e-06,2025-07-04 11:49:23.706835,2025-07-04 11:49:35.134270,0 days 00:00:11.427435,relu,32,103,0.0019052290363964853,8,True,2.4991637253161195e-05,COMPLETE
15,7.777734936098568e-06,2025-07-04 11:49:35.134447,2025-07-04 11:49:55.439615,0 days 00:00:20.305168,relu,16,103,0.004157703712311213,9,True,2.2423258581800027e-05,COMPLETE
16,5.574712758971145e-06,2025-07-04 11:49:55.439794,2025-07-04 11:50:14.706535,0 days 00:00:19.266741,relu,16,114,0.0013308521222420292,8,True,2.130747546123265e-05,COMPLETE
17,5.1439565140753984e-06,2025-07-04 11:50:14.706713,2025-07-04 11:50:35.208362,0 days 00:00:20.501649,relu,16,90,0.00031371098516927085,10,True,2.8017750425306947e-05,COMPLETE
18,9.955393579730298e-06,2025-07-04 11:50:35.208549,2025-07-04 11:50:48.313485,0 days 00:00:13.104936,identity,32,91,0.0003410181683496496,13,False,4.320933940024758e-05,COMPLETE
19,0.029256809502840042,2025-07-04 11:50:48.313669,2025-07-04 11:51:09.038267,0 days 00:00:20.724598,sigmoid,16,91,0.00017840989380597515,10,True,4.123710657805659e-05,COMPLETE
20,6.197092261572834e-06,2025-07-04 11:51:09.038450,2025-07-04 11:51:28.402955,0 days 00:00:19.364505,relu,16,64,0.00036123804441239255,10,True,2.228817457372377e-05,COMPLETE
21,4.888196144747781e-06,2025-07-04 11:51:28.403133,2025-07-04 11:51:48.851487,0 days 00:00:20.448354,relu,16,115,0.0012756491305177273,9,True,1.8858331635146812e-05,COMPLETE
22,6.771769221813884e-06,2025-07-04 11:51:48.851668,2025-07-04 11:52:08.637707,0 days 00:00:19.786039,relu,16,91,0.0010581456169058469,9,True,1.5757207148537373e-05,COMPLETE
23,5.937882178841392e-06,2025-07-04 11:52:08.637889,2025-07-04 11:52:31.271775,0 days 00:00:22.633886,relu,16,114,0.0006663959037425756,12,True,3.157186113285589e-05,COMPLETE
24,7.293695944099454e-06,2025-07-04 11:52:31.271966,2025-07-04 11:52:51.847587,0 days 00:00:20.575621,relu,16,117,0.003993388920946923,9,True,1.704133027189561e-05,COMPLETE
25,6.747988663846627e-06,2025-07-04 11:52:51.847768,2025-07-04 11:53:12.880338,0 days 00:00:21.032570,relu,16,95,0.0015859561387329365,10,True,5.4976374319138406e-05,COMPLETE
26,1.2180951671325602e-05,2025-07-04 11:53:12.880528,2025-07-04 11:53:24.696013,0 days 00:00:11.815485,relu,32,80,0.000401424517968592,12,False,1.5848786361860564e-05,COMPLETE
27,3.48353642039001e-05,2025-07-04 11:53:24.696217,2025-07-04 11:53:29.950773,0 days 00:00:05.254556,relu,128,119,0.000901673277993435,9,True,3.058088664215153e-05,COMPLETE
28,6.0688238590955734e-05,2025-07-04 11:53:29.950999,2025-07-04 11:53:41.150054,0 days 00:00:11.199055,identity,64,99,0.0001568365908795607,20,True,0.00018835678487055671,COMPLETE
29,0.028455493971705437,2025-07-04 11:53:41.150274,2025-07-04 11:54:05.545433,0 days 00:00:24.395159,sigmoid,16,109,0.003128544914798423,14,True,0.0001706304877874855,COMPLETE
30,6.107172794145299e-06,2025-07-04 11:54:05.545634,2025-07-04 11:54:28.353179,0 days 00:00:22.807545,relu,16,56,0.0004931521048841028,15,True,1.519454532941705e-05,COMPLETE
31,7.223784450616222e-06,2025-07-04 11:54:28.353365,2025-07-04 11:54:47.712163,0 days 00:00:19.358798,relu,16,111,0.0013751990551377842,8,True,1.9719718928383668e-05,COMPLETE
32,6.580660738109145e-06,2025-07-04 11:54:47.712345,2025-07-04 11:55:07.236312,0 days 00:00:19.523967,relu,16,118,0.0015365580818808566,8,True,2.9205631218095915e-05,COMPLETE
33,7.236045803438174e-06,2025-07-04 11:55:07.236498,2025-07-04 11:55:26.689320,0 days 00:00:19.452822,relu,16,83,0.0008661459454105624,9,True,5.273037093736481e-05,COMPLETE
34,0.0004983090329915285,2025-07-04 11:55:26.689500,2025-07-04 11:55:30.588698,0 days 00:00:03.899198,relu,128,11,0.00120297720478734,11,True,1.3066036196982435e-05,COMPLETE
35,4.7715379878354724e-06,2025-07-04 11:55:30.588872,2025-07-04 11:55:51.292457,0 days 00:00:20.703585,relu,16,121,0.00025440706662406673,9,True,1.002335248653619e-05,COMPLETE
36,1.2298478395678103e-05,2025-07-04 11:55:51.292635,2025-07-04 11:56:19.974106,0 days 00:00:28.681471,relu,16,106,0.00025574601819461877,18,False,1.0887365246884738e-05,COMPLETE
37,0.0004748824576381594,2025-07-04 11:56:19.974290,2025-07-04 11:56:25.354433,0 days 00:00:05.380143,identity,128,122,0.00010631311022149133,10,True,1.7437231681941077e-05,COMPLETE
38,0.030237233266234398,2025-07-04 11:56:25.354657,2025-07-04 11:56:32.763377,0 days 00:00:07.408720,sigmoid,64,51,0.0002668234162932148,12,True,0.0001218185064321136,COMPLETE
39,5.283479367790278e-06,2025-07-04 11:56:32.763574,2025-07-04 11:56:53.442783,0 days 00:00:20.679209,relu,16,122,0.00016370533358073464,9,False,1.428959811836283e-05,COMPLETE
40,1.7339621990686283e-05,2025-07-04 11:56:53.442967,2025-07-04 11:57:15.148674,0 days 00:00:21.705707,identity,16,99,0.0006345683710232565,11,True,0.0003021155032508147,COMPLETE
41,1.691162287897896e-05,2025-07-04 11:57:15.148867,2025-07-04 11:57:35.816411,0 days 00:00:20.667544,relu,16,122,0.00014773875077949555,9,False,1.3619547233667312e-05,COMPLETE
42,1.448854436603142e-05,2025-07-04 11:57:35.816589,2025-07-04 11:57:57.090292,0 days 00:00:21.273703,relu,16,109,0.0002056444010455932,10,False,1.001384896967974e-05,COMPLETE
43,2.092093745886814e-05,2025-07-04 11:57:57.090472,2025-07-04 11:58:18.014480,0 days 00:00:20.924008,relu,16,123,0.00013528839193331532,9,False,2.5079609336053316e-05,COMPLETE
44,6.025155926181469e-06,2025-07-04 11:58:18.014658,2025-07-04 11:58:40.619020,0 days 00:00:22.604362,relu,16,128,0.00029587048538564346,11,False,1.3501305194959213e-05,COMPLETE
45,0.02718660980463028,2025-07-04 11:58:40.619211,2025-07-04 11:58:59.977379,0 days 00:00:19.358168,sigmoid,16,116,0.009274479984458728,8,False,3.312589290321511e-05,COMPLETE
46,5.063558273832314e-05,2025-07-04 11:58:59.977558,2025-07-04 11:59:07.973433,0 days 00:00:07.995875,relu,64,106,0.00021956766832895494,10,False,1.755977238898462e-05,COMPLETE
47,7.080445357132703e-06,2025-07-04 11:59:07.973622,2025-07-04 11:59:19.459193,0 days 00:00:11.485571,relu,32,86,0.00043210397662568053,9,True,1.2320688856649882e-05,COMPLETE
48,1.319413423538208,2025-07-04 11:59:19.459376,2025-07-04 11:59:23.766005,0 days 00:00:04.306629,relu,128,72,0.0001986592287355539,8,True,2.6066675698667924e-05,COMPLETE
49,6.388148904079571e-05,2025-07-04 11:59:23.766190,2025-07-04 11:59:46.691576,0 days 00:00:22.925386,relu,16,123,0.00012282646853302697,11,False,1.9935630851336737e-05,COMPLETE
50,5.343978500604862e-06,2025-07-04 11:59:46.691772,2025-07-04 12:00:06.075122,0 days 00:00:19.383350,relu,16,111,0.002456469935719528,8,True,9.278230924065928e-05,COMPLETE
51,8.199347576010041e-06,2025-07-04 12:00:06.075303,2025-07-04 12:00:25.196107,0 days 00:00:19.120804,relu,16,112,0.0023556119796385687,8,True,8.379321345527768e-05,COMPLETE
52,4.587278453982435e-06,2025-07-04 12:00:25.196290,2025-07-04 12:00:45.400669,0 days 00:00:20.204379,relu,16,101,0.0019248957288645996,9,True,0.00021011644662638742,COMPLETE
53,6.425977517210413e-06,2025-07-04 12:00:45.400855,2025-07-04 12:01:06.370755,0 days 00:00:20.969900,relu,16,100,0.0018552750098716824,10,True,0.00025651893736689056,COMPLETE
54,9.80788445303915e-06,2025-07-04 12:01:06.370939,2025-07-04 12:01:27.174095,0 days 00:00:20.803156,relu,16,119,0.0031979039365821666,9,True,0.00012282996752769213,COMPLETE
55,3.610960266087204e-05,2025-07-04 12:01:27.174278,2025-07-04 12:01:47.215015,0 days 00:00:20.040737,relu,16,95,0.0007319942400144593,9,True,0.000499767846661589,COMPLETE
56,3.1517316529061645e-05,2025-07-04 12:01:47.215189,2025-07-04 12:02:00.078154,0 days 00:00:12.862965,identity,32,103,0.0010232717766128208,10,True,0.0004483979176343033,COMPLETE
57,0.030655257403850555,2025-07-04 12:02:00.078331,2025-07-04 12:02:21.354403,0 days 00:00:21.276072,sigmoid,16,127,0.0019377596239315616,9,True,0.0002398821566478814,COMPLETE
58,7.807578185747843e-06,2025-07-04 12:02:21.354591,2025-07-04 12:02:29.974208,0 days 00:00:08.619617,relu,64,115,0.00031729840021613365,12,True,3.6911229841445666e-05,COMPLETE
59,3.613342050812207e-05,2025-07-04 12:02:29.974416,2025-07-04 12:02:49.707599,0 days 00:00:19.733183,relu,16,124,0.005116399042330984,8,True,0.0009649742014926105,COMPLETE
60,5.398307621362619e-05,2025-07-04 12:02:49.707793,2025-07-04 12:03:10.919664,0 days 00:00:21.211871,relu,16,95,0.000171997514718827,10,False,6.866448630987104e-05,COMPLETE
61,7.897458090155851e-06,2025-07-04 12:03:10.919839,2025-07-04 12:03:30.073489,0 days 00:00:19.153650,relu,16,112,0.002848316059954579,8,True,0.00010060465512373667,COMPLETE
62,8.74819488672074e-06,2025-07-04 12:03:30.073665,2025-07-04 12:03:49.504747,0 days 00:00:19.431082,relu,16,106,0.002360098278683267,8,True,1.3994840943603734e-05,COMPLETE
63,5.349202183424495e-06,2025-07-04 12:03:49.504932,2025-07-04 12:04:10.335421,0 days 00:00:20.830489,relu,16,119,0.001650633442873695,9,True,2.0186886320123227e-05,COMPLETE
64,1.9052713469136506e-05,2025-07-04 12:04:10.335602,2025-07-04 12:04:29.713014,0 days 00:00:19.377412,relu,16,103,0.0038249614537007857,8,True,0.0003706954245487763,COMPLETE
65,5.289412456477294e-06,2025-07-04 12:04:29.713194,2025-07-04 12:04:57.165655,0 days 00:00:27.452461,relu,16,114,0.0012162540640465263,17,True,1.193925652623549e-05,COMPLETE
