number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_shape,state
0,1.1782475709915161,2025-07-12 18:56:29.814712,2025-07-12 18:56:43.729857,0 days 00:00:13.915145,identity,min,128,0.0004127752163427643,6,bell,COMPLETE
1,1.6183620691299438,2025-07-12 18:56:43.730736,2025-07-12 18:56:52.736315,0 days 00:00:09.005579,relu,min,64,0.0051533738430153036,3,gaussian,COMPLETE
2,0.040884800255298615,2025-07-12 18:56:52.736895,2025-07-12 18:56:58.252561,0 days 00:00:05.515666,relu,prod,128,0.0008054326786691772,3,sigmoid,COMPLETE
3,0.0379941426217556,2025-07-12 18:56:58.252850,2025-07-12 18:57:16.177513,0 days 00:00:17.924663,identity,min,32,0.0004216895766402889,4,bell,COMPLETE
4,1.2664424180984497,2025-07-12 18:57:16.178147,2025-07-12 18:57:22.571841,0 days 00:00:06.393694,relu,min,128,0.0003848995772543913,7,sigmoid,COMPLETE
5,0.00046504000783897936,2025-07-12 18:57:22.572129,2025-07-12 18:57:31.592351,0 days 00:00:09.020222,identity,prod,64,0.005343291646995023,3,gaussian,COMPLETE
6,0.26379939913749695,2025-07-12 18:57:31.592645,2025-07-12 18:58:05.369704,0 days 00:00:33.777059,identity,min,16,0.0009505359555594898,7,gaussian,COMPLETE
7,1.6183620691299438,2025-07-12 18:58:05.370427,2025-07-12 18:58:10.862217,0 days 00:00:05.491790,relu,min,128,0.001625072142783781,3,sigmoid,COMPLETE
8,0.0016415375284850597,2025-07-12 18:58:10.862505,2025-07-12 18:58:37.973899,0 days 00:00:27.111394,identity,prod,16,0.003909917451304774,3,sigmoid,COMPLETE
9,1.6183620691299438,2025-07-12 18:58:37.974566,2025-07-12 18:59:09.403356,0 days 00:00:31.428790,relu,min,16,0.00034186497217548903,6,sigmoid,COMPLETE
10,0.7912540435791016,2025-07-12 18:59:09.403919,2025-07-12 18:59:19.443905,0 days 00:00:10.039986,identity,prod,64,0.0001154403657149545,5,gaussian,COMPLETE
11,0.018145382404327393,2025-07-12 18:59:19.444299,2025-07-12 18:59:57.532265,0 days 00:00:38.087966,identity,prod,16,0.009438359153058889,9,gaussian,COMPLETE
12,0.0005879750242456794,2025-07-12 18:59:57.532919,2025-07-12 19:00:05.799455,0 days 00:00:08.266536,identity,prod,64,0.003302295559699503,2,sigmoid,COMPLETE
13,0.0887695774435997,2025-07-12 19:00:05.800067,2025-07-12 19:00:14.376887,0 days 00:00:08.576820,identity,prod,64,0.0025298197094300082,2,gaussian,COMPLETE
14,0.020883791148662567,2025-07-12 19:00:14.377314,2025-07-12 19:00:23.754101,0 days 00:00:09.376787,identity,prod,64,0.008652030711357226,2,bell,COMPLETE
15,0.055467940866947174,2025-07-12 19:00:23.754517,2025-07-12 19:00:32.987388,0 days 00:00:09.232871,identity,prod,64,0.0024886074266003712,4,sigmoid,COMPLETE
16,0.27353230118751526,2025-07-12 19:00:32.987794,2025-07-12 19:00:47.933749,0 days 00:00:14.945955,identity,prod,32,0.005000717734740757,2,gaussian,COMPLETE
17,0.0010289166821166873,2025-07-12 19:00:47.934408,2025-07-12 19:00:57.174281,0 days 00:00:09.239873,identity,prod,64,0.001786971347727384,4,sigmoid,COMPLETE
18,0.0006845222087576985,2025-07-12 19:00:57.174690,2025-07-12 19:01:07.181953,0 days 00:00:10.007263,identity,prod,64,0.004189497051074664,5,gaussian,COMPLETE
19,0.0004964793333783746,2025-07-12 19:01:07.182581,2025-07-12 19:01:16.563373,0 days 00:00:09.380792,identity,prod,64,0.007370979468611699,2,bell,COMPLETE
20,0.07835619896650314,2025-07-12 19:01:16.563761,2025-07-12 19:01:39.588086,0 days 00:00:23.024325,identity,prod,32,0.006460922580652094,9,bell,COMPLETE
21,0.00038087309803813696,2025-07-12 19:01:39.588469,2025-07-12 19:01:48.961192,0 days 00:00:09.372723,identity,prod,64,0.0030970412221590763,2,bell,COMPLETE
22,2.127948522567749,2025-07-12 19:01:48.961774,2025-07-12 19:01:58.326042,0 days 00:00:09.364268,identity,prod,64,0.006889220465675816,2,bell,COMPLETE
23,0.010403764434158802,2025-07-12 19:01:58.326420,2025-07-12 19:02:08.173960,0 days 00:00:09.847540,identity,prod,64,0.001979665961181194,3,bell,COMPLETE
24,0.04532904550433159,2025-07-12 19:02:08.174339,2025-07-12 19:02:18.544796,0 days 00:00:10.370457,identity,prod,64,0.0062904793571287336,4,bell,COMPLETE
25,0.45606744289398193,2025-07-12 19:02:18.545192,2025-07-12 19:02:27.921166,0 days 00:00:09.375974,identity,prod,64,0.0032327921797951284,2,bell,COMPLETE
26,0.3079632520675659,2025-07-12 19:02:27.921772,2025-07-12 19:02:37.868112,0 days 00:00:09.946340,relu,prod,64,0.0012912488160225285,3,bell,COMPLETE
27,0.12505227327346802,2025-07-12 19:02:37.868527,2025-07-12 19:02:47.232165,0 days 00:00:09.363638,identity,prod,64,0.008503929141815301,2,bell,COMPLETE
28,0.14668503403663635,2025-07-12 19:02:47.232523,2025-07-12 19:03:05.516808,0 days 00:00:18.284285,identity,prod,32,0.0026920573331092605,4,bell,COMPLETE
29,0.15149985253810883,2025-07-12 19:03:05.517441,2025-07-12 19:03:12.113259,0 days 00:00:06.595818,identity,prod,128,0.000664293496590683,5,bell,COMPLETE
30,0.0003732777840923518,2025-07-12 19:03:12.113633,2025-07-12 19:03:21.148103,0 days 00:00:09.034470,identity,prod,64,0.004731649189759804,3,gaussian,COMPLETE
31,0.00045283601502887905,2025-07-12 19:03:21.148667,2025-07-12 19:03:30.178690,0 days 00:00:09.030023,identity,prod,64,0.004771179705284726,3,gaussian,COMPLETE
32,0.0026663613971322775,2025-07-12 19:03:30.179100,2025-07-12 19:03:39.215306,0 days 00:00:09.036206,identity,prod,64,0.004523094736457111,3,gaussian,COMPLETE
33,1.13526451587677,2025-07-12 19:03:39.215678,2025-07-12 19:03:48.246850,0 days 00:00:09.031172,identity,prod,64,0.005219085879072923,3,gaussian,COMPLETE
