number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
0,1.5914275646209717,2025-07-12 21:52:00.372926,2025-07-12 21:52:23.313053,0 days 00:00:22.940127,relu,min,64,0.0008123500040386177,9,11,gaussian,COMPLETE
1,0.015552593395113945,2025-07-12 21:52:23.313979,2025-07-12 21:52:51.279338,0 days 00:00:27.965359,identity,min,64,0.0013800846505417355,8,20,bell,COMPLETE
2,0.009622822515666485,2025-07-12 21:52:51.280199,2025-07-12 21:53:52.456683,0 days 00:01:01.176484,identity,min,16,0.007925940046967474,8,13,sigmoid,COMPLETE
3,0.9810059070587158,2025-07-12 21:53:52.457501,2025-07-12 21:54:09.641571,0 days 00:00:17.184070,relu,prod,128,0.0007230358424275768,8,24,gaussian,COMPLETE
4,0.0793805941939354,2025-07-12 21:54:09.642001,2025-07-12 21:54:23.782329,0 days 00:00:14.140328,identity,min,128,0.0006971411744970164,5,19,sigmoid,COMPLETE
5,0.6512791514396667,2025-07-12 21:54:23.782964,2025-07-12 21:55:06.813192,0 days 00:00:43.030228,relu,prod,32,0.0030724166814905846,9,19,sigmoid,COMPLETE
6,0.013832471333444118,2025-07-12 21:55:06.813808,2025-07-12 21:55:57.092362,0 days 00:00:50.278554,relu,min,16,0.0005573175282510838,5,6,gaussian,COMPLETE
7,0.09371942281723022,2025-07-12 21:55:57.093192,2025-07-12 21:56:25.071165,0 days 00:00:27.977973,relu,prod,64,0.0005100196794782358,9,22,sigmoid,COMPLETE
8,0.49004656076431274,2025-07-12 21:56:25.071784,2025-07-12 21:57:29.091996,0 days 00:01:04.020212,identity,prod,16,0.0008393968191542079,8,14,sigmoid,COMPLETE
9,4.435629844665527,2025-07-12 21:57:29.092784,2025-07-12 21:57:45.047137,0 days 00:00:15.954353,identity,prod,128,0.005634870455621599,7,19,gaussian,COMPLETE
10,0.2518141269683838,2025-07-12 21:57:45.047769,2025-07-12 21:58:44.848239,0 days 00:00:59.800470,identity,min,16,0.00016111798877144312,6,9,bell,COMPLETE
11,1.6493552923202515,2025-07-12 21:58:44.848867,2025-07-12 21:59:33.593133,0 days 00:00:48.744266,relu,min,16,0.009278647952311467,5,5,gaussian,COMPLETE
12,0.13147105276584625,2025-07-12 21:59:33.593754,2025-07-12 22:00:25.448286,0 days 00:00:51.854532,identity,min,16,0.0001889126681542212,6,7,sigmoid,COMPLETE
13,1.053297996520996,2025-07-12 22:00:25.448923,2025-07-12 22:01:28.794203,0 days 00:01:03.345280,relu,min,16,0.00030886238106336296,7,14,gaussian,COMPLETE
14,0.34870192408561707,2025-07-12 22:01:28.794875,2025-07-12 22:02:02.612703,0 days 00:00:33.817828,identity,min,32,0.0023383829711057123,6,11,sigmoid,COMPLETE
