number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
0,0.0019671909976750612,2025-07-17 17:54:25.027935,2025-07-17 17:56:13.843110,0 days 00:01:48.815175,min,32,0.008361084579696625,6,18,gaussian,COMPLETE
1,2.8259732723236084,2025-07-17 17:56:13.844149,2025-07-17 17:56:41.605656,0 days 00:00:27.761507,prod,128,2.4327821849514366e-05,5,12,gaussian,COMPLETE
2,0.07103926688432693,2025-07-17 17:56:41.606502,2025-07-17 17:58:35.494260,0 days 00:01:53.887758,min,32,8.709590299897664e-05,7,19,sigmoid,COMPLETE
3,0.12373022735118866,2025-07-17 17:58:35.495032,2025-07-17 17:59:23.270927,0 days 00:00:47.775895,min,128,0.007468114284047727,9,20,bell,COMPLETE
4,3.2657182216644287,2025-07-17 17:59:23.271572,2025-07-17 18:01:28.678167,0 days 00:02:05.406595,prod,16,0.0006928121102860702,7,8,gaussian,COMPLETE
5,0.4211322069168091,2025-07-17 18:01:28.678987,2025-07-17 18:03:40.688751,0 days 00:02:12.009764,min,32,0.00029024228071984414,6,23,bell,COMPLETE
6,0.01700674183666706,2025-07-17 18:03:40.689589,2025-07-17 18:04:08.261259,0 days 00:00:27.571670,min,128,0.007204000232197143,7,10,bell,COMPLETE
7,0.27029138803482056,2025-07-17 18:04:08.261859,2025-07-17 18:07:41.282842,0 days 00:03:33.020983,prod,16,0.002309034191729983,7,19,sigmoid,COMPLETE
8,0.012946469709277153,2025-07-17 18:07:41.283611,2025-07-17 18:09:05.660712,0 days 00:01:24.377101,prod,32,0.0010261797552540122,6,13,sigmoid,COMPLETE
9,0.43470901250839233,2025-07-17 18:09:05.661441,2025-07-17 18:10:56.133960,0 days 00:01:50.472519,min,32,1.493963608743581e-05,5,19,gaussian,COMPLETE
10,0.8806352019309998,2025-07-17 18:10:56.134902,2025-07-17 18:12:24.563699,0 days 00:01:28.428797,min,64,0.0001466310309119021,9,25,gaussian,COMPLETE
