number,value,datetime_start,datetime_complete,duration,params_batch_size,params_h,params_lr,params_seq_length,state
0,0.00029575033113360405,2025-07-17 14:50:31.952615,2025-07-17 14:51:37.558986,0 days 00:01:05.606371,32,120,0.0006971806570680486,8,COMPLETE
1,0.0007475562742911279,2025-07-17 14:51:37.559836,2025-07-17 14:52:04.617227,0 days 00:00:27.057391,128,38,0.0025719919275722547,21,COMPLETE
2,0.00022856066061649472,2025-07-17 14:52:04.617997,2025-07-17 14:52:55.147752,0 days 00:00:50.529755,32,57,0.0018137075099597636,19,COMPLETE
3,0.00018079159781336784,2025-07-17 14:52:55.148563,2025-07-17 14:53:53.538885,0 days 00:00:58.390322,16,67,0.0013794464136357503,5,COMPLETE
4,0.0005943856667727232,2025-07-17 14:53:53.539704,2025-07-17 14:54:56.732713,0 days 00:01:03.193009,128,106,0.0021122864022065334,21,COMPLETE
5,0.0009317633230239153,2025-07-17 14:54:56.733508,2025-07-17 14:55:22.683585,0 days 00:00:25.950077,64,74,0.00038879141786732986,7,COMPLETE
6,0.0004095742478966713,2025-07-17 14:55:22.684019,2025-07-17 14:56:20.930291,0 days 00:00:58.246272,16,46,0.0011376323058353616,8,COMPLETE
7,0.00539639126509428,2025-07-17 14:56:20.930871,2025-07-17 14:57:15.200570,0 days 00:00:54.269699,16,32,4.9636604914271855e-05,13,COMPLETE
8,0.0035944636911153793,2025-07-17 14:57:15.201154,2025-07-17 14:58:04.961485,0 days 00:00:49.760331,32,73,1.110070399083641e-05,14,COMPLETE
9,0.007624885067343712,2025-07-17 14:58:04.962083,2025-07-17 14:59:03.985052,0 days 00:00:59.022969,32,106,3.451792074927596e-05,14,COMPLETE
10,0.0008333669393323362,2025-07-17 14:59:03.985646,2025-07-17 14:59:46.995807,0 days 00:00:43.010161,16,8,0.007933562049918597,5,COMPLETE
11,0.0003351089544594288,2025-07-17 14:59:46.996384,2025-07-17 15:00:23.247189,0 days 00:00:36.250805,64,60,0.008593710384376653,18,COMPLETE
12,0.0016785896150395274,2025-07-17 15:00:23.247785,2025-07-17 15:01:40.542048,0 days 00:01:17.294263,32,87,0.00019836695853708042,25,COMPLETE
13,0.00046613605809397995,2025-07-17 15:01:40.542841,2025-07-17 15:02:45.443366,0 days 00:01:04.900525,16,57,0.0031196407013899174,11,COMPLETE
14,0.0007759276195429265,2025-07-17 15:02:45.444140,2025-07-17 15:03:49.074605,0 days 00:01:03.630465,32,86,0.00016184037303557165,18,COMPLETE
15,0.0016829455271363258,2025-07-17 15:03:49.075438,2025-07-17 15:04:47.120281,0 days 00:00:58.044843,16,21,0.0008727049762348786,18,COMPLETE
16,0.0005907114245928824,2025-07-17 15:04:47.120869,2025-07-17 15:05:19.141739,0 days 00:00:32.020870,128,50,0.004436341713065672,25,COMPLETE
17,0.0005296693416312337,2025-07-17 15:05:19.142344,2025-07-17 15:05:55.291869,0 days 00:00:36.149525,64,86,0.0004368426940684772,11,COMPLETE
18,0.0002181335585191846,2025-07-17 15:05:55.292477,2025-07-17 15:06:54.502703,0 days 00:00:59.210226,32,67,0.0013946332238994241,21,COMPLETE
19,0.001979745924472809,2025-07-17 15:06:54.503305,2025-07-17 15:08:31.685284,0 days 00:01:37.181979,16,70,0.00012055760469200474,23,COMPLETE
20,0.00020038879301864654,2025-07-17 15:08:31.686092,2025-07-17 15:09:31.917422,0 days 00:01:00.231330,32,97,0.000990752299903266,16,COMPLETE
21,0.00040225821430794895,2025-07-17 15:09:31.918027,2025-07-17 15:10:33.957664,0 days 00:01:02.039637,32,99,0.001186935879309765,16,COMPLETE
22,0.0002817725180648267,2025-07-17 15:10:33.958460,2025-07-17 15:11:29.441618,0 days 00:00:55.483158,32,81,0.0005556917488072488,16,COMPLETE
23,0.0004191496700514108,2025-07-17 15:11:29.442220,2025-07-17 15:12:29.388018,0 days 00:00:59.945798,32,121,0.004195482811453898,11,COMPLETE
24,0.00020854976901318878,2025-07-17 15:12:29.388625,2025-07-17 15:13:38.411667,0 days 00:01:09.023042,32,96,0.0013831867440474036,21,COMPLETE
