number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
0,2.091111898422241,2025-07-17 14:50:49.083165,2025-07-17 14:51:19.707921,0 days 00:00:30.624756,prod,128,0.0018172160883196534,6,22,bell,COMPLETE
1,0.26467275619506836,2025-07-17 14:51:19.708852,2025-07-17 14:51:47.910336,0 days 00:00:28.201484,prod,64,0.00022672708836241659,9,20,sigmoid,COMPLETE
2,2.4562950134277344,2025-07-17 14:51:47.911210,2025-07-17 14:52:30.117108,0 days 00:00:42.205898,prod,32,0.002221601328033962,8,20,gaussian,COMPLETE
3,0.5146833062171936,2025-07-17 14:52:30.117890,2025-07-17 14:53:12.158653,0 days 00:00:42.040763,min,32,1.0362654636055286e-05,8,23,sigmoid,COMPLETE
4,0.9680671095848083,2025-07-17 14:53:12.159283,2025-07-17 14:53:34.593546,0 days 00:00:22.434263,prod,128,0.0009556606950236908,5,24,bell,COMPLETE
5,0.007856765761971474,2025-07-17 14:53:34.594019,2025-07-17 14:54:13.516185,0 days 00:00:38.922166,prod,32,0.0015260426898796105,5,15,gaussian,COMPLETE
6,1.6074987649917603,2025-07-17 14:54:13.516782,2025-07-17 14:54:52.126174,0 days 00:00:38.609392,min,32,1.3461116861961672e-05,7,8,sigmoid,COMPLETE
7,0.26448842883110046,2025-07-17 14:54:52.126780,2025-07-17 14:55:38.911012,0 days 00:00:46.784232,prod,32,0.009972055361575034,7,22,gaussian,COMPLETE
8,0.12116486579179764,2025-07-17 14:55:38.911608,2025-07-17 14:56:50.168792,0 days 00:01:11.257184,prod,16,0.0001695101390869622,7,11,sigmoid,COMPLETE
9,1.1199628114700317,2025-07-17 14:56:50.169550,2025-07-17 14:57:17.687778,0 days 00:00:27.518228,min,64,1.3638073043763077e-05,9,18,gaussian,COMPLETE
10,0.0005232954863458872,2025-07-17 14:57:17.688321,2025-07-17 14:58:24.071564,0 days 00:01:06.383243,min,16,0.00686301837616834,5,13,gaussian,COMPLETE
11,0.07591360062360764,2025-07-17 14:58:24.072170,2025-07-17 14:59:31.340281,0 days 00:01:07.268111,min,16,0.006213681018788022,5,14,gaussian,COMPLETE
12,6.414074420928955,2025-07-17 14:59:31.341078,2025-07-17 15:00:38.386769,0 days 00:01:07.045691,min,16,0.0006885584221270333,5,14,gaussian,COMPLETE
13,0.0640868991613388,2025-07-17 15:00:38.387614,2025-07-17 15:01:42.188631,0 days 00:01:03.801017,min,16,0.003776748666971372,6,5,gaussian,COMPLETE
14,5.248674392700195,2025-07-17 15:01:42.189433,2025-07-17 15:02:22.444760,0 days 00:00:40.255327,prod,32,0.0006483072695412139,6,11,gaussian,COMPLETE
15,0.08000268042087555,2025-07-17 15:02:22.445344,2025-07-17 15:03:31.398867,0 days 00:01:08.953523,min,16,0.0028495071724020287,5,16,gaussian,COMPLETE
16,0.0465891994535923,2025-07-17 15:03:31.399671,2025-07-17 15:03:48.212125,0 days 00:00:16.812454,prod,128,6.992321084404192e-05,6,11,bell,COMPLETE
17,2.1135828495025635,2025-07-17 15:03:48.212695,2025-07-17 15:04:13.546030,0 days 00:00:25.333335,min,64,0.0012727428176814216,5,16,gaussian,COMPLETE
18,0.1544867604970932,2025-07-17 15:04:13.546466,2025-07-17 15:05:21.697511,0 days 00:01:08.151045,min,16,0.005233899743919567,6,13,gaussian,COMPLETE
