number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
0,0.18846462666988373,2025-07-17 14:50:38.233881,2025-07-17 14:51:23.897510,0 days 00:00:45.663629,prod,32,0.001818678429465789,7,8,sigmoid,COMPLETE
1,0.6692358255386353,2025-07-17 14:51:23.898513,2025-07-17 14:51:42.035816,0 days 00:00:18.137303,min,128,1.817005230221321e-05,7,11,gaussian,COMPLETE
2,0.7056617140769958,2025-07-17 14:51:42.036741,2025-07-17 14:52:08.893701,0 days 00:00:26.856960,prod,128,1.4142120552915142e-05,8,24,sigmoid,COMPLETE
3,0.5754683017730713,2025-07-17 14:52:08.894563,2025-07-17 14:52:24.944945,0 days 00:00:16.050382,min,128,8.795009769899294e-05,7,9,sigmoid,COMPLETE
4,0.0006267543649300933,2025-07-17 14:52:24.945607,2025-07-17 14:54:06.462682,0 days 00:01:41.517075,prod,16,0.004201775100719706,5,18,bell,COMPLETE
5,0.22796136140823364,2025-07-17 14:54:06.463612,2025-07-17 14:54:53.412399,0 days 00:00:46.948787,prod,32,0.005108165784627168,5,9,gaussian,COMPLETE
6,0.06614134460687637,2025-07-17 14:54:53.413083,2025-07-17 14:55:09.816419,0 days 00:00:16.403336,min,128,0.0001722271929155255,8,8,bell,COMPLETE
7,0.412923663854599,2025-07-17 14:55:09.817027,2025-07-17 14:55:56.514885,0 days 00:00:46.697858,prod,32,2.5740031707229088e-05,6,10,sigmoid,COMPLETE
8,0.3490668833255768,2025-07-17 14:55:56.515501,2025-07-17 14:56:25.367236,0 days 00:00:28.851735,min,64,0.0028954739958122846,6,12,gaussian,COMPLETE
9,0.5546658635139465,2025-07-17 14:56:25.367818,2025-07-17 14:56:50.224141,0 days 00:00:24.856323,prod,64,9.341404797233605e-05,9,7,sigmoid,COMPLETE
10,0.25612032413482666,2025-07-17 14:56:50.224568,2025-07-17 14:58:33.924294,0 days 00:01:43.699726,prod,16,0.0009688783931519569,5,19,bell,COMPLETE
11,0.10391578078269958,2025-07-17 14:58:33.925244,2025-07-17 15:00:20.535284,0 days 00:01:46.610040,min,16,0.0003648516234670071,9,17,bell,COMPLETE
12,0.000449118873802945,2025-07-17 15:00:20.536212,2025-07-17 15:02:15.496104,0 days 00:01:54.959892,min,16,0.008891792815403025,8,21,bell,COMPLETE
13,0.0008809544378891587,2025-07-17 15:02:15.496985,2025-07-17 15:04:09.565602,0 days 00:01:54.068617,min,16,0.009044716718754333,8,21,bell,COMPLETE
14,0.00036746702971868217,2025-07-17 15:04:09.566487,2025-07-17 15:05:45.393496,0 days 00:01:35.827009,min,16,0.00959081694281217,6,15,bell,COMPLETE
15,0.006149890832602978,2025-07-17 15:05:45.394400,2025-07-17 15:07:16.875232,0 days 00:01:31.480832,min,16,0.0010087723455005978,6,14,bell,COMPLETE
16,0.0003312200424261391,2025-07-17 15:07:16.876098,2025-07-17 15:09:22.568873,0 days 00:02:05.692775,min,16,0.009192197897233441,8,25,bell,COMPLETE
17,0.4283764362335205,2025-07-17 15:09:22.569827,2025-07-17 15:11:25.624406,0 days 00:02:03.054579,min,16,0.0005063922321678224,6,25,bell,COMPLETE
18,0.03985914587974548,2025-07-17 15:11:25.625321,2025-07-17 15:13:06.774450,0 days 00:01:41.149129,min,16,0.0017417612640579423,9,15,bell,COMPLETE
19,0.0726190060377121,2025-07-17 15:13:06.775416,2025-07-17 15:13:40.876102,0 days 00:00:34.100686,min,64,0.00972020636771732,7,13,bell,COMPLETE
20,0.06513907015323639,2025-07-17 15:13:40.876742,2025-07-17 15:14:47.476290,0 days 00:01:06.599548,min,16,0.003416488297589834,7,5,gaussian,COMPLETE
21,0.0003000647993758321,2025-07-17 15:14:47.477206,2025-07-17 15:16:47.516609,0 days 00:02:00.039403,min,16,0.009662360244244403,8,22,bell,COMPLETE
22,0.0010125648695975542,2025-07-17 15:16:47.517538,2025-07-17 15:18:47.317207,0 days 00:01:59.799669,min,16,0.006586657976947037,8,23,bell,COMPLETE
23,0.25999340415000916,2025-07-17 15:18:47.318133,2025-07-17 15:20:41.911419,0 days 00:01:54.593286,min,16,0.0020366032497647216,8,21,bell,COMPLETE
24,0.04110482707619667,2025-07-17 15:20:41.912365,2025-07-17 15:22:25.770126,0 days 00:01:43.857761,min,16,0.005313983786821601,9,16,bell,COMPLETE
25,0.11313183605670929,2025-07-17 15:22:25.771019,2025-07-17 15:24:23.836209,0 days 00:01:58.065190,min,16,0.0009438839091457778,6,23,bell,COMPLETE
26,0.0006692706374451518,2025-07-17 15:24:23.837140,2025-07-17 15:26:16.442927,0 days 00:01:52.605787,min,16,0.0031617246326461072,8,19,bell,COMPLETE
27,0.020326854661107063,2025-07-17 15:26:16.443855,2025-07-17 15:27:01.081807,0 days 00:00:44.637952,min,64,0.006198849442629178,7,22,bell,COMPLETE
28,4.061013698577881,2025-07-17 15:27:01.082489,2025-07-17 15:28:19.209041,0 days 00:01:18.126552,min,32,0.002508522054865148,9,25,gaussian,COMPLETE
29,0.40054965019226074,2025-07-17 15:28:19.210012,2025-07-17 15:29:26.192737,0 days 00:01:06.982725,min,32,0.0015086156080799155,7,20,bell,COMPLETE
30,0.07552070915699005,2025-07-17 15:29:26.193617,2025-07-17 15:31:00.250100,0 days 00:01:34.056483,min,16,0.005943688387494941,8,16,sigmoid,COMPLETE
31,0.0008200167212635279,2025-07-17 15:31:00.251064,2025-07-17 15:32:59.524395,0 days 00:01:59.273331,min,16,0.0075557700405266244,8,23,bell,COMPLETE
32,0.008857432752847672,2025-07-17 15:32:59.525234,2025-07-17 15:34:52.949540,0 days 00:01:53.424306,min,16,0.009603312238699441,8,21,bell,COMPLETE
33,0.0005288039101287723,2025-07-17 15:34:52.950397,2025-07-17 15:36:57.941856,0 days 00:02:04.991459,min,16,0.003863683673837906,7,25,bell,COMPLETE
34,2.229320526123047,2025-07-17 15:36:57.942747,2025-07-17 15:37:21.872042,0 days 00:00:23.929295,min,128,0.009891494572134299,8,18,bell,COMPLETE
35,0.12314708530902863,2025-07-17 15:37:21.872615,2025-07-17 15:39:25.482274,0 days 00:02:03.609659,min,16,3.0685453133337854e-05,7,24,bell,COMPLETE
36,0.1175525113940239,2025-07-17 15:39:25.483111,2025-07-17 15:39:49.663032,0 days 00:00:24.179921,prod,128,0.0040654591205113,8,22,sigmoid,COMPLETE
37,0.009486055001616478,2025-07-17 15:39:49.663586,2025-07-17 15:41:36.891600,0 days 00:01:47.228014,min,16,0.005593805871642302,9,19,gaussian,COMPLETE
38,0.5547621846199036,2025-07-17 15:41:36.892494,2025-07-17 15:42:47.963098,0 days 00:01:11.070604,prod,32,0.0013873496834651187,5,24,bell,COMPLETE
39,1.2879217863082886,2025-07-17 15:42:47.964049,2025-07-17 15:43:09.106311,0 days 00:00:21.142262,min,128,0.0006140725111159765,6,14,bell,COMPLETE
40,0.5698133707046509,2025-07-17 15:43:09.106880,2025-07-17 15:44:48.116510,0 days 00:01:39.009630,prod,16,0.0025752903289064442,8,17,sigmoid,COMPLETE
41,0.002813003258779645,2025-07-17 15:44:48.117406,2025-07-17 15:46:54.116128,0 days 00:02:05.998722,min,16,0.0045982679359642025,7,25,bell,COMPLETE
42,0.009971094317734241,2025-07-17 15:46:54.117057,2025-07-17 15:48:54.106478,0 days 00:01:59.989421,min,16,0.006926051738248385,7,22,bell,COMPLETE
43,0.007046644575893879,2025-07-17 15:48:54.107351,2025-07-17 15:50:58.669390,0 days 00:02:04.562039,min,16,0.0037135707193670453,6,24,bell,COMPLETE
44,0.0021198298782110214,2025-07-17 15:50:58.670261,2025-07-17 15:53:05.178010,0 days 00:02:06.507749,min,16,0.004652256038208287,8,25,bell,COMPLETE
45,0.03801755979657173,2025-07-17 15:53:05.178976,2025-07-17 15:53:32.791185,0 days 00:00:27.612209,min,64,0.007377848046911602,5,11,gaussian,COMPLETE
46,0.05981764197349548,2025-07-17 15:53:32.791804,2025-07-17 15:55:23.604550,0 days 00:01:50.812746,min,16,0.00014281259233074394,7,20,bell,COMPLETE
47,0.00030713295564055443,2025-07-17 15:55:23.605436,2025-07-17 15:57:23.945550,0 days 00:02:00.340114,prod,16,0.007595253356416207,8,23,bell,COMPLETE
48,0.4841212034225464,2025-07-17 15:57:23.946446,2025-07-17 15:59:11.296987,0 days 00:01:47.350541,prod,16,5.6793195886309984e-05,8,20,sigmoid,COMPLETE
49,0.08311633765697479,2025-07-17 15:59:11.297908,2025-07-17 16:00:29.736988,0 days 00:01:18.439080,prod,32,0.007773462500802694,9,23,bell,COMPLETE
50,3.3226065635681152,2025-07-17 16:00:29.737913,2025-07-17 16:00:58.088061,0 days 00:00:28.350148,prod,128,0.002174983825482295,8,22,bell,COMPLETE
51,0.005103376228362322,2025-07-17 16:00:58.088722,2025-07-17 16:03:01.822339,0 days 00:02:03.733617,prod,16,0.009956712165597946,8,24,bell,COMPLETE
52,0.004116239957511425,2025-07-17 16:03:01.823199,2025-07-17 16:05:08.490652,0 days 00:02:06.667453,prod,16,0.004560788255027798,8,25,bell,COMPLETE
53,0.00286673242226243,2025-07-17 16:05:08.491558,2025-07-17 16:07:05.190829,0 days 00:01:56.699271,min,16,0.0033195888266221965,6,23,bell,COMPLETE
54,0.0013263615546748042,2025-07-17 16:07:05.191698,2025-07-17 16:09:02.902120,0 days 00:01:57.710422,min,16,0.007795085347422357,9,21,bell,COMPLETE
