number,value,datetime_start,datetime_complete,duration,params_batch_size,params_h,params_lr,params_seq_length,state
0,0.0029025799594819546,2025-07-17 17:54:15.870920,2025-07-17 17:55:33.293511,0 days 00:01:17.422591,16,90,0.006840326254496711,5,COMPLETE
1,0.004148930311203003,2025-07-17 17:55:33.294436,2025-07-17 17:56:39.106890,0 days 00:01:05.812454,64,123,8.754972476831532e-05,22,COMPLETE
2,0.0005806465051136911,2025-07-17 17:56:39.107792,2025-07-17 17:57:46.035214,0 days 00:01:06.927422,32,65,0.000841393721425052,18,COMPLETE
3,0.0007025140221230686,2025-07-17 17:57:46.036107,2025-07-17 17:58:04.259779,0 days 00:00:18.223672,128,65,0.0018187950875470163,11,COMPLETE
4,0.4061237871646881,2025-07-17 17:58:04.260293,2025-07-17 17:58:21.723283,0 days 00:00:17.462990,128,35,1.212061850470358e-05,13,COMPLETE
5,0.005807141773402691,2025-07-17 17:58:21.723927,2025-07-17 17:58:44.658802,0 days 00:00:22.934875,64,104,8.524832102441492e-05,6,COMPLETE
6,0.0003849217318929732,2025-07-17 17:58:44.659444,2025-07-17 18:03:15.373483,0 days 00:04:30.714039,16,87,0.000706655013221784,25,COMPLETE
7,0.05066356062889099,2025-07-17 18:03:15.374346,2025-07-17 18:03:42.981153,0 days 00:00:27.606807,128,81,3.445123722826609e-05,16,COMPLETE
8,0.07201354950666428,2025-07-17 18:03:42.981806,2025-07-17 18:04:11.083409,0 days 00:00:28.101603,128,49,3.149596079887037e-05,24,COMPLETE
9,0.013236826285719872,2025-07-17 18:04:11.084035,2025-07-17 18:04:22.393673,0 days 00:00:11.309638,128,46,0.0001479198522176803,5,COMPLETE
10,0.002376863034442067,2025-07-17 18:04:22.394154,2025-07-17 18:05:41.437116,0 days 00:01:19.042962,16,9,0.001849938171728851,20,COMPLETE
11,0.0003983915376011282,2025-07-17 18:05:41.437978,2025-07-17 18:06:51.401213,0 days 00:01:09.963235,32,67,0.0005309436165902813,19,COMPLETE
12,0.00039137137355282903,2025-07-17 18:06:51.402130,2025-07-17 18:08:27.127648,0 days 00:01:35.725518,32,102,0.0004956826259123652,25,COMPLETE
13,0.00041194373625330627,2025-07-17 18:08:27.128508,2025-07-17 18:10:01.947727,0 days 00:01:34.819219,32,112,0.00025246886701684167,25,COMPLETE
14,0.00035304875927977264,2025-07-17 18:10:01.948611,2025-07-17 18:13:41.652283,0 days 00:03:39.703672,16,93,0.0013952876650080235,22,COMPLETE
15,0.001205221051350236,2025-07-17 18:13:41.653171,2025-07-17 18:17:18.471212,0 days 00:03:36.818041,16,88,0.006916144654426882,22,COMPLETE
16,0.0005236887373030186,2025-07-17 18:17:18.472092,2025-07-17 18:21:08.544887,0 days 00:03:50.072795,16,82,0.0019387063332924478,22,COMPLETE
17,0.000529054319486022,2025-07-17 18:21:08.545822,2025-07-17 18:24:12.562773,0 days 00:03:04.016951,16,115,0.003483961575656047,16,COMPLETE
18,0.00038429038249887526,2025-07-17 18:24:12.563692,2025-07-17 18:26:17.456079,0 days 00:02:04.892387,16,101,0.0009509336325301249,10,COMPLETE
19,0.00039191890391521156,2025-07-17 18:26:17.456941,2025-07-17 18:28:04.109150,0 days 00:01:46.652209,16,100,0.0009825300695964197,9,COMPLETE
20,0.0005857560900039971,2025-07-17 18:28:04.110057,2025-07-17 18:29:40.112404,0 days 00:01:36.002347,16,128,0.0034225242466460887,9,COMPLETE
21,0.00042235080036334693,2025-07-17 18:29:40.113286,2025-07-17 18:32:15.716381,0 days 00:02:35.603095,16,94,0.00032560112189004067,13,COMPLETE
22,0.0004346761270426214,2025-07-17 18:32:15.717273,2025-07-17 18:35:23.331559,0 days 00:03:07.614286,16,76,0.0010274258556007877,23,COMPLETE
23,0.0004935702891089022,2025-07-17 18:35:23.332444,2025-07-17 18:39:09.953874,0 days 00:03:46.621430,16,110,0.0005464185280125547,20,COMPLETE
24,0.0004960210062563419,2025-07-17 18:39:09.954740,2025-07-17 18:39:37.707121,0 days 00:00:27.752381,64,75,0.0028310542676591196,8,COMPLETE
25,0.0005085712764412165,2025-07-17 18:39:37.707804,2025-07-17 18:41:56.461070,0 days 00:02:18.753266,16,94,0.00020890299007397762,11,COMPLETE
26,0.0008488238672725856,2025-07-17 18:41:56.461928,2025-07-17 18:43:57.657137,0 days 00:02:01.195209,16,56,0.001309147851370366,18,COMPLETE
27,0.0003761528350878507,2025-07-17 18:43:57.658066,2025-07-17 18:46:22.456994,0 days 00:02:24.798928,16,118,0.0006207904242552382,14,COMPLETE
28,0.0004812339029740542,2025-07-17 18:46:22.457843,2025-07-17 18:49:03.310059,0 days 00:02:40.852216,16,119,0.00037350497507804883,14,COMPLETE
29,0.00041208520997315645,2025-07-17 18:49:03.310917,2025-07-17 18:52:02.205977,0 days 00:02:58.895060,16,110,0.0048459370985464755,15,COMPLETE
30,0.00044711423106491566,2025-07-17 18:52:02.206886,2025-07-17 18:52:47.388723,0 days 00:00:45.181837,64,128,0.0014082399027161721,12,COMPLETE
31,0.00045278851757757366,2025-07-17 18:52:47.389383,2025-07-17 18:54:53.829905,0 days 00:02:06.440522,16,92,0.0007190666300791735,10,COMPLETE
32,0.0003961733600590378,2025-07-17 18:54:53.830794,2025-07-17 18:56:30.314107,0 days 00:01:36.483313,16,103,0.0004631481160107902,7,COMPLETE
