number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,state
0,0.0017444376135244966,2025-07-12 16:34:06.915649,2025-07-12 16:35:01.327914,0 days 00:00:54.412265,identity,128,123,0.00028025368843779224,18,COMPLETE
1,0.00030501006403937936,2025-07-12 16:35:01.328837,2025-07-12 16:37:26.792356,0 days 00:02:25.463519,identity,16,67,0.003251948278106155,19,COMPLETE
2,1.7180771827697754,2025-07-12 16:37:26.793176,2025-07-12 16:38:27.946960,0 days 00:01:01.153784,relu,128,21,0.0004433680109344327,25,COMPLETE
3,0.0003767547314055264,2025-07-12 16:38:27.947792,2025-07-12 16:39:29.366008,0 days 00:01:01.418216,identity,32,82,0.005975644732359553,15,COMPLETE
4,0.0007909759297035635,2025-07-12 16:39:29.366866,2025-07-12 16:39:57.303424,0 days 00:00:27.936558,identity,128,88,0.0005329159104347374,13,COMPLETE
5,0.0016544235404580832,2025-07-12 16:39:57.303912,2025-07-12 16:40:44.414771,0 days 00:00:47.110859,relu,64,42,0.0002276617951323572,22,COMPLETE
6,0.0011300267651677132,2025-07-12 16:40:44.415357,2025-07-12 16:41:06.782274,0 days 00:00:22.366917,identity,64,33,0.0006140087925919766,10,COMPLETE
7,0.000789062469266355,2025-07-12 16:41:06.782871,2025-07-12 16:42:06.738925,0 days 00:00:59.956054,relu,64,63,0.0003519384765841785,19,COMPLETE
8,0.0003513635019771755,2025-07-12 16:42:06.739533,2025-07-12 16:43:18.195515,0 days 00:01:11.455982,identity,128,57,0.009707800277308162,18,COMPLETE
9,1.6951563358306885,2025-07-12 16:43:18.196346,2025-07-12 16:44:00.971721,0 days 00:00:42.775375,relu,64,75,0.0008003218771263658,13,COMPLETE
10,0.0004020938358735293,2025-07-12 16:44:00.972321,2025-07-12 16:46:32.138050,0 days 00:02:31.165729,identity,16,109,0.002361309782055973,6,COMPLETE
11,0.0003453722456470132,2025-07-12 16:46:32.138864,2025-07-12 16:50:29.813158,0 days 00:03:57.674294,identity,16,52,0.00966214807732443,19,COMPLETE
12,0.00031053266138769686,2025-07-12 16:50:29.814136,2025-07-12 16:52:46.649474,0 days 00:02:16.835338,identity,16,50,0.002655645206105932,22,COMPLETE
13,0.0003338025417178869,2025-07-12 16:52:46.650293,2025-07-12 16:54:51.830261,0 days 00:02:05.179968,identity,16,16,0.0020273946671034017,25,COMPLETE
14,0.0003343131102155894,2025-07-12 16:54:51.831134,2025-07-12 16:58:57.699071,0 days 00:04:05.867937,identity,16,97,0.0021219526318365873,22,COMPLETE
15,0.00029163702856749296,2025-07-12 16:58:57.699897,2025-07-12 17:01:02.065091,0 days 00:02:04.365194,identity,16,36,0.003922102918768285,22,COMPLETE
16,0.00034401434822939336,2025-07-12 17:01:02.065890,2025-07-12 17:02:08.520041,0 days 00:01:06.454151,identity,32,31,0.00443489410117111,21,COMPLETE
17,0.0003520358877722174,2025-07-12 17:02:08.520867,2025-07-12 17:04:03.546434,0 days 00:01:55.025567,identity,16,71,0.0012459563682123973,16,COMPLETE
18,0.0009350350592285395,2025-07-12 17:04:03.547249,2025-07-12 17:06:01.736088,0 days 00:01:58.188839,relu,16,8,0.004217964909143207,24,COMPLETE
19,0.0007497704937122762,2025-07-12 17:06:01.736924,2025-07-12 17:07:35.356517,0 days 00:01:33.619593,identity,16,31,0.0001334360985180596,16,COMPLETE
20,0.0003866653423756361,2025-07-12 17:07:35.357349,2025-07-12 17:08:59.845448,0 days 00:01:24.488099,identity,32,43,0.004255406854731255,20,COMPLETE
21,0.00034169951686635613,2025-07-12 17:08:59.846284,2025-07-12 17:11:12.140182,0 days 00:02:12.293898,identity,16,50,0.001260249661610307,23,COMPLETE
22,0.00029673485551029444,2025-07-12 17:11:12.140994,2025-07-12 17:13:19.746733,0 days 00:02:07.605739,identity,16,64,0.002818383711208182,21,COMPLETE
23,0.0003137096355203539,2025-07-12 17:13:19.747579,2025-07-12 17:16:22.884332,0 days 00:03:03.136753,identity,16,93,0.0031912093054468223,20,COMPLETE
24,0.000341297360137105,2025-07-12 17:16:22.885170,2025-07-12 17:18:46.608137,0 days 00:02:23.722967,identity,16,65,0.006423166385151795,23,COMPLETE
25,0.0003324871649965644,2025-07-12 17:18:46.609154,2025-07-12 17:21:21.941897,0 days 00:02:35.332743,identity,16,82,0.0013547920239765047,17,COMPLETE
26,1.7180771827697754,2025-07-12 17:21:21.943174,2025-07-12 17:24:58.089696,0 days 00:03:36.146522,relu,16,104,0.0016410625993844815,20,COMPLETE
27,0.00034424522891640663,2025-07-12 17:24:58.090506,2025-07-12 17:27:11.408131,0 days 00:02:13.317625,identity,16,62,0.006151790725009486,21,COMPLETE
28,0.0003918689035344869,2025-07-12 17:27:11.409010,2025-07-12 17:28:09.159170,0 days 00:00:57.750160,identity,32,77,0.002974553509026192,13,COMPLETE
29,0.0015941362362354994,2025-07-12 17:28:09.159767,2025-07-12 17:28:35.809729,0 days 00:00:26.649962,identity,128,38,0.0008283021677533216,18,COMPLETE
30,0.0003947915101889521,2025-07-12 17:28:35.810322,2025-07-12 17:29:36.684094,0 days 00:01:00.873772,identity,16,120,0.0035320544877756464,5,COMPLETE
31,0.0003213636518921703,2025-07-12 17:29:36.684682,2025-07-12 17:31:48.288610,0 days 00:02:11.603928,identity,16,54,0.002528244640288874,22,COMPLETE
32,0.0003070503880735487,2025-07-12 17:31:48.289495,2025-07-12 17:34:01.873976,0 days 00:02:13.584481,identity,16,48,0.005081822534606764,24,COMPLETE
33,0.0003827530308626592,2025-07-12 17:34:01.874856,2025-07-12 17:36:12.087800,0 days 00:02:10.212944,identity,16,23,0.007230828356500683,25,COMPLETE
