number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
0,1.277427077293396,2025-07-12 21:51:54.670260,2025-07-12 21:54:18.405975,0 days 00:02:23.735715,relu,min,16,0.00013999242927311838,8,11,gaussian,COMPLETE
1,1.7199455499649048,2025-07-12 21:54:18.406991,2025-07-12 21:55:40.832141,0 days 00:01:22.425150,relu,prod,32,0.003276422279498767,8,22,sigmoid,COMPLETE
2,0.1628992110490799,2025-07-12 21:55:40.832961,2025-07-12 21:57:29.154268,0 days 00:01:48.321307,identity,min,16,0.0007148931762348793,7,5,bell,COMPLETE
3,0.16416674852371216,2025-07-12 21:57:29.155044,2025-07-12 21:58:37.943737,0 days 00:01:08.788693,relu,prod,32,0.006298457079099004,7,13,sigmoid,COMPLETE
4,1.4805717468261719,2025-07-12 21:58:37.944562,2025-07-12 21:59:27.398301,0 days 00:00:49.453739,relu,prod,64,0.001529073801120625,8,15,gaussian,COMPLETE
5,1.2702136039733887,2025-07-12 21:59:27.398935,2025-07-12 22:00:11.728263,0 days 00:00:44.329328,identity,min,64,0.0009520046040946766,8,19,bell,COMPLETE
6,0.07157142460346222,2025-07-12 22:00:11.728884,2025-07-12 22:00:43.495622,0 days 00:00:31.766738,relu,min,128,0.0007302069741038563,8,21,sigmoid,COMPLETE
7,0.980372965335846,2025-07-12 22:00:43.496262,2025-07-12 22:01:11.202996,0 days 00:00:27.706734,relu,prod,64,0.0014639461251850965,9,6,bell,COMPLETE
8,0.22193969786167145,2025-07-12 22:01:11.203610,2025-07-12 22:01:32.448908,0 days 00:00:21.245298,relu,min,128,0.00040130274327538327,5,15,bell,COMPLETE
9,0.4099964201450348,2025-07-12 22:01:32.449457,2025-07-12 22:02:05.086148,0 days 00:00:32.636691,identity,prod,128,0.000149098141154954,7,22,gaussian,COMPLETE
10,0.37935301661491394,2025-07-12 22:02:05.086762,2025-07-12 22:02:28.362460,0 days 00:00:23.275698,identity,min,128,0.00890577848289652,6,19,sigmoid,COMPLETE
11,0.07626107335090637,2025-07-12 22:02:28.363125,2025-07-12 22:03:50.078156,0 days 00:01:21.715031,identity,min,16,0.00042854423000004017,6,6,bell,COMPLETE
12,0.1733209490776062,2025-07-12 22:03:50.078985,2025-07-12 22:06:04.981221,0 days 00:02:14.902236,identity,min,16,0.0003337077558167208,5,25,sigmoid,COMPLETE
13,1.458160638809204,2025-07-12 22:06:04.982016,2025-07-12 22:07:29.574634,0 days 00:01:24.592618,identity,min,16,0.00041840608921789026,6,9,bell,COMPLETE
14,0.5154286026954651,2025-07-12 22:07:29.575427,2025-07-12 22:07:50.644971,0 days 00:00:21.069544,relu,min,128,0.0025956304471648046,6,17,sigmoid,COMPLETE
15,1.7372236251831055,2025-07-12 22:07:50.645368,2025-07-12 22:09:20.767035,0 days 00:01:30.121667,identity,min,16,0.000225781088464316,9,9,bell,COMPLETE
16,0.41673800349235535,2025-07-12 22:09:20.767821,2025-07-12 22:09:47.239241,0 days 00:00:26.471420,identity,min,128,0.0006889391078559428,6,24,sigmoid,COMPLETE
17,0.1573152393102646,2025-07-12 22:09:47.239796,2025-07-12 22:10:52.089249,0 days 00:01:04.849453,relu,min,32,0.00025468564596495746,7,19,sigmoid,COMPLETE
18,0.04855068400502205,2025-07-12 22:10:52.090087,2025-07-12 22:12:08.361635,0 days 00:01:16.271548,relu,min,16,0.000496710814593319,5,8,bell,COMPLETE
19,0.02238176017999649,2025-07-12 22:12:08.362354,2025-07-12 22:12:25.187257,0 days 00:00:16.824903,relu,min,128,0.0019070549225665516,5,12,gaussian,COMPLETE
20,0.06252430379390717,2025-07-12 22:12:25.187639,2025-07-12 22:13:42.065790,0 days 00:01:16.878151,relu,min,16,0.003029603651812377,5,9,gaussian,COMPLETE
21,0.0009017827687785029,2025-07-12 22:13:42.066530,2025-07-12 22:14:58.861540,0 days 00:01:16.795010,relu,min,16,0.003596579161268496,5,9,gaussian,COMPLETE
22,0.02829032763838768,2025-07-12 22:14:58.862279,2025-07-12 22:16:23.576399,0 days 00:01:24.714120,relu,min,16,0.004203903647195643,5,11,gaussian,COMPLETE
23,0.00042868705349974334,2025-07-12 22:16:23.577155,2025-07-12 22:17:52.517333,0 days 00:01:28.940178,relu,min,16,0.004859530793855462,5,13,gaussian,COMPLETE
24,0.00047345831990242004,2025-07-12 22:17:52.518050,2025-07-12 22:19:17.548852,0 days 00:01:25.030802,relu,min,16,0.005200778118027405,5,12,gaussian,COMPLETE
25,0.0738736167550087,2025-07-12 22:19:17.549571,2025-07-12 22:20:46.733581,0 days 00:01:29.184010,relu,min,16,0.005948830793742799,5,13,gaussian,COMPLETE
26,0.0003729413729161024,2025-07-12 22:20:46.734328,2025-07-12 22:22:26.522496,0 days 00:01:39.788168,relu,prod,16,0.008648531429380475,6,14,gaussian,COMPLETE
27,0.17238716781139374,2025-07-12 22:22:26.523271,2025-07-12 22:24:18.678213,0 days 00:01:52.154942,relu,prod,16,0.00912160746918022,6,17,gaussian,COMPLETE
28,0.0007938991184346378,2025-07-12 22:24:18.678993,2025-07-12 22:25:58.501687,0 days 00:01:39.822694,relu,prod,16,0.005361295436647146,6,14,gaussian,COMPLETE
29,0.0017271871911361814,2025-07-12 22:25:58.502455,2025-07-12 22:27:29.140868,0 days 00:01:30.638413,relu,prod,16,0.007967059662953796,6,11,gaussian,COMPLETE
30,0.003075637388974428,2025-07-12 22:27:29.141702,2025-07-12 22:29:10.288468,0 days 00:01:41.146766,relu,prod,16,0.004690364387423114,5,16,gaussian,COMPLETE
31,0.00047268395428545773,2025-07-12 22:29:10.289245,2025-07-12 22:30:49.889496,0 days 00:01:39.600251,relu,prod,16,0.005502127399042772,6,14,gaussian,COMPLETE
32,0.025806255638599396,2025-07-12 22:30:49.890316,2025-07-12 22:32:20.562323,0 days 00:01:30.672007,relu,prod,16,0.002329500432934687,6,11,gaussian,COMPLETE
33,0.0006358945975080132,2025-07-12 22:32:20.563065,2025-07-12 22:33:15.316510,0 days 00:00:54.753445,relu,prod,32,0.00725114186084774,7,14,gaussian,COMPLETE
34,0.04938466474413872,2025-07-12 22:33:15.317072,2025-07-12 22:34:41.186636,0 days 00:01:25.869564,relu,prod,16,0.004080465611738818,5,12,gaussian,COMPLETE
35,1.6951563358306885,2025-07-12 22:34:41.187464,2025-07-12 22:36:16.697264,0 days 00:01:35.509800,relu,prod,16,0.009945618879970121,6,13,gaussian,COMPLETE
36,0.043347593396902084,2025-07-12 22:36:16.698020,2025-07-12 22:36:52.327756,0 days 00:00:35.629736,relu,prod,64,0.006660717403204088,7,16,gaussian,COMPLETE
37,0.9771661162376404,2025-07-12 22:36:52.328290,2025-07-12 22:37:44.255713,0 days 00:00:51.927423,relu,prod,32,0.0048317650216965205,5,14,gaussian,COMPLETE
38,0.03823361545801163,2025-07-12 22:37:44.256288,2025-07-12 22:39:36.346088,0 days 00:01:52.089800,relu,prod,16,0.003131247686252767,6,17,gaussian,COMPLETE
39,0.6116324663162231,2025-07-12 22:39:36.346948,2025-07-12 22:40:04.704447,0 days 00:00:28.357499,relu,prod,64,0.001419905866084765,5,12,gaussian,COMPLETE
40,0.1386941522359848,2025-07-12 22:40:04.705023,2025-07-12 22:41:55.311486,0 days 00:01:50.606463,relu,prod,16,0.0019888675977093252,7,16,gaussian,COMPLETE
41,1.6998299360275269,2025-07-12 22:41:55.312331,2025-07-12 22:42:50.101644,0 days 00:00:54.789313,relu,prod,32,0.00677036559145097,8,14,gaussian,COMPLETE
42,0.014978291466832161,2025-07-12 22:42:50.102233,2025-07-12 22:43:46.992121,0 days 00:00:56.889888,relu,prod,32,0.007497306560455832,7,15,gaussian,COMPLETE
43,0.1320936530828476,2025-07-12 22:43:46.992700,2025-07-12 22:44:41.744577,0 days 00:00:54.751877,relu,prod,32,0.005656935374394893,8,14,gaussian,COMPLETE
44,0.00459739426150918,2025-07-12 22:44:41.745161,2025-07-12 22:46:17.304401,0 days 00:01:35.559240,relu,prod,32,0.007150038510220643,7,13,gaussian,COMPLETE
45,0.013546954840421677,2025-07-12 22:46:17.305295,2025-07-12 22:47:05.100670,0 days 00:00:47.795375,relu,prod,32,0.0036758291082949666,6,10,gaussian,COMPLETE
46,0.006185993552207947,2025-07-12 22:47:05.101250,2025-07-12 22:47:39.436588,0 days 00:00:34.335338,relu,prod,64,0.005054922787572975,7,15,gaussian,COMPLETE
47,0.017141731455922127,2025-07-12 22:47:39.437171,2025-07-12 22:49:16.587244,0 days 00:01:37.150073,relu,min,16,0.008121264317751899,7,13,gaussian,COMPLETE
48,0.0005420559900812805,2025-07-12 22:49:16.588074,2025-07-12 22:51:19.777147,0 days 00:02:03.189073,identity,min,16,0.009619936938215475,6,20,gaussian,COMPLETE
49,0.4313330054283142,2025-07-12 22:51:19.777941,2025-07-12 22:53:21.609955,0 days 00:02:01.832014,identity,min,16,0.00011536421377503054,6,20,sigmoid,COMPLETE
50,0.00040350694325752556,2025-07-12 22:53:21.610832,2025-07-12 22:55:13.089454,0 days 00:01:51.478622,identity,min,16,0.0028009820455699597,5,18,bell,COMPLETE
51,0.00031064182985574007,2025-07-12 22:55:13.090349,2025-07-12 22:57:04.586219,0 days 00:01:51.495870,identity,min,16,0.009771850939898385,5,18,bell,COMPLETE
52,0.0003733596531674266,2025-07-12 22:57:04.587042,2025-07-12 22:58:56.054667,0 days 00:01:51.467625,identity,min,16,0.005908009511297633,5,18,bell,COMPLETE
53,0.014895493164658546,2025-07-12 22:58:56.055468,2025-07-12 23:00:47.522958,0 days 00:01:51.467490,identity,min,16,0.0012248924835652404,5,18,bell,COMPLETE
54,0.0025158021599054337,2025-07-12 23:00:47.523764,2025-07-12 23:02:54.394969,0 days 00:02:06.871205,identity,min,16,0.002627944824488372,5,22,bell,COMPLETE
55,0.0005439526285044849,2025-07-12 23:02:54.395862,2025-07-12 23:04:45.897273,0 days 00:01:51.501411,identity,min,16,0.006035934296801419,5,18,bell,COMPLETE
56,0.002976670628413558,2025-07-12 23:04:45.898152,2025-07-12 23:06:48.877712,0 days 00:02:02.979560,identity,min,16,0.004013689774591964,5,21,bell,COMPLETE
57,0.0005101047572679818,2025-07-12 23:06:48.878531,2025-07-12 23:08:40.387593,0 days 00:01:51.509062,identity,min,16,0.008074377768156662,5,18,bell,COMPLETE
58,0.017663713544607162,2025-07-12 23:08:40.388476,2025-07-12 23:09:03.967566,0 days 00:00:23.579090,identity,min,128,0.004311983300492164,5,19,bell,COMPLETE
59,0.00033629723475314677,2025-07-12 23:09:03.967978,2025-07-12 23:10:47.817617,0 days 00:01:43.849639,identity,min,16,0.006284971507802071,5,16,bell,COMPLETE
60,0.0018982234178110957,2025-07-12 23:10:47.818502,2025-07-12 23:12:35.707243,0 days 00:01:47.888741,identity,min,16,0.0033984907959596533,5,17,bell,COMPLETE
61,0.006168277934193611,2025-07-12 23:12:35.708118,2025-07-12 23:14:19.736488,0 days 00:01:44.028370,identity,min,16,0.006109386784808377,5,16,bell,COMPLETE
62,0.0008776495815254748,2025-07-12 23:14:19.737307,2025-07-12 23:15:59.961465,0 days 00:01:40.224158,identity,min,16,0.008545563296205583,5,15,bell,COMPLETE
63,0.3269596993923187,2025-07-12 23:15:59.962282,2025-07-12 23:17:51.695294,0 days 00:01:51.733012,identity,min,16,0.0008637076682449045,5,18,bell,COMPLETE
64,0.014832649379968643,2025-07-12 23:17:51.696197,2025-07-12 23:19:47.166866,0 days 00:01:55.470669,identity,min,16,0.0028732668865597325,5,19,bell,COMPLETE
65,0.00034130262793041766,2025-07-12 23:19:47.167689,2025-07-12 23:21:37.745610,0 days 00:01:50.577921,identity,min,16,0.004595256364037851,6,16,bell,COMPLETE
66,0.006570200901478529,2025-07-12 23:21:37.746458,2025-07-12 23:23:36.950976,0 days 00:01:59.204518,identity,min,16,0.0047056007647409935,5,20,bell,COMPLETE
67,0.0056335944682359695,2025-07-12 23:23:36.951804,2025-07-12 23:25:38.349000,0 days 00:02:01.397196,identity,min,16,0.002225974039526069,9,17,bell,COMPLETE
68,0.001900253351777792,2025-07-12 23:25:38.349862,2025-07-12 23:26:00.194275,0 days 00:00:21.844413,identity,min,128,0.009996665435752047,6,16,bell,COMPLETE
69,0.04014121741056442,2025-07-12 23:26:00.194867,2025-07-12 23:26:36.500288,0 days 00:00:36.305421,identity,min,64,0.0065662604622561994,5,17,bell,COMPLETE
70,0.010399430058896542,2025-07-12 23:26:36.500740,2025-07-12 23:28:28.773248,0 days 00:01:52.272508,identity,min,16,0.003688034704400925,5,18,bell,COMPLETE
71,0.005324383731931448,2025-07-12 23:28:28.774166,2025-07-12 23:30:15.303195,0 days 00:01:46.529029,identity,min,16,0.005505811070419407,6,15,bell,COMPLETE
72,0.02520747110247612,2025-07-12 23:30:15.304100,2025-07-12 23:32:00.889227,0 days 00:01:45.585127,identity,min,16,0.004493088008633609,6,16,sigmoid,COMPLETE
73,0.0004180633113719523,2025-07-12 23:32:00.890079,2025-07-12 23:33:43.269318,0 days 00:01:42.379239,identity,min,16,0.00833693996481005,6,14,bell,COMPLETE
74,0.00033044570591300726,2025-07-12 23:33:43.270143,2025-07-12 23:35:33.892504,0 days 00:01:50.622361,identity,min,16,0.008695203889329562,6,16,bell,COMPLETE
75,0.0005242068436928093,2025-07-12 23:35:33.893314,2025-07-12 23:37:20.376492,0 days 00:01:46.483178,identity,min,16,0.008978714621259331,6,15,bell,COMPLETE
76,0.0003257519565522671,2025-07-12 23:37:20.377532,2025-07-12 23:39:15.332027,0 days 00:01:54.954495,identity,min,16,0.007300797636285033,6,17,bell,COMPLETE
77,0.002038615057244897,2025-07-12 23:39:15.332845,2025-07-12 23:41:18.566352,0 days 00:02:03.233507,identity,min,16,0.0071443941088161845,6,19,bell,COMPLETE
78,0.0005729843396693468,2025-07-12 23:41:18.567175,2025-07-12 23:43:48.696057,0 days 00:02:30.128882,identity,min,16,0.006308069370812351,6,17,bell,COMPLETE
79,0.028940675780177116,2025-07-12 23:43:48.696945,2025-07-12 23:46:08.566345,0 days 00:02:19.869400,identity,min,16,0.007462961975846663,6,23,bell,COMPLETE
80,0.5340160727500916,2025-07-12 23:46:08.567224,2025-07-12 23:48:20.011878,0 days 00:02:11.444654,identity,min,16,0.0005595302408331785,6,21,bell,COMPLETE
81,0.0014327301178127527,2025-07-12 23:48:20.012806,2025-07-12 23:50:14.879276,0 days 00:01:54.866470,identity,min,16,0.008264438702735905,6,17,bell,COMPLETE
82,0.0005619834992103279,2025-07-12 23:50:14.880078,2025-07-12 23:52:05.468831,0 days 00:01:50.588753,identity,min,16,0.008764200992930734,6,16,bell,COMPLETE
83,0.0005252661649137735,2025-07-12 23:52:05.469656,2025-07-12 23:54:04.480051,0 days 00:01:59.010395,identity,min,16,0.00687959429827197,6,18,bell,COMPLETE
84,0.0003455252153798938,2025-07-12 23:54:04.480987,2025-07-12 23:55:55.067065,0 days 00:01:50.586078,identity,min,16,0.005692502865231031,6,16,bell,COMPLETE
85,0.5935999155044556,2025-07-12 23:55:55.067909,2025-07-12 23:56:18.678844,0 days 00:00:23.610935,identity,min,128,0.00538937232423412,5,19,bell,COMPLETE
86,0.2861962616443634,2025-07-12 23:56:18.679424,2025-07-12 23:56:55.991976,0 days 00:00:37.312552,identity,min,64,0.005856014633827044,7,16,bell,COMPLETE
87,0.0003289097803644836,2025-07-12 23:56:55.992434,2025-07-12 23:58:55.074584,0 days 00:01:59.082150,identity,min,16,0.007717096570463353,6,18,bell,COMPLETE
88,0.2557374835014343,2025-07-12 23:58:55.075407,2025-07-13 00:00:36.631689,0 days 00:01:41.556282,identity,min,16,0.007535531030413141,6,15,sigmoid,COMPLETE
89,0.0003163239161949605,2025-07-13 00:00:36.632497,2025-07-13 00:02:31.648969,0 days 00:01:55.016472,identity,min,16,0.009867568028168428,6,17,bell,COMPLETE
90,0.0003359741240274161,2025-07-13 00:02:31.649799,2025-07-13 00:04:26.693606,0 days 00:01:55.043807,identity,min,16,0.009363230241083416,6,17,bell,COMPLETE
91,0.30532142519950867,2025-07-13 00:04:26.694518,2025-07-13 00:06:21.715933,0 days 00:01:55.021415,identity,min,16,0.009375757001605891,6,17,bell,COMPLETE
92,0.2475816011428833,2025-07-13 00:06:21.716767,2025-07-13 00:08:12.414929,0 days 00:01:50.698162,identity,min,16,0.00992643495927328,6,16,bell,COMPLETE
93,0.0071721868589520454,2025-07-13 00:08:12.415773,2025-07-13 00:10:07.409852,0 days 00:01:54.994079,identity,min,16,0.007804079640968095,6,17,bell,COMPLETE
94,0.0003140769840683788,2025-07-13 00:10:07.410692,2025-07-13 00:11:58.138219,0 days 00:01:50.727527,identity,min,16,0.008893558257656302,6,16,bell,COMPLETE
95,0.001583137083798647,2025-07-13 00:11:58.139062,2025-07-13 00:13:48.889774,0 days 00:01:50.750712,identity,min,16,0.006687996709222612,6,16,bell,COMPLETE
96,0.00035202756407670677,2025-07-13 00:13:48.890615,2025-07-13 00:15:43.891726,0 days 00:01:55.001111,identity,min,16,0.008960227438581523,6,17,bell,COMPLETE
97,0.005079209804534912,2025-07-13 00:15:43.892549,2025-07-13 00:16:50.724569,0 days 00:01:06.832020,identity,min,16,0.007534142709013221,6,5,bell,COMPLETE
98,0.00035914246109314263,2025-07-13 00:16:50.725457,2025-07-13 00:18:39.818878,0 days 00:01:49.093421,identity,min,16,0.009980185617815747,7,15,bell,COMPLETE
99,0.24564628303050995,2025-07-13 00:18:39.819701,2025-07-13 00:20:42.991707,0 days 00:02:03.172006,identity,min,16,0.00028365754967221696,6,19,bell,COMPLETE
100,0.00045071853674016893,2025-07-13 00:20:42.992625,2025-07-13 00:22:33.643734,0 days 00:01:50.651109,identity,min,16,0.006455093900695862,6,16,bell,COMPLETE
