number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,state
0,0.0013195326318964362,2025-07-12 16:34:10.971063,2025-07-12 16:34:34.731930,0 days 00:00:23.760867,identity,32,10,0.0013147853726745045,17,COMPLETE
1,0.0004126712155994028,2025-07-12 16:34:34.732814,2025-07-12 16:35:25.182332,0 days 00:00:50.449518,identity,16,108,0.0015619662496119163,15,COMPLETE
2,0.0008066647569648921,2025-07-12 16:35:25.183120,2025-07-12 16:35:46.808775,0 days 00:00:21.625655,identity,128,102,0.0003943072383099092,13,COMPLETE
3,0.0011070528998970985,2025-07-12 16:35:46.809386,2025-07-12 16:35:55.788661,0 days 00:00:08.979275,identity,128,22,0.0029864967826287547,14,COMPLETE
4,1.6798341274261475,2025-07-12 16:35:55.789139,2025-07-12 16:36:28.963444,0 days 00:00:33.174305,relu,16,34,0.0007177565886060803,10,COMPLETE
5,0.009129377081990242,2025-07-12 16:36:28.964188,2025-07-12 16:36:39.888813,0 days 00:00:10.924625,identity,64,11,0.0002004106238093608,14,COMPLETE
6,0.00040211027953773737,2025-07-12 16:36:39.889328,2025-07-12 16:37:13.160451,0 days 00:00:33.271123,relu,32,126,0.007297992688885095,13,COMPLETE
7,1.662611484527588,2025-07-12 16:37:13.160864,2025-07-12 16:37:32.968131,0 days 00:00:19.807267,relu,32,45,0.003955386893661054,7,COMPLETE
8,0.0004171885666437447,2025-07-12 16:37:32.968656,2025-07-12 16:38:15.218492,0 days 00:00:42.249836,identity,16,85,0.0016558199859224307,12,COMPLETE
9,0.0005175222177058458,2025-07-12 16:38:15.219084,2025-07-12 16:38:32.070209,0 days 00:00:16.851125,identity,32,32,0.0019812590169646207,6,COMPLETE
10,1.7199456691741943,2025-07-12 16:38:32.070626,2025-07-12 16:39:08.589153,0 days 00:00:36.518527,relu,64,128,0.006291829948870825,23,COMPLETE
11,1.7162741422653198,2025-07-12 16:39:08.589751,2025-07-12 16:40:10.543612,0 days 00:01:01.953861,relu,16,125,0.006593400835823007,19,COMPLETE
12,1.719295620918274,2025-07-12 16:40:10.544503,2025-07-12 16:41:08.510799,0 days 00:00:57.966296,relu,16,102,0.0005780736154833522,21,COMPLETE
13,1.7113302946090698,2025-07-12 16:41:08.511387,2025-07-12 16:41:43.752068,0 days 00:00:35.240681,relu,32,107,0.00834224008683074,17,COMPLETE
14,0.0007758405408822,2025-07-12 16:41:43.752683,2025-07-12 16:42:07.654192,0 days 00:00:23.901509,identity,32,65,0.00011813024160692465,10,COMPLETE
15,0.0003565977967809886,2025-07-12 16:42:07.654759,2025-07-12 16:42:54.154444,0 days 00:00:46.499685,relu,16,81,0.0039757258530816655,17,COMPLETE
16,1.7180771827697754,2025-07-12 16:42:54.155053,2025-07-12 16:43:17.686176,0 days 00:00:23.531123,relu,128,70,0.00371081284138936,25,COMPLETE
17,0.00033415513462387025,2025-07-12 16:43:17.686794,2025-07-12 16:43:43.018886,0 days 00:00:25.332092,relu,64,79,0.009705701296399335,19,COMPLETE
18,1.7150795459747314,2025-07-12 16:43:43.019334,2025-07-12 16:44:04.889345,0 days 00:00:21.870011,relu,64,65,0.00990853899500366,20,COMPLETE
19,1.7113302946090698,2025-07-12 16:44:04.889890,2025-07-12 16:44:28.226418,0 days 00:00:23.336528,relu,64,90,0.002617419598102049,17,COMPLETE
20,1.7199455499649048,2025-07-12 16:44:28.226858,2025-07-12 16:44:47.824482,0 days 00:00:19.597624,relu,64,51,0.005904198199637607,22,COMPLETE
21,1.7140681743621826,2025-07-12 16:44:47.825226,2025-07-12 16:45:36.263748,0 days 00:00:48.438522,relu,16,84,0.004873111083136303,18,COMPLETE
22,1.6798341274261475,2025-07-12 16:45:36.264355,2025-07-12 16:46:02.274417,0 days 00:00:26.010062,relu,32,76,0.008756037857338198,10,COMPLETE
23,1.707970380783081,2025-07-12 16:46:02.274997,2025-07-12 16:46:20.169601,0 days 00:00:17.894604,relu,64,58,0.0025784895158692638,16,COMPLETE
24,1.690132975578308,2025-07-12 16:46:20.170041,2025-07-12 16:46:50.163745,0 days 00:00:29.993704,relu,32,94,0.0050153694211322805,12,COMPLETE
25,1.7180771827697754,2025-07-12 16:46:50.164273,2025-07-12 16:47:48.513235,0 days 00:00:58.348962,relu,16,116,0.009714350779750209,20,COMPLETE
26,1.7199456691741943,2025-07-12 16:47:48.513815,2025-07-12 16:48:16.286635,0 days 00:00:27.772820,relu,64,78,0.004005385045387204,23,COMPLETE
27,0.0003801135753747076,2025-07-12 16:48:16.287187,2025-07-12 16:48:39.680202,0 days 00:00:23.393015,relu,128,116,0.006785633749561624,15,COMPLETE
28,0.00045030564069747925,2025-07-12 16:48:39.680791,2025-07-12 16:49:06.283368,0 days 00:00:26.602577,relu,128,114,0.0008213230212888173,19,COMPLETE
29,0.00039370113518089056,2025-07-12 16:49:06.283795,2025-07-12 16:49:27.197231,0 days 00:00:20.913436,relu,128,94,0.0022408196494211924,16,COMPLETE
30,1.7140681743621826,2025-07-12 16:49:27.197801,2025-07-12 16:49:42.871065,0 days 00:00:15.673264,relu,128,55,0.0011898329124488023,18,COMPLETE
31,0.00033820298267528415,2025-07-12 16:49:42.871492,2025-07-12 16:50:02.512098,0 days 00:00:19.640606,relu,128,96,0.0022177780962817054,16,COMPLETE
32,1.7041062116622925,2025-07-12 16:50:02.512666,2025-07-12 16:50:27.086510,0 days 00:00:24.573844,relu,128,117,0.003327817815660304,15,COMPLETE
33,1.707970380783081,2025-07-12 16:50:27.086959,2025-07-12 16:50:48.447770,0 days 00:00:21.360811,relu,128,97,0.005239570016423864,16,COMPLETE
34,1.7140681743621826,2025-07-12 16:50:48.448338,2025-07-12 16:51:09.260162,0 days 00:00:20.811824,relu,128,79,0.0016175962361402465,18,COMPLETE
35,0.000380475859856233,2025-07-12 16:51:09.260592,2025-07-12 16:51:31.069652,0 days 00:00:21.809060,relu,128,106,0.004356192380988888,15,COMPLETE
36,0.0003800143313128501,2025-07-12 16:51:31.070214,2025-07-12 16:51:49.674514,0 days 00:00:18.604300,identity,128,87,0.0031413166773297547,14,COMPLETE
37,0.00036783513496629894,2025-07-12 16:51:49.674958,2025-07-12 16:52:34.385367,0 days 00:00:44.710409,identity,16,84,0.0013730227136321493,13,COMPLETE
38,0.0004921421059407294,2025-07-12 16:52:34.385926,2025-07-12 16:53:15.701717,0 days 00:00:41.315791,identity,16,74,0.0004801192951831029,11,COMPLETE
39,0.0006317916559055448,2025-07-12 16:53:15.702301,2025-07-12 16:53:59.272524,0 days 00:00:43.570223,identity,16,82,0.0011548900036424242,13,COMPLETE
40,0.000482400122564286,2025-07-12 16:53:59.273111,2025-07-12 16:54:41.180897,0 days 00:00:41.907786,identity,16,98,0.00030093807482100643,8,COMPLETE
41,0.00037230938323773444,2025-07-12 16:54:41.181489,2025-07-12 16:55:28.058439,0 days 00:00:46.876950,identity,16,87,0.0019189697240259405,14,COMPLETE
42,0.0005980569985695183,2025-07-12 16:55:28.059024,2025-07-12 16:56:11.221609,0 days 00:00:43.162585,identity,16,70,0.0014574073341029415,14,COMPLETE
