number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
0,0.13311083614826202,2025-07-13 14:53:52.087701,2025-07-13 14:54:06.900993,0 days 00:00:14.813292,relu,prod,128,0.00041586723418735185,9,11,bell,COMPLETE
1,0.1976141631603241,2025-07-13 14:54:06.901953,2025-07-13 14:55:00.506604,0 days 00:00:53.604651,relu,min,16,0.00025357121504097544,8,15,sigmoid,COMPLETE
2,0.9506106376647949,2025-07-13 14:55:00.507493,2025-07-13 14:56:07.722663,0 days 00:01:07.215170,relu,prod,16,0.000610359620333583,9,23,bell,COMPLETE
3,1.355483889579773,2025-07-13 14:56:07.723463,2025-07-13 14:56:26.288375,0 days 00:00:18.564912,relu,prod,64,0.0032244410639553703,5,15,gaussian,COMPLETE
4,0.3500487208366394,2025-07-13 14:56:26.288864,2025-07-13 14:57:21.734034,0 days 00:00:55.445170,relu,prod,16,0.0007509906958520523,7,13,gaussian,COMPLETE
5,0.29439836740493774,2025-07-13 14:57:21.734950,2025-07-13 14:57:41.305484,0 days 00:00:19.570534,relu,min,64,0.009535460172237779,7,15,sigmoid,COMPLETE
6,1.7041062116622925,2025-07-13 14:57:41.305967,2025-07-13 14:58:32.374511,0 days 00:00:51.068544,relu,prod,16,0.0013336357996212296,5,15,sigmoid,COMPLETE
7,1.8126482963562012,2025-07-13 14:58:32.375097,2025-07-13 14:58:47.228595,0 days 00:00:14.853498,identity,min,128,0.0017172580622075821,7,20,gaussian,COMPLETE
8,1.2844512462615967,2025-07-13 14:58:47.229095,2025-07-13 14:59:04.670572,0 days 00:00:17.441477,relu,min,128,0.001741339671434641,9,22,bell,COMPLETE
9,1.690132975578308,2025-07-13 14:59:04.671105,2025-07-13 14:59:54.431004,0 days 00:00:49.759899,relu,prod,16,0.002395979320473372,5,12,sigmoid,COMPLETE
10,3.311635732650757,2025-07-13 14:59:54.431578,2025-07-13 15:00:27.956929,0 days 00:00:33.525351,identity,prod,32,0.00010656374418454846,8,8,bell,COMPLETE
11,0.10519638657569885,2025-07-13 15:00:27.957430,2025-07-13 15:00:38.906122,0 days 00:00:10.948692,identity,min,128,0.0002706247089722411,8,5,bell,COMPLETE
12,0.19349907338619232,2025-07-13 15:00:38.906582,2025-07-13 15:00:49.834002,0 days 00:00:10.927420,identity,min,128,0.00031376848780029454,8,5,bell,COMPLETE
13,0.26487359404563904,2025-07-13 15:00:49.834400,2025-07-13 15:01:02.601110,0 days 00:00:12.766710,identity,min,128,0.0002440510774549405,9,9,bell,COMPLETE
14,0.24425089359283447,2025-07-13 15:01:02.601683,2025-07-13 15:01:13.664068,0 days 00:00:11.062385,identity,prod,128,0.00010620284211841368,8,5,bell,COMPLETE
15,2.6054227352142334,2025-07-13 15:01:13.664455,2025-07-13 15:01:45.382157,0 days 00:00:31.717702,identity,min,32,0.0003992072096315318,6,9,bell,COMPLETE
16,0.30127474665641785,2025-07-13 15:01:45.382765,2025-07-13 15:01:57.532271,0 days 00:00:12.149506,identity,min,128,0.00018648365004917758,9,7,bell,COMPLETE
17,5.877870082855225,2025-07-13 15:01:57.532780,2025-07-13 15:02:10.206161,0 days 00:00:12.673381,identity,prod,128,0.0005785448313762363,8,11,bell,COMPLETE
18,0.8541929721832275,2025-07-13 15:02:10.206563,2025-07-13 15:02:25.058644,0 days 00:00:14.852081,relu,min,128,0.00017328873284859017,6,18,bell,COMPLETE
19,0.49868065118789673,2025-07-13 15:02:25.059174,2025-07-13 15:02:46.046306,0 days 00:00:20.987132,identity,prod,64,0.0008748132677744966,9,18,gaussian,COMPLETE
20,0.0021988670341670513,2025-07-13 15:02:46.046945,2025-07-13 15:03:20.843122,0 days 00:00:34.796177,relu,prod,32,0.0004139194185644738,8,11,bell,COMPLETE
21,1.6851037740707397,2025-07-13 15:03:20.843728,2025-07-13 15:03:55.668777,0 days 00:00:34.825049,relu,prod,32,0.00044172103193134023,8,11,bell,COMPLETE
22,0.6268126964569092,2025-07-13 15:03:55.669388,2025-07-13 15:04:28.765088,0 days 00:00:33.095700,relu,prod,32,0.00039225120865751584,8,7,bell,COMPLETE
23,0.1499270796775818,2025-07-13 15:04:28.765645,2025-07-13 15:05:07.894505,0 days 00:00:39.128860,relu,prod,32,0.00014546767232323838,9,25,bell,COMPLETE
24,0.08044424653053284,2025-07-13 15:05:07.895122,2025-07-13 15:05:42.308214,0 days 00:00:34.413092,relu,prod,32,0.0010587648219235767,7,10,bell,COMPLETE
