number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_lr,params_num_layers,params_size_layers,state
0,1.6183620691299438,2025-07-12 16:32:58.623220,2025-07-12 16:33:05.337625,0 days 00:00:06.714405,relu,128,0.00017954901493457995,4,19,COMPLETE
1,0.00039141110028140247,2025-07-12 16:33:05.338535,2025-07-12 16:33:10.418687,0 days 00:00:05.080152,relu,128,0.002486868669210371,3,46,COMPLETE
2,0.0005021289107389748,2025-07-12 16:33:10.419164,2025-07-12 16:33:16.929245,0 days 00:00:06.510081,identity,64,0.0004692550146594286,2,59,COMPLETE
3,0.00038164202123880386,2025-07-12 16:33:16.929704,2025-07-12 16:33:35.708019,0 days 00:00:18.778315,identity,16,0.00021995928104097412,2,73,COMPLETE
4,1.6183620691299438,2025-07-12 16:33:35.708702,2025-07-12 16:33:44.572008,0 days 00:00:08.863306,relu,32,0.006661362398200451,1,16,COMPLETE
5,0.0005090810009278357,2025-07-12 16:33:44.572443,2025-07-12 16:33:57.005849,0 days 00:00:12.433406,identity,32,0.00015660455546065847,3,45,COMPLETE
6,0.018070055171847343,2025-07-12 16:33:57.006313,2025-07-12 16:34:12.345017,0 days 00:00:15.338704,relu,32,0.00018022388134023717,3,116,COMPLETE
7,0.00039414141792804003,2025-07-12 16:34:12.345500,2025-07-12 16:34:27.307688,0 days 00:00:14.962188,identity,32,0.00461587408877548,4,60,COMPLETE
8,0.012641390785574913,2025-07-12 16:34:27.307959,2025-07-12 16:34:45.863562,0 days 00:00:18.555603,relu,16,0.0014660932593551625,2,9,COMPLETE
9,0.0005156329134479165,2025-07-12 16:34:45.863991,2025-07-12 16:34:59.521133,0 days 00:00:13.657142,identity,32,0.000617415791211215,4,16,COMPLETE
10,0.0003620264178607613,2025-07-12 16:34:59.521569,2025-07-12 16:35:14.090413,0 days 00:00:14.568844,identity,16,0.0004031144241029624,1,99,COMPLETE
11,0.00036261853529140353,2025-07-12 16:35:14.090692,2025-07-12 16:35:28.619756,0 days 00:00:14.529064,identity,16,0.00033402967960999345,1,97,COMPLETE
12,0.00036538613494485617,2025-07-12 16:35:28.620208,2025-07-12 16:35:43.190321,0 days 00:00:14.570113,identity,16,0.0004283922983934688,1,105,COMPLETE
13,0.0003585248196031898,2025-07-12 16:35:43.190597,2025-07-12 16:35:57.704418,0 days 00:00:14.513821,identity,16,0.0011566090869218838,1,92,COMPLETE
14,0.0003665840486064553,2025-07-12 16:35:57.704805,2025-07-12 16:36:12.228866,0 days 00:00:14.524061,identity,16,0.0011259943729851373,1,85,COMPLETE
15,0.0004944098764099181,2025-07-12 16:36:12.229136,2025-07-12 16:36:19.347097,0 days 00:00:07.117961,identity,64,0.0022978317577365855,2,127,COMPLETE
16,0.00036354418261907995,2025-07-12 16:36:19.347418,2025-07-12 16:36:33.863206,0 days 00:00:14.515788,identity,16,0.0007757192980964787,1,88,COMPLETE
17,0.0003920322342310101,2025-07-12 16:36:33.863482,2025-07-12 16:36:48.414661,0 days 00:00:14.551179,identity,16,0.0018282916302139122,1,113,COMPLETE
18,0.00036396330688148737,2025-07-12 16:36:48.415105,2025-07-12 16:37:07.285372,0 days 00:00:18.870267,identity,16,0.003447188646594867,2,78,COMPLETE
19,0.00048564496682956815,2025-07-12 16:37:07.285660,2025-07-12 16:37:10.908702,0 days 00:00:03.623042,identity,128,0.0009802430799431292,1,91,COMPLETE
20,0.0004035135789308697,2025-07-12 16:37:10.908966,2025-07-12 16:37:17.774423,0 days 00:00:06.865457,identity,64,0.009787860934576766,2,99,COMPLETE
21,0.00041750542004592717,2025-07-12 16:37:17.774857,2025-07-12 16:37:32.303790,0 days 00:00:14.528933,identity,16,0.00031998868201737595,1,99,COMPLETE
22,0.00036045751767233014,2025-07-12 16:37:32.304057,2025-07-12 16:37:46.889353,0 days 00:00:14.585296,identity,16,0.0003014166638695776,1,127,COMPLETE
23,0.0005025123246014118,2025-07-12 16:37:46.889650,2025-07-12 16:38:01.481484,0 days 00:00:14.591834,identity,16,0.0001111852810778285,1,122,COMPLETE
24,0.0003580681805033237,2025-07-12 16:38:01.481921,2025-07-12 16:38:16.065255,0 days 00:00:14.583334,identity,16,0.0005648750444840065,1,110,COMPLETE
25,0.00036287272814661264,2025-07-12 16:38:16.065515,2025-07-12 16:38:35.768948,0 days 00:00:19.703433,identity,16,0.0006650711196842659,2,114,COMPLETE
26,0.015472316183149815,2025-07-12 16:38:35.769233,2025-07-12 16:38:51.115240,0 days 00:00:15.346007,relu,16,0.0002625639980191374,1,109,COMPLETE
27,0.000357447745045647,2025-07-12 16:38:51.115771,2025-07-12 16:39:11.299373,0 days 00:00:20.183602,identity,16,0.001109362013664573,2,127,COMPLETE
28,0.0004497022309806198,2025-07-12 16:39:11.299688,2025-07-12 16:39:19.955136,0 days 00:00:08.655448,identity,64,0.0012503246021108635,3,119,COMPLETE
29,1.6183620691299438,2025-07-12 16:39:19.955646,2025-07-12 16:39:24.905489,0 days 00:00:04.949843,relu,128,0.0008439838655743564,2,105,COMPLETE
30,0.00041825248626992106,2025-07-12 16:39:24.905817,2025-07-12 16:39:29.371332,0 days 00:00:04.465515,identity,128,0.0015914820317100634,2,81,COMPLETE
31,0.00035787129309028387,2025-07-12 16:39:29.371615,2025-07-12 16:39:43.943347,0 days 00:00:14.571732,identity,16,0.0005249198774870409,1,124,COMPLETE
32,0.0003590525302570313,2025-07-12 16:39:43.943659,2025-07-12 16:39:58.513448,0 days 00:00:14.569789,identity,16,0.0006116360296773011,1,127,COMPLETE
33,0.00036163858021609485,2025-07-12 16:39:58.513953,2025-07-12 16:40:13.085947,0 days 00:00:14.571994,identity,16,0.0005283352871612038,1,119,COMPLETE
34,0.0003829636552836746,2025-07-12 16:40:13.086249,2025-07-12 16:40:34.867638,0 days 00:00:21.781389,identity,16,0.0009420146364857806,3,38,COMPLETE
35,1.6183620691299438,2025-07-12 16:40:34.868106,2025-07-12 16:40:55.968333,0 days 00:00:21.100227,relu,16,0.0023343894537881217,2,108,COMPLETE
