number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,state
0,0.00041041389340534806,2025-07-12 18:35:51.299418,2025-07-12 18:36:21.869587,0 days 00:00:30.570169,identity,32,34,0.008364273112221807,19,COMPLETE
1,0.006136469077318907,2025-07-12 18:36:21.870486,2025-07-12 18:36:30.104172,0 days 00:00:08.233686,identity,128,32,0.00027650106668370274,10,COMPLETE
2,0.000346652464941144,2025-07-12 18:36:30.104678,2025-07-12 18:37:02.170530,0 days 00:00:32.065852,identity,64,68,0.00381333122381037,24,COMPLETE
3,0.00036176215508021414,2025-07-12 18:37:02.171334,2025-07-12 18:37:36.545607,0 days 00:00:34.374273,identity,32,107,0.0026194218581004347,14,COMPLETE
4,0.0027984874323010445,2025-07-12 18:37:36.546350,2025-07-12 18:38:38.973188,0 days 00:01:02.426838,identity,16,25,0.0022991133830733276,24,COMPLETE
5,1.6742475032806396,2025-07-12 18:38:38.974006,2025-07-12 18:39:48.386148,0 days 00:01:09.412142,relu,16,107,0.007763104611135861,9,COMPLETE
6,0.0005098857218399644,2025-07-12 18:39:48.386949,2025-07-12 18:40:10.584237,0 days 00:00:22.197288,relu,32,124,0.0004973225584603664,6,COMPLETE
7,0.0014336659805849195,2025-07-12 18:40:10.584692,2025-07-12 18:40:24.861103,0 days 00:00:14.276411,identity,128,20,0.003051464618918349,23,COMPLETE
8,0.0003383413713891059,2025-07-12 18:40:24.861605,2025-07-12 18:41:18.886129,0 days 00:00:54.024524,relu,32,48,0.0009309693544186097,25,COMPLETE
9,1.7157435417175293,2025-07-12 18:41:18.886705,2025-07-12 18:42:11.188821,0 days 00:00:52.302116,relu,16,29,0.0016565521164216485,19,COMPLETE
10,0.0024370490573346615,2025-07-12 18:42:11.189421,2025-07-12 18:42:34.447029,0 days 00:00:23.257608,relu,64,61,0.00011425292760786632,18,COMPLETE
11,0.0007924010860733688,2025-07-12 18:42:34.447632,2025-07-12 18:43:04.298621,0 days 00:00:29.850989,relu,64,66,0.0007944436806534923,25,COMPLETE
12,0.0004316223203204572,2025-07-12 18:43:04.299124,2025-07-12 18:43:29.108598,0 days 00:00:24.809474,identity,64,56,0.0010822672895076909,22,COMPLETE
13,1.7041062116622925,2025-07-12 18:43:29.109113,2025-07-12 18:43:59.657141,0 days 00:00:30.548028,relu,32,81,0.004496264599420091,15,COMPLETE
14,0.0009300259407609701,2025-07-12 18:43:59.657722,2025-07-12 18:44:26.431686,0 days 00:00:26.773964,relu,64,82,0.0003231533999271854,21,COMPLETE
15,0.0008172247326001525,2025-07-12 18:44:26.432188,2025-07-12 18:44:51.818149,0 days 00:00:25.385961,identity,64,47,0.001135335695225859,25,COMPLETE
16,0.00035295315319672227,2025-07-12 18:44:51.818642,2025-07-12 18:45:22.656085,0 days 00:00:30.837443,relu,32,82,0.0006230194935778928,15,COMPLETE
17,0.0028386893682181835,2025-07-12 18:45:22.656705,2025-07-12 18:45:35.729909,0 days 00:00:13.073204,identity,128,11,0.003911677785835654,20,COMPLETE
18,0.0004899828927591443,2025-07-12 18:45:35.730389,2025-07-12 18:45:57.181734,0 days 00:00:21.451345,identity,64,47,0.001715068047120883,17,COMPLETE
19,1.7199455499649048,2025-07-12 18:45:57.182208,2025-07-12 18:46:40.335314,0 days 00:00:43.153106,relu,32,98,0.005402749133929767,22,COMPLETE
20,0.001712098834104836,2025-07-12 18:46:40.335886,2025-07-12 18:46:57.235978,0 days 00:00:16.900092,identity,64,48,0.00012319746163794065,13,COMPLETE
21,1.6851037740707397,2025-07-12 18:46:57.236484,2025-07-12 18:47:22.778657,0 days 00:00:25.542173,relu,32,80,0.0005974487354519022,11,COMPLETE
22,1.6493552923202515,2025-07-12 18:47:22.779141,2025-07-12 18:47:41.989421,0 days 00:00:19.210280,relu,32,74,0.0003353397172202391,5,COMPLETE
23,1.7113302946090698,2025-07-12 18:47:41.989910,2025-07-12 18:48:17.217470,0 days 00:00:35.227560,relu,32,92,0.0006675167834550048,17,COMPLETE
24,1.7199456691741943,2025-07-12 18:48:17.218048,2025-07-12 18:49:00.811234,0 days 00:00:43.593186,relu,32,70,0.0013301396273771831,23,COMPLETE
25,0.000494747597258538,2025-07-12 18:49:00.811832,2025-07-12 18:49:24.566966,0 days 00:00:23.755134,relu,32,89,0.00045947818985740154,8,COMPLETE
26,0.00467859348282218,2025-07-12 18:49:24.567408,2025-07-12 18:49:41.432053,0 days 00:00:16.864645,relu,128,57,0.0001913393131671324,25,COMPLETE
27,0.0005270242691040039,2025-07-12 18:49:41.432577,2025-07-12 18:50:24.497721,0 days 00:00:43.065144,relu,16,38,0.000779401127639591,12,COMPLETE
28,0.0003731634933501482,2025-07-12 18:50:24.498307,2025-07-12 18:50:57.201460,0 days 00:00:32.703153,identity,32,71,0.0018878186976899643,16,COMPLETE
29,0.0004887913237325847,2025-07-12 18:50:57.202061,2025-07-12 18:51:48.406088,0 days 00:00:51.204027,identity,32,40,0.008857194942078756,21,COMPLETE
30,1.7162741422653198,2025-07-12 18:51:48.406699,2025-07-12 18:52:12.695597,0 days 00:00:24.288898,relu,64,61,0.0009113355953074119,19,COMPLETE
31,0.0004489495768211782,2025-07-12 18:52:12.696208,2025-07-12 18:52:45.286959,0 days 00:00:32.590751,identity,32,101,0.0026821370901836017,14,COMPLETE
32,0.000570559233892709,2025-07-12 18:52:45.287406,2025-07-12 18:53:19.114312,0 days 00:00:33.826906,identity,32,115,0.005107911210688286,14,COMPLETE
33,0.0004122326208744198,2025-07-12 18:53:19.114916,2025-07-12 18:53:56.493884,0 days 00:00:37.378968,identity,32,125,0.003121071335580851,15,COMPLETE
34,0.0004044927773065865,2025-07-12 18:53:56.494470,2025-07-12 18:54:25.385531,0 days 00:00:28.891061,identity,32,112,0.0024234784906081402,12,COMPLETE
35,0.00041093677282333374,2025-07-12 18:54:25.386016,2025-07-12 18:55:22.394465,0 days 00:00:57.008449,identity,16,93,0.0060241626402868995,9,COMPLETE
36,0.000349523063050583,2025-07-12 18:55:22.395094,2025-07-12 18:55:40.671855,0 days 00:00:18.276761,identity,128,106,0.0013108318593533354,16,COMPLETE
37,0.0009116881410591304,2025-07-12 18:55:40.672357,2025-07-12 18:56:02.087158,0 days 00:00:21.414801,identity,128,86,0.0004626638543511148,23,COMPLETE
38,0.0003675465704873204,2025-07-12 18:56:02.087784,2025-07-12 18:56:22.448698,0 days 00:00:20.360914,identity,128,76,0.001503325433901487,24,COMPLETE
39,0.0015008108457550406,2025-07-12 18:56:22.449193,2025-07-12 18:56:44.490486,0 days 00:00:22.041293,relu,128,105,0.00021503906696276572,20,COMPLETE
40,0.0005555032985284925,2025-07-12 18:56:44.491035,2025-07-12 18:57:04.091840,0 days 00:00:19.600805,identity,128,119,0.0005754038429035802,16,COMPLETE
41,0.0005128681077621877,2025-07-12 18:57:04.092452,2025-07-12 18:58:17.452273,0 days 00:01:13.359821,identity,16,98,0.0018820301461141154,13,COMPLETE
42,0.00038415074232034385,2025-07-12 18:58:17.453092,2025-07-12 18:58:55.651943,0 days 00:00:38.198851,identity,32,108,0.0035201210544738037,18,COMPLETE
43,0.00038085461710579693,2025-07-12 18:58:55.652538,2025-07-12 18:59:09.683717,0 days 00:00:14.031179,identity,128,119,0.0012008761469138624,10,COMPLETE
44,1.662611484527588,2025-07-12 18:59:09.684116,2025-07-12 18:59:22.132120,0 days 00:00:12.448004,relu,64,66,0.0009313834854325049,7,COMPLETE
45,0.00035779643803834915,2025-07-12 18:59:22.132586,2025-07-12 18:59:46.689478,0 days 00:00:24.556892,identity,32,23,0.002070915243268122,15,COMPLETE
46,0.0009578110184520483,2025-07-12 18:59:46.690007,2025-07-12 19:00:18.696219,0 days 00:00:32.006212,identity,32,21,0.00138843888779483,24,COMPLETE
47,0.002413048641756177,2025-07-12 19:00:18.696812,2025-07-12 19:00:34.578631,0 days 00:00:15.881819,identity,64,13,0.0020221788348004912,18,COMPLETE
48,0.002245483687147498,2025-07-12 19:00:34.579135,2025-07-12 19:00:44.533363,0 days 00:00:09.954228,relu,128,32,0.0007573059637341343,16,COMPLETE
49,0.0003621129726525396,2025-07-12 19:00:44.533754,2025-07-12 19:01:07.655941,0 days 00:00:23.122187,identity,32,27,0.0073247453403642955,13,COMPLETE
50,0.0009190382552333176,2025-07-12 19:01:07.656448,2025-07-12 19:01:32.624441,0 days 00:00:24.967993,relu,64,55,0.0010086509631006236,22,COMPLETE
