number,value,datetime_start,datetime_complete,duration,params_and_operator,params_lr,params_n_sets_protein,params_n_sets_salt,params_shape,state
0,0.6054545454545455,2025-10-01 10:59:28.118687,2025-10-01 10:59:43.204974,0 days 00:00:15.086287,prod,0.00021419226281867994,5,3,sigmoid,COMPLETE
1,0.7272727272727273,2025-10-01 10:59:43.205849,2025-10-01 10:59:58.903768,0 days 00:00:15.697919,hamacher,0.0002152852252909745,2,3,gaussian,COMPLETE
2,0.510909090909091,2025-10-01 10:59:58.907337,2025-10-01 11:00:13.906376,0 days 00:00:14.999039,frank,4.850415589811115e-05,3,3,sigmoid,COMPLETE
3,0.33454545454545453,2025-10-01 11:00:13.906904,2025-10-01 11:00:31.237512,0 days 00:00:17.330608,min,2.1039770103808746e-05,4,2,bell,COMPLETE
4,0.24000000000000005,2025-10-01 11:00:31.238028,2025-10-01 11:00:46.205743,0 days 00:00:14.967715,luka,1.1805674993885868e-05,5,5,gaussian,COMPLETE
5,0.6654545454545454,2025-10-01 11:00:46.206216,2025-10-01 11:01:04.349994,0 days 00:00:18.143778,hamacher,0.0005117819687642975,2,2,bell,COMPLETE
6,0.42727272727272736,2025-10-01 11:01:04.350383,2025-10-01 11:01:19.372113,0 days 00:00:15.021730,frank,7.749826155617057e-05,4,4,sigmoid,COMPLETE
7,0.27454545454545454,2025-10-01 11:01:19.372487,2025-10-01 11:01:34.449862,0 days 00:00:15.077375,luka,0.0005498637731841485,4,5,gaussian,COMPLETE
8,0.5509090909090909,2025-10-01 11:01:34.450239,2025-10-01 11:01:50.784455,0 days 00:00:16.334216,frank,0.00047796644913617755,4,2,gaussian,COMPLETE
9,0.5072727272727272,2025-10-01 11:01:50.784739,2025-10-01 11:02:04.466895,0 days 00:00:13.682156,min,0.0001232126683654977,2,3,sigmoid,COMPLETE
10,0.8,2025-10-01 11:02:04.467256,2025-10-01 11:02:20.276537,0 days 00:00:15.809281,hamacher,0.00021257571362327715,3,4,gaussian,COMPLETE
11,0.7,2025-10-01 11:02:20.276972,2025-10-01 11:02:36.065620,0 days 00:00:15.788648,hamacher,0.00021573290858802453,3,4,gaussian,COMPLETE
12,0.76,2025-10-01 11:02:36.066011,2025-10-01 11:02:51.790864,0 days 00:00:15.724853,hamacher,0.00022740565163450205,2,4,gaussian,COMPLETE
13,0.7072727272727273,2025-10-01 11:02:51.791164,2025-10-01 11:03:07.522143,0 days 00:00:15.730979,hamacher,0.00011546641246494205,3,4,gaussian,COMPLETE
14,0.7799999999999999,2025-10-01 11:03:07.522554,2025-10-01 11:03:23.548402,0 days 00:00:16.025848,hamacher,0.0008459932423011567,2,5,gaussian,COMPLETE
15,0.8399999999999999,2025-10-01 11:03:23.548794,2025-10-01 11:03:38.646917,0 days 00:00:15.098123,prod,0.0008312878495649026,3,5,gaussian,COMPLETE
16,0.82,2025-10-01 11:03:38.647340,2025-10-01 11:03:56.143885,0 days 00:00:17.496545,prod,0.0009918450757058197,3,5,bell,COMPLETE
17,0.8399999999999999,2025-10-01 11:03:56.144266,2025-10-01 11:04:13.641384,0 days 00:00:17.497118,prod,0.0009123220773010157,3,5,bell,COMPLETE
18,0.7799999999999999,2025-10-01 11:04:13.641779,2025-10-01 11:04:31.134841,0 days 00:00:17.493062,prod,0.00042517718224545397,3,5,bell,COMPLETE
19,0.8399999999999999,2025-10-01 11:04:31.135149,2025-10-01 11:04:48.681988,0 days 00:00:17.546839,prod,0.0007323260575237887,4,5,bell,COMPLETE
20,0.7672727272727272,2025-10-01 11:04:48.682374,2025-10-01 11:05:06.182432,0 days 00:00:17.500058,prod,0.00031956818945260047,3,5,bell,COMPLETE
21,0.82,2025-10-01 11:05:06.182842,2025-10-01 11:05:23.740421,0 days 00:00:17.557579,prod,0.0007534494624696097,4,5,bell,COMPLETE
22,0.7854545454545454,2025-10-01 11:05:23.740814,2025-10-01 11:05:41.182867,0 days 00:00:17.442053,prod,0.0007139625662671093,5,5,bell,COMPLETE
23,0.8400000000000001,2025-10-01 11:05:41.183257,2025-10-01 11:05:58.548402,0 days 00:00:17.365145,prod,0.0003362053954321909,4,4,bell,COMPLETE
24,0.7654545454545454,2025-10-01 11:05:58.548785,2025-10-01 11:06:16.001330,0 days 00:00:17.452545,prod,0.00037015520625925327,3,4,bell,COMPLETE
25,0.78,2025-10-01 11:06:16.001742,2025-10-01 11:06:33.356703,0 days 00:00:17.354961,prod,0.0009986419313698367,4,4,bell,COMPLETE
26,0.8399999999999999,2025-10-01 11:06:33.357095,2025-10-01 11:06:50.822458,0 days 00:00:17.465363,prod,0.0002948837757886994,3,4,bell,COMPLETE
