number,value,datetime_start,datetime_complete,duration,params_and_operator,params_lr,params_n_sets_protein,params_n_sets_salt,params_shape,state
0,0.8408333333333335,2025-10-01 09:03:05.766755,2025-10-01 09:03:29.489072,0 days 00:00:23.722317,min,0.0002864410537865168,5,4,gaussian,COMPLETE
1,0.8141666666666667,2025-10-01 09:03:29.489916,2025-10-01 09:03:50.355813,0 days 00:00:20.865897,luka,0.0001038932794426472,5,3,sigmoid,COMPLETE
2,0.7383333333333333,2025-10-01 09:03:50.356317,2025-10-01 09:04:13.773483,0 days 00:00:23.417166,hamacher,0.00018630466999221398,2,4,gaussian,COMPLETE
3,0.5958333333333334,2025-10-01 09:04:13.774181,2025-10-01 09:04:40.767944,0 days 00:00:26.993763,hamacher,5.4795002172356804e-05,2,2,bell,COMPLETE
4,0.7241666666666666,2025-10-01 09:04:40.768609,2025-10-01 09:05:04.281836,0 days 00:00:23.513227,hamacher,3.772024426792888e-05,4,5,gaussian,COMPLETE
5,0.5158333333333334,2025-10-01 09:05:04.282315,2025-10-01 09:05:25.082822,0 days 00:00:20.800507,luka,1.0666729913707586e-05,4,3,sigmoid,COMPLETE
6,0.6416666666666667,2025-10-01 09:05:25.083284,2025-10-01 09:05:47.069848,0 days 00:00:21.986564,min,2.261003473630346e-05,2,4,gaussian,COMPLETE
7,0.7883333333333333,2025-10-01 09:05:47.070258,2025-10-01 09:06:09.131771,0 days 00:00:22.061513,min,4.31196974380923e-05,5,4,gaussian,COMPLETE
8,0.5441666666666667,2025-10-01 09:06:09.132145,2025-10-01 09:06:33.594482,0 days 00:00:24.462337,frank,1.4532764469523889e-05,5,2,gaussian,COMPLETE
9,0.8025,2025-10-01 09:06:33.594867,2025-10-01 09:07:01.765092,0 days 00:00:28.170225,frank,0.0006295895908843941,5,4,bell,COMPLETE
10,0.8541666666666667,2025-10-01 09:07:01.765464,2025-10-01 09:07:27.859203,0 days 00:00:26.093739,prod,0.0009909233294324883,3,5,bell,COMPLETE
11,0.8541666666666666,2025-10-01 09:07:27.859695,2025-10-01 09:07:53.959281,0 days 00:00:26.099586,prod,0.000810600795162672,3,5,bell,COMPLETE
12,0.8283333333333335,2025-10-01 09:07:53.959678,2025-10-01 09:08:20.049100,0 days 00:00:26.089422,prod,0.0009432093955377805,3,5,bell,COMPLETE
13,0.8016666666666665,2025-10-01 09:08:20.049477,2025-10-01 09:08:46.141291,0 days 00:00:26.091814,prod,0.00044531011809720755,3,5,bell,COMPLETE
14,0.8675,2025-10-01 09:08:46.141764,2025-10-01 09:09:12.233133,0 days 00:00:26.091369,prod,0.0009117945107030513,3,5,bell,COMPLETE
15,0.8008333333333333,2025-10-01 09:09:12.233537,2025-10-01 09:09:38.373353,0 days 00:00:26.139816,prod,0.00032472439136858194,3,5,bell,COMPLETE
16,0.8408333333333333,2025-10-01 09:09:38.373759,2025-10-01 09:10:04.660309,0 days 00:00:26.286550,prod,0.0001257013914481258,4,5,bell,COMPLETE
17,0.8416666666666668,2025-10-01 09:10:04.660801,2025-10-01 09:10:25.200070,0 days 00:00:20.539269,prod,0.00047757139757147063,3,3,sigmoid,COMPLETE
18,0.8141666666666667,2025-10-01 09:10:25.200495,2025-10-01 09:10:51.352797,0 days 00:00:26.152302,prod,0.00020189985925558144,4,5,bell,COMPLETE
19,0.8683333333333334,2025-10-01 09:10:51.353205,2025-10-01 09:11:17.438480,0 days 00:00:26.085275,prod,0.0009613233970260427,2,4,bell,COMPLETE
20,0.30249999999999994,2025-10-01 09:11:17.438903,2025-10-01 09:11:43.669508,0 days 00:00:26.230605,luka,0.0004977349730496897,2,4,bell,COMPLETE
21,0.8675,2025-10-01 09:11:43.669905,2025-10-01 09:12:09.707355,0 days 00:00:26.037450,prod,0.0009513566830037604,2,5,bell,COMPLETE
22,0.8141666666666667,2025-10-01 09:12:09.707841,2025-10-01 09:12:35.777949,0 days 00:00:26.070108,prod,0.0006489063453640146,2,4,bell,COMPLETE
23,0.8541666666666667,2025-10-01 09:12:35.778339,2025-10-01 09:13:01.851839,0 days 00:00:26.073500,prod,0.00031789286436850864,2,5,bell,COMPLETE
24,0.8675,2025-10-01 09:13:01.852236,2025-10-01 09:13:27.882656,0 days 00:00:26.030420,prod,0.0006872277708681725,2,3,bell,COMPLETE
25,0.8425,2025-10-01 09:13:27.883154,2025-10-01 09:13:50.412071,0 days 00:00:22.528917,frank,0.0004207684344490107,2,4,sigmoid,COMPLETE
26,0.8275,2025-10-01 09:13:50.412473,2025-10-01 09:14:16.551663,0 days 00:00:26.139190,prod,0.00020521277690500826,3,5,bell,COMPLETE
27,0.8275,2025-10-01 09:14:16.552060,2025-10-01 09:14:42.622223,0 days 00:00:26.070163,prod,0.000965967085261253,2,5,bell,COMPLETE
28,0.8408333333333335,2025-10-01 09:14:42.622626,2025-10-01 09:15:08.678372,0 days 00:00:26.055746,prod,0.0006026113515434125,3,4,bell,COMPLETE
29,0.8808333333333334,2025-10-01 09:15:08.678903,2025-10-01 09:15:31.200802,0 days 00:00:22.521899,frank,0.0007172855049629105,2,3,sigmoid,COMPLETE
30,0.8550000000000001,2025-10-01 09:15:31.201191,2025-10-01 09:15:53.708281,0 days 00:00:22.507090,frank,0.00027617250459414206,2,3,sigmoid,COMPLETE
31,0.8541666666666667,2025-10-01 09:15:53.708667,2025-10-01 09:16:16.002509,0 days 00:00:22.293842,frank,0.0007034486198862331,2,2,sigmoid,COMPLETE
32,0.8141666666666667,2025-10-01 09:16:16.002903,2025-10-01 09:16:36.465503,0 days 00:00:20.462600,min,0.0003704535136671172,2,3,sigmoid,COMPLETE
33,0.8550000000000001,2025-10-01 09:16:36.465899,2025-10-01 09:16:58.961308,0 days 00:00:22.495409,frank,0.0005394858053675339,2,3,sigmoid,COMPLETE
34,0.8416666666666668,2025-10-01 09:16:58.961684,2025-10-01 09:17:20.899425,0 days 00:00:21.937741,hamacher,0.0008020056872080935,2,4,sigmoid,COMPLETE
35,0.5025,2025-10-01 09:17:20.899830,2025-10-01 09:17:47.104983,0 days 00:00:26.205153,luka,7.110526450269647e-05,3,2,bell,COMPLETE
36,0.8166666666666668,2025-10-01 09:17:47.105476,2025-10-01 09:18:08.959458,0 days 00:00:21.853982,hamacher,0.00023537129353980236,2,3,sigmoid,COMPLETE
37,0.7483333333333333,2025-10-01 09:18:08.959842,2025-10-01 09:18:33.352174,0 days 00:00:24.392332,frank,0.00013756119566958006,2,4,gaussian,COMPLETE
38,0.8691666666666666,2025-10-01 09:18:33.352578,2025-10-01 09:18:59.240784,0 days 00:00:25.888206,min,0.0007896774406943991,4,3,bell,COMPLETE
39,0.8416666666666668,2025-10-01 09:18:59.241180,2025-10-01 09:19:21.302145,0 days 00:00:22.060965,min,0.000406725967333945,4,3,gaussian,COMPLETE
