number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_dim,params_lr,params_n_layers,state
0,0.31272727272727274,2025-10-01 13:18:54.570821,2025-10-01 13:19:05.155477,0 days 00:00:10.584656,sigmoid,25,1.2773205998936331e-05,4,COMPLETE
1,0.7636363636363637,2025-10-01 13:19:05.155774,2025-10-01 13:19:12.878316,0 days 00:00:07.722542,tanh,44,0.0003931492315960386,2,COMPLETE
2,0.5672727272727273,2025-10-01 13:19:12.878657,2025-10-01 13:19:18.984929,0 days 00:00:06.106272,sigmoid,29,0.0007132396166470192,1,COMPLETE
3,0.4854545454545455,2025-10-01 13:19:18.985172,2025-10-01 13:19:26.645827,0 days 00:00:07.660655,sigmoid,29,0.0004217257376262432,2,COMPLETE
4,0.8018181818181818,2025-10-01 13:19:26.646076,2025-10-01 13:19:36.146085,0 days 00:00:09.500009,relu,64,0.0009435350425420801,3,COMPLETE
5,0.27454545454545454,2025-10-01 13:19:36.146443,2025-10-01 13:19:43.801509,0 days 00:00:07.655066,sigmoid,29,0.00012345250424088182,2,COMPLETE
6,0.37272727272727274,2025-10-01 13:19:43.801766,2025-10-01 13:19:53.346013,0 days 00:00:09.544247,relu,62,1.0428408015066712e-05,3,COMPLETE
7,0.43272727272727274,2025-10-01 13:19:53.346371,2025-10-01 13:20:00.877315,0 days 00:00:07.530944,sigmoid,14,0.0001440064534367411,2,COMPLETE
8,0.37272727272727274,2025-10-01 13:20:00.877567,2025-10-01 13:20:10.041185,0 days 00:00:09.163618,sigmoid,36,8.147934926470125e-05,3,COMPLETE
9,0.44727272727272727,2025-10-01 13:20:10.041522,2025-10-01 13:20:16.173472,0 days 00:00:06.131950,relu,23,3.531417526594274e-05,1,COMPLETE
10,0.78,2025-10-01 13:20:16.173721,2025-10-01 13:20:27.432402,0 days 00:00:11.258681,relu,63,0.0009628656699789613,4,COMPLETE
11,0.7436363636363635,2025-10-01 13:20:27.432684,2025-10-01 13:20:38.587409,0 days 00:00:11.154725,relu,64,0.0008444337914001621,4,COMPLETE
12,0.7636363636363637,2025-10-01 13:20:38.587781,2025-10-01 13:20:49.627994,0 days 00:00:11.040213,relu,52,0.0002758577508387662,4,COMPLETE
13,0.7436363636363638,2025-10-01 13:20:49.628351,2025-10-01 13:20:59.132376,0 days 00:00:09.504025,relu,55,0.0009307434396881604,3,COMPLETE
14,0.6836363636363636,2025-10-01 13:20:59.132643,2025-10-01 13:21:10.078262,0 days 00:00:10.945619,tanh,54,0.00029162585333110044,4,COMPLETE
15,0.6854545454545455,2025-10-01 13:21:10.078628,2025-10-01 13:21:19.456367,0 days 00:00:09.377739,relu,42,4.532333307670056e-05,3,COMPLETE
16,0.8018181818181818,2025-10-01 13:21:19.456662,2025-10-01 13:21:30.660691,0 days 00:00:11.204029,relu,59,0.0005122032385551803,4,COMPLETE
17,0.7636363636363637,2025-10-01 13:21:30.661053,2025-10-01 13:21:39.965473,0 days 00:00:09.304420,tanh,48,0.0001941646087694656,3,COMPLETE
18,0.8018181818181818,2025-10-01 13:21:39.965750,2025-10-01 13:21:51.145951,0 days 00:00:11.180201,relu,58,0.0005739623630048932,4,COMPLETE
19,0.6599999999999999,2025-10-01 13:21:51.146328,2025-10-01 13:22:00.020257,0 days 00:00:08.873929,relu,8,0.0004923815213662188,3,COMPLETE
20,0.6854545454545454,2025-10-01 13:22:00.020526,2025-10-01 13:22:10.925490,0 days 00:00:10.904964,relu,38,6.696611115108306e-05,4,COMPLETE
21,0.7836363636363636,2025-10-01 13:22:10.925848,2025-10-01 13:22:22.087350,0 days 00:00:11.161502,relu,58,0.0005550936391702615,4,COMPLETE
22,0.7436363636363638,2025-10-01 13:22:22.087638,2025-10-01 13:22:33.255936,0 days 00:00:11.168298,relu,57,0.0002448698602721484,4,COMPLETE
23,0.7636363636363637,2025-10-01 13:22:33.256305,2025-10-01 13:22:42.687775,0 days 00:00:09.431470,relu,49,0.0006049002569127339,3,COMPLETE
24,0.78,2025-10-01 13:22:42.688052,2025-10-01 13:22:53.901564,0 days 00:00:11.213512,relu,59,0.00039249588170903453,4,COMPLETE
25,0.8,2025-10-01 13:22:53.901924,2025-10-01 13:23:03.261916,0 days 00:00:09.359992,tanh,50,0.00018061991549165164,3,COMPLETE
26,0.78,2025-10-01 13:23:03.262201,2025-10-01 13:23:14.414438,0 days 00:00:11.152237,relu,60,0.0006552053176228055,4,COMPLETE
27,0.761818181818182,2025-10-01 13:23:14.414825,2025-10-01 13:23:25.421989,0 days 00:00:11.007164,relu,45,0.0009810392109895804,4,COMPLETE
28,0.8036363636363635,2025-10-01 13:23:25.422266,2025-10-01 13:23:34.965312,0 days 00:00:09.543046,relu,64,0.00031315786224681393,3,COMPLETE
29,0.6272727272727273,2025-10-01 13:23:34.965670,2025-10-01 13:23:42.821232,0 days 00:00:07.855562,tanh,64,2.022167467457349e-05,2,COMPLETE
30,0.7836363636363636,2025-10-01 13:23:42.821510,2025-10-01 13:23:52.320135,0 days 00:00:09.498625,relu,54,0.0003265901070060516,3,COMPLETE
31,0.7436363636363638,2025-10-01 13:23:52.320510,2025-10-01 13:24:01.900065,0 days 00:00:09.579555,relu,59,0.0005296719394760843,3,COMPLETE
32,0.7436363636363638,2025-10-01 13:24:01.900341,2025-10-01 13:24:13.155177,0 days 00:00:11.254836,relu,61,0.0003919720937894122,4,COMPLETE
33,0.7618181818181817,2025-10-01 13:24:13.155530,2025-10-01 13:24:21.049753,0 days 00:00:07.894223,relu,56,0.0007324001306903691,2,COMPLETE
34,0.78,2025-10-01 13:24:21.050040,2025-10-01 13:24:30.602359,0 days 00:00:09.552319,relu,64,0.00022246082223484,3,COMPLETE
35,0.6472727272727272,2025-10-01 13:24:30.602732,2025-10-01 13:24:36.766762,0 days 00:00:06.164030,sigmoid,51,0.0004326739502471564,1,COMPLETE
36,0.7636363636363637,2025-10-01 13:24:36.767032,2025-10-01 13:24:44.678741,0 days 00:00:07.911709,relu,60,0.0006548249511317972,2,COMPLETE
37,0.7636363636363634,2025-10-01 13:24:44.679016,2025-10-01 13:24:53.956975,0 days 00:00:09.277959,tanh,44,0.0003380422983038215,3,COMPLETE
38,0.3545454545454545,2025-10-01 13:24:53.957330,2025-10-01 13:25:04.585635,0 days 00:00:10.628305,sigmoid,21,0.0007433016972166191,4,COMPLETE
39,0.6254545454545455,2025-10-01 13:25:04.585906,2025-10-01 13:25:12.321427,0 days 00:00:07.735521,relu,32,0.00012231502565893048,2,COMPLETE
40,0.27454545454545454,2025-10-01 13:25:12.321791,2025-10-01 13:25:23.244304,0 days 00:00:10.922513,sigmoid,53,0.00015613758271856642,4,COMPLETE
41,0.7236363636363636,2025-10-01 13:25:23.244580,2025-10-01 13:25:32.594268,0 days 00:00:09.349688,tanh,50,0.00018917890790421418,3,COMPLETE
42,0.7254545454545454,2025-10-01 13:25:32.594629,2025-10-01 13:25:42.042864,0 days 00:00:09.448235,tanh,61,0.0004908910484520887,3,COMPLETE
43,0.7236363636363636,2025-10-01 13:25:42.043133,2025-10-01 13:25:51.460967,0 days 00:00:09.417834,tanh,57,0.00032937665289273704,3,COMPLETE
44,0.7636363636363637,2025-10-01 13:25:51.461333,2025-10-01 13:26:00.914508,0 days 00:00:09.453175,tanh,62,9.272749663101861e-05,3,COMPLETE
45,0.7436363636363638,2025-10-01 13:26:00.914802,2025-10-01 13:26:10.294488,0 days 00:00:09.379686,tanh,56,0.000160036648233904,3,COMPLETE
46,0.6854545454545454,2025-10-01 13:26:10.294849,2025-10-01 13:26:16.484761,0 days 00:00:06.189912,relu,64,0.00024036594812817133,1,COMPLETE
47,0.8018181818181818,2025-10-01 13:26:16.485023,2025-10-01 13:26:27.501477,0 days 00:00:11.016454,relu,47,0.0008005668382258796,4,COMPLETE
48,0.82,2025-10-01 13:26:27.501747,2025-10-01 13:26:38.519664,0 days 00:00:11.017917,relu,47,0.0007980913795822935,4,COMPLETE
49,0.7436363636363638,2025-10-01 13:26:38.520041,2025-10-01 13:26:49.618945,0 days 00:00:11.098904,relu,53,0.0008053786014022965,4,COMPLETE
50,0.8,2025-10-01 13:26:49.619221,2025-10-01 13:27:00.847581,0 days 00:00:11.228360,relu,62,0.00044666430288129095,4,COMPLETE
51,0.76,2025-10-01 13:27:00.847955,2025-10-01 13:27:11.876130,0 days 00:00:11.028175,relu,47,0.0007710287379825534,4,COMPLETE
52,0.74,2025-10-01 13:27:11.876528,2025-10-01 13:27:22.809341,0 days 00:00:10.932813,relu,42,0.0009636365298608902,4,COMPLETE
53,0.82,2025-10-01 13:27:22.809630,2025-10-01 13:27:33.644307,0 days 00:00:10.834677,relu,35,0.0005885783626473683,4,COMPLETE
54,0.7254545454545454,2025-10-01 13:27:33.644659,2025-10-01 13:27:44.382094,0 days 00:00:10.737435,relu,32,0.0005698657647771445,4,COMPLETE
55,0.7236363636363637,2025-10-01 13:27:44.382362,2025-10-01 13:27:55.203380,0 days 00:00:10.821018,relu,36,0.0006221150453175638,4,COMPLETE
56,0.7836363636363636,2025-10-01 13:27:55.203753,2025-10-01 13:28:05.920354,0 days 00:00:10.716601,relu,26,0.00038370071124200095,4,COMPLETE
57,0.8218181818181817,2025-10-01 13:28:06.258209,2025-10-01 13:28:17.122770,0 days 00:00:10.864561,relu,40,0.0005183239479762519,4,COMPLETE
58,0.7636363636363637,2025-10-01 13:28:17.123136,2025-10-01 13:28:27.994632,0 days 00:00:10.871496,relu,38,0.00048787503098665126,4,COMPLETE
59,0.3527272727272727,2025-10-01 13:28:27.994908,2025-10-01 13:28:38.681565,0 days 00:00:10.686657,sigmoid,40,0.00027673250281215147,4,COMPLETE
60,0.7436363636363638,2025-10-01 13:28:38.681936,2025-10-01 13:28:49.479453,0 days 00:00:10.797517,relu,33,0.0006595198270267682,4,COMPLETE
61,0.82,2025-10-01 13:28:49.479743,2025-10-01 13:29:00.313233,0 days 00:00:10.833490,relu,35,0.0008951568315964149,4,COMPLETE
62,0.76,2025-10-01 13:29:00.313596,2025-10-01 13:29:11.129915,0 days 00:00:10.816319,relu,34,0.0008534374877036533,4,COMPLETE
63,0.78,2025-10-01 13:29:11.130294,2025-10-01 13:29:21.855050,0 days 00:00:10.724756,relu,28,0.0008885359540509807,4,COMPLETE
64,0.7836363636363636,2025-10-01 13:29:21.855333,2025-10-01 13:29:32.711698,0 days 00:00:10.856365,relu,40,0.0005495595603639094,4,COMPLETE
65,0.78,2025-10-01 13:29:32.712046,2025-10-01 13:29:43.535968,0 days 00:00:10.823922,relu,36,0.00099028210239443,4,COMPLETE
66,0.8236363636363636,2025-10-01 13:29:43.536243,2025-10-01 13:29:54.301796,0 days 00:00:10.765553,relu,29,0.0007071454119005559,4,COMPLETE
67,0.7799999999999999,2025-10-01 13:29:54.302176,2025-10-01 13:30:05.010216,0 days 00:00:10.708040,relu,23,0.0006960618084774771,4,COMPLETE
68,0.6054545454545454,2025-10-01 13:30:05.010486,2025-10-01 13:30:14.269109,0 days 00:00:09.258623,relu,29,4.7031460866835455e-05,3,COMPLETE
69,0.7436363636363638,2025-10-01 13:30:14.269466,2025-10-01 13:30:25.071954,0 days 00:00:10.802488,relu,30,0.0008439838056951638,4,COMPLETE
70,0.31272727272727274,2025-10-01 13:30:25.072239,2025-10-01 13:30:35.723423,0 days 00:00:10.651184,relu,18,1.7153809191184535e-05,4,COMPLETE
71,0.7836363636363636,2025-10-01 13:30:35.723819,2025-10-01 13:30:46.619321,0 days 00:00:10.895502,relu,38,0.0004571881003123323,4,COMPLETE
72,0.7236363636363635,2025-10-01 13:30:46.619589,2025-10-01 13:30:57.441270,0 days 00:00:10.821681,relu,34,0.0006051791445585177,4,COMPLETE
73,0.8,2025-10-01 13:30:57.441635,2025-10-01 13:31:08.375500,0 days 00:00:10.933865,relu,41,0.0007123801200938801,4,COMPLETE
74,0.7436363636363635,2025-10-01 13:31:08.375791,2025-10-01 13:31:19.386140,0 days 00:00:11.010349,relu,45,0.0003798196006511458,4,COMPLETE
75,0.7818181818181819,2025-10-01 13:31:19.386529,2025-10-01 13:31:28.614516,0 days 00:00:09.227987,relu,27,0.0005720774681736752,3,COMPLETE
76,0.7018181818181819,2025-10-01 13:31:28.614799,2025-10-01 13:31:36.331607,0 days 00:00:07.716808,sigmoid,38,0.0006836404418904091,2,COMPLETE
77,0.8399999999999999,2025-10-01 13:31:36.331976,2025-10-01 13:31:47.140678,0 days 00:00:10.808702,relu,31,0.0005169296492578433,4,COMPLETE
78,0.7818181818181819,2025-10-01 13:31:47.140952,2025-10-01 13:31:57.952933,0 days 00:00:10.811981,relu,30,0.0005047690512438797,4,COMPLETE
79,0.7799999999999999,2025-10-01 13:31:57.953306,2025-10-01 13:32:07.152981,0 days 00:00:09.199675,relu,24,0.00042044860306868247,3,COMPLETE
80,0.7636363636363637,2025-10-01 13:32:07.153263,2025-10-01 13:32:17.986478,0 days 00:00:10.833215,relu,31,0.000876293289036218,4,COMPLETE
81,0.7636363636363637,2025-10-01 13:32:17.986842,2025-10-01 13:32:28.855148,0 days 00:00:10.868306,relu,35,0.00031157009103945755,4,COMPLETE
82,0.7636363636363637,2025-10-01 13:32:28.855420,2025-10-01 13:32:39.706257,0 days 00:00:10.850837,relu,36,0.0007453091467263038,4,COMPLETE
83,0.7636363636363634,2025-10-01 13:32:39.706642,2025-10-01 13:32:50.964231,0 days 00:00:11.257589,relu,63,0.0003655378384562558,4,COMPLETE
84,0.8399999999999999,2025-10-01 13:32:50.964592,2025-10-01 13:33:01.807879,0 days 00:00:10.843287,relu,34,0.0005189216882370775,4,COMPLETE
85,0.8,2025-10-01 13:33:01.808167,2025-10-01 13:33:12.541611,0 days 00:00:10.733444,relu,32,0.0006309575554041213,4,COMPLETE
86,0.7836363636363636,2025-10-01 13:33:12.542001,2025-10-01 13:33:23.365376,0 days 00:00:10.823375,relu,34,0.0005232732435872061,4,COMPLETE
87,0.76,2025-10-01 13:33:23.365669,2025-10-01 13:33:32.542113,0 days 00:00:09.176444,relu,20,0.000997656663867653,3,COMPLETE
88,0.7236363636363636,2025-10-01 13:33:32.542467,2025-10-01 13:33:43.501604,0 days 00:00:10.959137,relu,43,0.000772970807857534,4,COMPLETE
89,0.29454545454545455,2025-10-01 13:33:43.501906,2025-10-01 13:33:54.116804,0 days 00:00:10.614898,sigmoid,28,0.00043200114085126105,4,COMPLETE
90,0.8200000000000001,2025-10-01 13:33:54.117190,2025-10-01 13:34:01.894715,0 days 00:00:07.777525,relu,37,0.0009005015902099926,2,COMPLETE
91,0.7436363636363635,2025-10-01 13:34:01.894990,2025-10-01 13:34:09.667109,0 days 00:00:07.772119,relu,37,0.0008803548388939356,2,COMPLETE
92,0.8,2025-10-01 13:34:09.667368,2025-10-01 13:34:17.454949,0 days 00:00:07.787581,relu,40,0.0006304166232840273,2,COMPLETE
93,0.7236363636363637,2025-10-01 13:34:17.455301,2025-10-01 13:34:23.610372,0 days 00:00:06.155071,relu,31,0.0007915569127397603,1,COMPLETE
94,0.7636363636363637,2025-10-01 13:34:23.610631,2025-10-01 13:34:31.359538,0 days 00:00:07.748907,relu,33,0.0006994538330444761,2,COMPLETE
95,0.7236363636363637,2025-10-01 13:34:31.359919,2025-10-01 13:34:38.882592,0 days 00:00:07.522673,relu,10,0.0004779449736364426,2,COMPLETE
96,0.7654545454545454,2025-10-01 13:34:38.882869,2025-10-01 13:34:48.189177,0 days 00:00:09.306308,relu,35,0.0005637185361716651,3,COMPLETE
97,0.7636363636363634,2025-10-01 13:34:48.189447,2025-10-01 13:34:59.077576,0 days 00:00:10.888129,relu,37,0.0008680998073790987,4,COMPLETE
98,0.8,2025-10-01 13:34:59.077957,2025-10-01 13:35:05.255499,0 days 00:00:06.177542,relu,39,0.000912327964620609,1,COMPLETE
99,0.8399999999999999,2025-10-01 13:35:05.255770,2025-10-01 13:35:15.996872,0 days 00:00:10.741102,relu,26,0.00035404495412088904,4,COMPLETE
100,0.7636363636363637,2025-10-01 13:35:15.997245,2025-10-01 13:35:26.745697,0 days 00:00:10.748452,relu,27,0.000353358631153055,4,COMPLETE
101,0.7436363636363638,2025-10-01 13:35:26.745984,2025-10-01 13:35:37.471588,0 days 00:00:10.725604,relu,25,0.0005958979603182936,4,COMPLETE
102,0.82,2025-10-01 13:35:37.471959,2025-10-01 13:35:48.282520,0 days 00:00:10.810561,relu,30,0.00029589150372003856,4,COMPLETE
103,0.7436363636363635,2025-10-01 13:35:48.282814,2025-10-01 13:35:59.078872,0 days 00:00:10.796058,relu,29,0.00022830457868163183,4,COMPLETE
104,0.7799999999999999,2025-10-01 13:35:59.079267,2025-10-01 13:36:09.870497,0 days 00:00:10.791230,relu,33,0.0003065350361271454,4,COMPLETE
105,0.7836363636363636,2025-10-01 13:36:09.870788,2025-10-01 13:36:20.687769,0 days 00:00:10.816981,relu,31,0.0002549441675712766,4,COMPLETE
106,0.7836363636363638,2025-10-01 13:36:20.688148,2025-10-01 13:36:31.393322,0 days 00:00:10.705174,relu,22,0.00020915989938199067,4,COMPLETE
107,0.7836363636363636,2025-10-01 13:36:31.393727,2025-10-01 13:36:42.121771,0 days 00:00:10.728044,relu,26,0.00039396042616683674,4,COMPLETE
108,0.7036363636363635,2025-10-01 13:36:42.122065,2025-10-01 13:36:52.812426,0 days 00:00:10.690361,tanh,30,0.00027492067369532777,4,COMPLETE
109,0.3545454545454545,2025-10-01 13:36:52.812796,2025-10-01 13:37:03.501909,0 days 00:00:10.689113,sigmoid,35,0.0005237447153367921,4,COMPLETE
110,0.78,2025-10-01 13:37:03.502198,2025-10-01 13:37:14.238693,0 days 00:00:10.736495,relu,28,0.00042749314637256406,4,COMPLETE
111,0.7836363636363636,2025-10-01 13:37:14.239089,2025-10-01 13:37:24.993596,0 days 00:00:10.754507,relu,32,0.0006737968822665409,4,COMPLETE
112,0.761818181818182,2025-10-01 13:37:24.993878,2025-10-01 13:37:35.887394,0 days 00:00:10.893516,relu,37,0.0007996933608998799,4,COMPLETE
113,0.7818181818181816,2025-10-01 13:37:35.887761,2025-10-01 13:37:46.705777,0 days 00:00:10.818016,relu,34,0.0007300109140626114,4,COMPLETE
114,0.82,2025-10-01 13:37:46.706055,2025-10-01 13:37:57.426428,0 days 00:00:10.720373,relu,25,0.00047443000907584893,4,COMPLETE
115,0.8036363636363635,2025-10-01 13:37:57.426828,2025-10-01 13:38:08.094209,0 days 00:00:10.667381,relu,24,0.00046797297063701465,4,COMPLETE
116,0.5472727272727272,2025-10-01 13:38:08.094502,2025-10-01 13:38:18.823295,0 days 00:00:10.728793,relu,26,6.563112503816627e-05,4,COMPLETE
117,0.78,2025-10-01 13:38:18.823674,2025-10-01 13:38:29.466758,0 days 00:00:10.643084,relu,18,0.00035702246804198437,4,COMPLETE
118,0.7436363636363638,2025-10-01 13:38:29.467041,2025-10-01 13:38:40.261968,0 days 00:00:10.794927,relu,30,0.0005367548367051723,4,COMPLETE
119,0.7836363636363637,2025-10-01 13:38:40.262364,2025-10-01 13:38:50.975219,0 days 00:00:10.712855,relu,25,0.00033136614048228307,4,COMPLETE
120,0.7636363636363637,2025-10-01 13:38:50.975586,2025-10-01 13:39:01.882908,0 days 00:00:10.907322,relu,39,0.0002944804637719287,4,COMPLETE
121,0.7436363636363638,2025-10-01 13:39:01.883191,2025-10-01 13:39:12.564329,0 days 00:00:10.681138,relu,22,0.00048052324801121595,4,COMPLETE
122,0.7436363636363635,2025-10-01 13:39:12.564729,2025-10-01 13:39:23.281603,0 days 00:00:10.716874,relu,25,0.00045519501077109824,4,COMPLETE
123,0.7636363636363637,2025-10-01 13:39:23.281888,2025-10-01 13:39:33.991928,0 days 00:00:10.710040,relu,23,0.00041891001778069146,4,COMPLETE
124,0.8,2025-10-01 13:39:33.992288,2025-10-01 13:39:44.647398,0 days 00:00:10.655110,relu,20,0.00062069966093115,4,COMPLETE
125,0.8218181818181817,2025-10-01 13:39:44.647706,2025-10-01 13:39:55.405213,0 days 00:00:10.757507,relu,27,0.0005715471489780818,4,COMPLETE
126,0.8,2025-10-01 13:39:55.405602,2025-10-01 13:40:06.136085,0 days 00:00:10.730483,relu,27,0.0005623723021014683,4,COMPLETE
127,0.7418181818181818,2025-10-01 13:40:06.136373,2025-10-01 13:40:16.903977,0 days 00:00:10.767604,relu,29,0.00013015152953903212,4,COMPLETE
128,0.7236363636363636,2025-10-01 13:40:16.904350,2025-10-01 13:40:27.553550,0 days 00:00:10.649200,tanh,28,0.0005152055385013626,4,COMPLETE
129,0.7836363636363636,2025-10-01 13:40:27.553842,2025-10-01 13:40:38.368221,0 days 00:00:10.814379,relu,33,0.0006563305131236379,4,COMPLETE
130,0.7436363636363638,2025-10-01 13:40:38.368619,2025-10-01 13:40:49.296901,0 days 00:00:10.928282,relu,42,0.0004004078151420487,4,COMPLETE
131,0.7254545454545456,2025-10-01 13:40:49.297189,2025-10-01 13:40:59.971773,0 days 00:00:10.674584,relu,24,0.0004686984511591285,4,COMPLETE
132,0.8,2025-10-01 13:40:59.972146,2025-10-01 13:41:10.765827,0 days 00:00:10.793681,relu,31,0.0005803448438685597,4,COMPLETE
133,0.8036363636363635,2025-10-01 13:41:10.766111,2025-10-01 13:41:21.496330,0 days 00:00:10.730219,relu,26,0.0007365163057667637,4,COMPLETE
134,0.7436363636363635,2025-10-01 13:41:21.496733,2025-10-01 13:41:32.234418,0 days 00:00:10.737685,relu,32,0.00048806799452999814,4,COMPLETE
135,0.7236363636363636,2025-10-01 13:41:32.234787,2025-10-01 13:41:42.906466,0 days 00:00:10.671679,relu,24,0.0006124582083011354,4,COMPLETE
136,0.27454545454545454,2025-10-01 13:41:42.906753,2025-10-01 13:41:53.569470,0 days 00:00:10.662717,sigmoid,36,0.0003591468703966476,4,COMPLETE
