number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_dim,params_lr,params_n_layers,state
0,0.4708333333333333,2025-10-01 12:14:08.406179,2025-10-01 12:14:17.540685,0 days 00:00:09.134506,sigmoid,42,1.924820867825362e-05,1,COMPLETE
1,0.8808333333333334,2025-10-01 12:14:17.541066,2025-10-01 12:14:33.959832,0 days 00:00:16.418766,relu,52,0.0005138748981107989,4,COMPLETE
2,0.4708333333333334,2025-10-01 12:14:33.960172,2025-10-01 12:14:50.219358,0 days 00:00:16.259186,sigmoid,57,3.365195104960435e-05,4,COMPLETE
3,0.8683333333333334,2025-10-01 12:14:50.219622,2025-10-01 12:14:59.411598,0 days 00:00:09.191976,tanh,60,0.00021865392206517426,1,COMPLETE
4,0.4708333333333334,2025-10-01 12:14:59.411913,2025-10-01 12:15:15.705436,0 days 00:00:16.293523,sigmoid,59,0.00033122893443312184,4,COMPLETE
5,0.7908333333333333,2025-10-01 12:15:15.705762,2025-10-01 12:15:29.292796,0 days 00:00:13.587034,tanh,17,1.9647001122973754e-05,3,COMPLETE
6,0.9075000000000001,2025-10-01 12:15:29.293038,2025-10-01 12:15:43.173116,0 days 00:00:13.880078,tanh,46,0.00014065617110445205,3,COMPLETE
7,0.5375,2025-10-01 12:15:43.173442,2025-10-01 12:15:59.026746,0 days 00:00:15.853304,sigmoid,31,0.0001709381135374085,4,COMPLETE
8,0.8941666666666667,2025-10-01 12:15:59.027067,2025-10-01 12:16:12.744055,0 days 00:00:13.716988,tanh,37,2.843981918141306e-05,3,COMPLETE
9,0.7374999999999999,2025-10-01 12:16:12.744299,2025-10-01 12:16:21.914707,0 days 00:00:09.170408,tanh,50,2.477522816231051e-05,1,COMPLETE
10,0.7616666666666665,2025-10-01 12:16:21.915033,2025-10-01 12:16:33.416663,0 days 00:00:11.501630,relu,22,9.216845622287913e-05,2,COMPLETE
11,0.9075,2025-10-01 12:16:33.417016,2025-10-01 12:16:47.127234,0 days 00:00:13.710218,tanh,36,6.948807373726438e-05,3,COMPLETE
12,0.8941666666666668,2025-10-01 12:16:47.127500,2025-10-01 12:17:00.799715,0 days 00:00:13.672215,tanh,29,8.02842686263697e-05,3,COMPLETE
13,0.8416666666666666,2025-10-01 12:17:00.800058,2025-10-01 12:17:12.308610,0 days 00:00:11.508552,tanh,44,5.8173408184427326e-05,2,COMPLETE
14,0.8275,2025-10-01 12:17:12.308859,2025-10-01 12:17:23.498100,0 days 00:00:11.189241,tanh,10,0.00016828545536410285,2,COMPLETE
15,0.8283333333333335,2025-10-01 12:17:23.498442,2025-10-01 12:17:37.287237,0 days 00:00:13.788795,tanh,44,1.0885252897130539e-05,3,COMPLETE
16,0.7608333333333334,2025-10-01 12:17:37.287597,2025-10-01 12:17:51.162166,0 days 00:00:13.874569,relu,36,5.252513218444453e-05,3,COMPLETE
17,0.8941666666666667,2025-10-01 12:17:51.162440,2025-10-01 12:18:02.626933,0 days 00:00:11.464493,tanh,26,0.0008526969251146071,2,COMPLETE
18,0.8683333333333334,2025-10-01 12:18:02.627270,2025-10-01 12:18:16.360429,0 days 00:00:13.733159,tanh,36,0.000130063536371643,3,COMPLETE
19,0.8808333333333334,2025-10-01 12:18:16.360783,2025-10-01 12:18:28.081434,0 days 00:00:11.720651,relu,50,0.00035323984853597026,2,COMPLETE
20,0.8683333333333334,2025-10-01 12:18:28.081703,2025-10-01 12:18:44.505296,0 days 00:00:16.423593,tanh,64,4.099547338129389e-05,4,COMPLETE
21,0.8416666666666666,2025-10-01 12:18:44.505652,2025-10-01 12:18:58.190073,0 days 00:00:13.684421,tanh,28,8.028737154273675e-05,3,COMPLETE
22,0.8808333333333334,2025-10-01 12:18:58.190437,2025-10-01 12:19:11.870084,0 days 00:00:13.679647,tanh,32,7.495579003052454e-05,3,COMPLETE
23,0.8541666666666667,2025-10-01 12:19:11.870351,2025-10-01 12:19:25.512134,0 days 00:00:13.641783,tanh,20,0.00012205317916466342,3,COMPLETE
24,0.8541666666666667,2025-10-01 12:19:25.512472,2025-10-01 12:19:39.325537,0 days 00:00:13.813065,tanh,42,5.113961223361058e-05,3,COMPLETE
25,0.8675,2025-10-01 12:19:39.325903,2025-10-01 12:19:50.815570,0 days 00:00:11.489667,tanh,40,0.00027596134993142723,2,COMPLETE
26,0.8941666666666667,2025-10-01 12:19:50.815830,2025-10-01 12:20:04.555692,0 days 00:00:13.739862,tanh,29,0.00011859188908499488,3,COMPLETE
27,0.8683333333333334,2025-10-01 12:20:04.556056,2025-10-01 12:20:20.811241,0 days 00:00:16.255185,tanh,47,7.211524572493451e-05,4,COMPLETE
28,0.4625,2025-10-01 12:20:20.811628,2025-10-01 12:20:34.420186,0 days 00:00:13.608558,sigmoid,24,0.00017617104979591566,3,COMPLETE
29,0.5508333333333333,2025-10-01 12:20:34.420533,2025-10-01 12:20:45.783681,0 days 00:00:11.363148,relu,15,1.2051910762571954e-05,2,COMPLETE
30,0.6041666666666666,2025-10-01 12:20:45.783952,2025-10-01 12:21:01.659997,0 days 00:00:15.876045,sigmoid,33,4.0454372268233136e-05,4,COMPLETE
31,0.8550000000000001,2025-10-01 12:21:01.660361,2025-10-01 12:21:15.437106,0 days 00:00:13.776745,tanh,39,3.0395776652507347e-05,3,COMPLETE
32,0.8683333333333334,2025-10-01 12:21:15.437454,2025-10-01 12:21:29.192725,0 days 00:00:13.755271,tanh,37,1.7273516038054734e-05,3,COMPLETE
33,0.8808333333333334,2025-10-01 12:21:29.193008,2025-10-01 12:21:43.166191,0 days 00:00:13.973183,tanh,53,9.884333716811168e-05,3,COMPLETE
